"time","Acceleration x","Acceleration y","Acceleration z","abs Acceleration"
9.551147063E2,7.801776123E0,-5.238506470E0,1.498384094E0,9.516029403E0
9.553150453E2,5.836662598E0,-4.666396179E0,2.503244476E0,7.880870287E0
9.555153853E2,9.566905518E0,-1.059646454E1,1.520687714E0,1.435699248E1
9.557157236E2,9.429341583E0,-2.744393005E0,1.248852997E0,9.899687342E0
9.559160626E2,6.814279633E0,-4.141437836E0,1.282982025E0,8.076630308E0
9.561164016E2,1.466784805E1,-4.747078400E0,3.213966522E0,1.574833644E1
9.563167406E2,7.081923065E0,-1.873504028E0,1.948498077E0,7.580257014E0
9.565170806E2,7.269333344E0,-6.754553833E0,1.184636536E0,9.993526328E0
9.567174195E2,1.047057632E1,-2.476749573E0,2.113604736E-1,1.076159515E1
9.569177585E2,3.862867126E0,-4.229903870E0,2.140698395E0,6.115261139E0
9.571180975E2,1.170266418E1,-4.783452759E0,4.689747620E-1,1.265123340E1
9.573184365E2,7.000043335E0,-6.599775696E0,-3.448828125E-1,9.626868135E0
9.575187765E2,7.454049225E0,-2.871778107E0,-7.048841858E-1,8.019153388E0
9.577191154E2,8.447832642E0,-8.715176697E0,1.474284210E0,1.222676143E1
9.579194544E2,1.166344574E1,-3.191213837E0,-1.670975189E0,1.220704593E1
9.581197934E2,5.336552582E0,-4.814887390E0,1.968706055E0,7.452364562E0
9.583201324E2,1.757300674E1,-7.977360992E0,3.683839417E0,1.964737965E1
9.585204714E2,6.042783966E0,-5.555247803E0,1.170266418E0,8.291293005E0
9.587208110E2,7.009623413E0,-3.771856384E0,6.039939880E-1,7.982889810E0
9.589211510E2,9.683812408E0,-5.079686737E0,4.478536835E0,1.181679873E1
9.591214900E2,9.244326324E0,-3.763773193E0,3.337310028E0,1.052431452E1
9.593218290E2,6.666686554E0,1.053359528E0,1.517394562E0,6.917858206E0
9.595221680E2,5.097499695E0,3.932322693E0,1.278087204E1,1.431077758E1
9.597225063E2,4.652774506E0,1.820963287E0,4.566254425E0,6.768670281E0
9.599228453E2,5.523813171E0,2.580633545E-1,7.897277527E0,9.640855822E0
9.601231842E2,8.475225677E0,-1.517693939E0,7.563321991E0,1.146022184E1
9.603235233E2,7.396868134E0,-5.385800171E-1,1.794917450E0,7.630560613E0
9.605238623E2,1.335986801E1,-2.001038818E0,4.511468353E0,1.424231640E1
9.607242019E2,7.225175171E0,-4.594844971E0,1.221459961E0,8.649145680E0
9.609245409E2,9.768835602E0,-4.123924255E-1,2.646047516E0,1.012925387E1
9.611248799E2,8.616831207E0,-3.259621582E0,3.970792694E0,1.003205400E1
9.613252189E2,8.553213501E0,3.309617615E-1,5.427413635E0,1.013527581E1
9.615255579E2,6.687942352E0,-2.472258911E0,2.567910004E0,7.578574986E0
9.617258968E2,1.583631821E1,-6.136489105E0,5.670358429E0,1.790526285E1
9.619262358E2,8.593779144E0,-1.827399902E0,2.504441986E0,9.135899520E0
9.621265748E2,6.272705841E0,-4.511618042E0,2.082918549E0,8.002504958E0
9.623269138E2,8.017028503E0,-7.382048950E0,5.225483551E0,1.208606930E1
9.625272528E2,6.258036346E0,-2.602937164E0,2.007924500E0,7.068950530E0
9.627275916E2,9.893975372E0,-3.149151306E0,5.538482666E-1,1.039781951E1
9.629279306E2,1.089254883E1,-2.743045807E0,2.202968903E0,1.144661488E1
9.631282696E2,5.767805786E0,-3.388503571E0,1.580413513E0,6.873663281E0
9.633286086E2,6.566245422E0,-5.621410217E0,6.310876465E-1,8.666839297E0
9.635289466E2,1.285137543E1,-3.385060730E0,3.336561584E0,1.370215785E1
9.637292857E2,5.297633514E0,-2.884801025E0,1.792073364E0,6.292735872E0
9.639296248E2,8.984915771E0,-2.803220673E0,-1.204096069E0,9.488762032E0
9.641299638E2,1.155282578E1,-3.647614746E0,3.740721130E0,1.267934822E1
9.643303028E2,5.035378876E0,-3.324885864E0,1.588646393E0,6.239687796E0
9.645306418E2,6.431525574E0,-6.458469543E0,5.409750366E-1,9.130662848E0
9.647309807E2,1.337064560E1,-3.411405945E-1,2.656974792E-1,1.337763566E1
9.649313188E2,3.712429962E0,-4.510420532E0,1.007105713E0,5.927924723E0
9.651316578E2,1.126512405E1,-4.321812744E0,9.553134155E-1,1.210345856E1
9.653319967E2,7.965834961E0,-5.101391602E0,8.632548523E-1,9.498627892E0
9.655323358E2,5.754483490E0,-3.006198578E0,2.350861359E0,6.904915586E0
9.657326743E2,9.606573029E0,-7.257358246E0,1.182690582E0,1.209769611E1
9.659330123E2,1.282083893E1,-3.697012024E0,-1.041085052E0,1.338378373E1
9.661333512E2,4.854255524E0,-5.485343170E0,2.145189056E0,7.632471583E0
9.663336903E2,1.261756165E1,-4.048780518E0,1.779649200E0,1.337021454E1
9.665340293E2,7.675887909E0,-6.986271973E0,9.048683167E-1,1.041854299E1
9.667343680E2,5.602399750E0,-4.350403290E0,1.560205536E0,7.262722152E0
9.669347070E2,9.659113770E0,-9.993069305E0,5.248086548E-1,1.390810329E1
9.671350460E2,6.599626007E0,-2.881657562E0,2.139800262E0,7.512506832E0
9.673353850E2,8.376281433E0,-5.369633789E0,6.002517700E-2,9.949807068E0
9.675357230E2,1.141391464E1,-3.721411285E0,3.128194885E0,1.240612561E1
9.677360621E2,5.155728607E0,-3.025807800E0,1.708247681E0,6.217327437E0
9.679364011E2,8.173453217E0,-8.117918701E0,9.568103027E-1,1.155947349E1
9.681367391E2,1.201416641E1,-3.049907684E0,3.228636017E0,1.280883375E1
9.683370781E2,3.634891205E0,-4.872367859E0,-5.647755432E-1,6.105028586E0
9.685374171E2,1.079255676E1,-5.761369171E0,1.176703033E0,1.229053645E1
9.687377551E2,8.201744385E0,-5.690416718E0,-3.059637451E-1,9.987145097E0
9.689380941E2,5.614973602E0,-4.028273163E0,2.357896729E0,7.301684067E0
9.691384331E2,8.979227600E0,-7.918683014E0,6.084846497E-1,1.198759036E1
9.693387711E2,1.135239258E1,-2.988684998E0,-1.431024170E0,1.182611033E1
