"time","Acceleration x","Acceleration y","Acceleration z","abs Acceleration"
2.163320833E-1,-4.150568848E0,2.622995453E0,8.243208160E0,9.594676007E0
4.167270835E-1,-2.376458130E0,3.456911316E0,8.059689789E0,9.086054621E0
6.171230834E-1,-2.242037659E0,2.515818329E0,9.766889648E0,1.033190244E1
8.175180834E-1,-7.547305298E-1,9.945318604E-1,1.409977936E1,1.415494577E1
1.017912333E0,-6.466552734E-2,1.235979767E0,7.020550690E0,7.128811935E0
1.218307334E0,-8.638536072E-1,2.887345734E0,1.003138962E1,1.047433941E1
1.418702333E0,-1.301992493E0,2.792293396E0,1.192106003E1,1.231274783E1
1.619097333E0,-1.029559021E0,3.068618774E-1,6.579118652E0,6.666255188E0
1.819492333E0,1.460961914E-1,2.351011047E0,5.974076843E0,6.421696907E0
2.019887083E0,3.656895447E-1,3.930077362E0,1.313503555E1,1.371526142E1
2.220283083E0,4.308041382E-1,4.145778809E0,2.219135284E0,4.722037224E0
2.420678083E0,4.658312988E-1,3.967798920E0,5.755531311E0,7.006180681E0
2.621073083E0,-1.038091278E0,3.599414978E0,1.321122711E1,1.373207717E1
2.821468083E0,-2.092648315E-1,2.925666046E0,6.442303162E0,7.078600399E0
3.021862708E0,1.573976898E0,5.253924408E0,6.958280182E0,8.859954179E0
3.222257708E0,1.104553070E0,3.238216095E0,1.130194748E1,1.180847568E1
3.422653708E0,-1.091081085E0,1.585652618E0,8.082891541E0,8.308904129E0
3.623048708E0,-7.348219299E-1,3.819607086E0,8.061635742E0,8.950940308E0
3.823443708E0,2.802172852E-1,1.555265808E0,1.478340775E1,1.486763324E1
4.023838958E0,-1.218017120E0,2.869532776E-1,8.095016327E0,8.191165804E0
4.224234958E0,-3.310815125E0,1.419947205E0,1.232836304E1,1.284392004E1
4.424629958E0,-4.085903320E0,-2.773282928E0,1.522858200E1,1.600922902E1
4.625024959E0,-3.393443298E0,6.834786987E-1,7.438631287E0,8.204622841E0
