"time","Latitude","Longitude","Altitude","Direction","Speed"
6.918597221E-2,5.359526355E1,9.948821073E0,1.536360168E1,-1.000000000E0,-1.000000000E0
1.857711077E0,5.359506566E1,9.948664270E0,1.664223862E1,1.455468750E2,6.000000238E-1
2.857728601E0,5.359507370E1,9.948694529E0,1.636819077E1,1.279687500E2,8.100000024E-1
3.857746601E0,5.359506923E1,9.948704173E0,1.636819089E1,1.279687578E2,8.100000024E-1
4.857768655E0,5.359507992E1,9.948729412E0,1.509402096E1,1.153125082E2,7.500000000E-1
5.857781768E0,5.359508401E1,9.948753870E0,1.358517087E1,1.170703213E2,8.100000024E-1
6.857799530E0,5.359508129E1,9.948786278E0,1.294527838E1,1.160156397E2,1.350000024E0
7.853781104E0,5.359507956E1,9.948808943E0,1.363540289E1,1.153125148E2,1.350000024E0
8.853838325E0,5.359507600E1,9.948832610E0,1.445626471E1,1.191797018E2,1.350000024E0
9.853952765E0,5.359507536E1,9.948855822E0,1.230544681E1,1.149609509E2,1.220000029E0
1.085403919E1,5.359507544E1,9.948875630E0,1.167940919E1,1.096875126E2,1.100000024E0
1.185413516E1,5.359507307E1,9.948904686E0,1.275368905E1,1.054687672E2,1.470000029E0
1.285426247E1,5.359507254E1,9.948932803E0,1.316250254E1,1.033593929E2,1.509999990E0
1.385435581E1,5.359506669E1,9.948957396E0,1.280709481E1,1.110937667E2,1.470000029E0
1.485445261E1,5.359506113E1,9.948981597E0,1.241708016E1,1.139062661E2,1.450000048E0
1.585457587E1,5.359505545E1,9.949005019E0,1.341939950E1,1.202343903E2,1.460000038E0
1.685466015E1,5.359505194E1,9.949030383E0,1.303664803E1,1.195312654E2,1.460000038E0
1.785473967E1,5.359505105E1,9.949053703E0,1.269796393E1,1.181250146E2,1.360000014E0
1.885484624E1,5.359504825E1,9.949078883E0,1.264962409E1,1.174218897E2,1.360000014E0
1.985491812E1,5.359504542E1,9.949101517E0,1.267013188E1,1.170703260E2,1.250000000E0
2.085498500E1,5.359504498E1,9.949115438E0,1.279806156E1,1.181250134E2,1.250000000E0
2.185507905E1,5.359504090E1,9.949128489E0,1.231338139E1,1.255078249E2,1.250000000E0
2.285516977E1,5.359503634E1,9.949148642E0,1.175643558E1,1.258593867E2,1.190000057E0
2.385525751E1,5.359504291E1,9.949203597E0,1.399705539E1,1.367878226E2,1.148321716E0
2.485533369E1,5.359503121E1,9.949224335E0,1.434223913E1,1.310759887E2,1.130740944E0
2.585541117E1,5.359502271E1,9.949252828E0,1.439998087E1,1.487031864E2,1.185352014E0
2.685548449E1,5.359501198E1,9.949285008E0,1.411042272E1,1.364850864E2,1.043629520E0
2.785555482E1,5.359500276E1,9.949269541E0,1.428571972E1,1.342376853E2,1.211560570E0
2.885562193E1,5.359499576E1,9.949292221E0,1.443088467E1,1.297148760E2,1.253480632E0
2.985568547E1,5.359498478E1,9.949319283E0,1.419759200E1,1.284736503E2,1.293364844E0
3.085574782E1,5.359497945E1,9.949344532E0,1.427680464E1,1.261126259E2,1.316569536E0
3.185580635E1,5.359496793E1,9.949370564E0,1.424725418E1,1.257240689E2,1.349242607E0
3.285586286E1,5.359496276E1,9.949396354E0,1.399800037E1,1.233417076E2,1.349121228E0
3.385591698E1,5.359495669E1,9.949427630E0,1.385171734E1,1.205600945E2,1.422055085E0
3.485596871E1,5.359495513E1,9.949439594E0,1.375018923E1,1.192355868E2,1.147175916E0
3.585601783E1,5.359496197E1,9.949456485E0,1.388512754E1,1.068348948E2,1.002216088E0
3.685606635E1,5.359494883E1,9.949474252E0,1.380083901E1,1.158091791E2,1.047982008E0
3.785611224E1,5.359494265E1,9.949490037E0,1.370262060E1,1.179816751E2,1.042185294E0
3.885615766E1,5.359493952E1,9.949509420E0,1.404682281E1,1.157419203E2,1.108422350E0
3.985620058E1,5.359493075E1,9.949534853E0,1.461483039E1,1.171724988E2,1.275153435E0
4.085624146E1,5.359492690E1,9.949542243E0,1.460475545E1,1.237777617E2,9.014173946E-1
4.185628211E1,5.359492218E1,9.949574914E0,1.419621983E1,1.209081483E2,1.118278608E0
4.285632110E1,5.359490987E1,9.949600118E0,1.377765299E1,1.246833324E2,1.151618982E0
4.385635948E1,5.359490369E1,9.949632481E0,1.439299218E1,1.276083775E2,1.379172856E0
4.485639536E1,5.359489634E1,9.949645279E0,1.403209288E1,1.336477646E2,1.186051979E0
4.585643196E1,5.359488804E1,9.949675846E0,1.426472525E1,1.270055226E2,1.272662464E0
4.685646570E1,5.359488171E1,9.949693534E0,1.386050119E1,1.284213907E2,1.054639313E0
4.785649943E1,5.359487465E1,9.949711072E0,1.449836566E1,1.251918525E2,1.077657774E0
4.885653174E1,5.359486439E1,9.949731610E0,1.410302628E1,1.256753827E2,1.224537021E0
4.985656488E1,5.359485593E1,9.949750434E0,1.363955048E1,1.279456296E2,1.165441625E0
5.085659492E1,5.359484475E1,9.949776809E0,1.428070381E1,1.257711382E2,1.262973864E0
5.185662615E1,5.359483711E1,9.949799704E0,1.394953500E1,1.253982823E2,1.392818692E0
5.285665631E1,5.359483157E1,9.949822105E0,1.376135201E1,1.265221540E2,1.356502172E0
5.385668588E1,5.359482295E1,9.949859888E0,1.400644600E1,1.171433460E2,1.532099291E0
5.485671449E1,5.359482008E1,9.949890714E0,1.431620833E1,1.107962607E2,1.592978156E0
5.585674262E1,5.359481174E1,9.949910875E0,1.397197657E1,1.176404861E2,1.563557951E0
5.685677040E1,5.359479895E1,9.949932772E0,1.411916251E1,1.265065609E2,1.495642353E0
5.785679793E1,5.359479308E1,9.949951408E0,1.415616227E1,1.271338192E2,1.465572963E0
5.885682428E1,5.359478969E1,9.949976174E0,1.404088869E1,1.235817930E2,1.535575378E0
5.985685015E1,5.359477585E1,9.949992877E0,1.407318386E1,1.276357407E2,1.578624806E0
6.085687578E1,5.359476914E1,9.950009865E0,1.411085775E1,1.241577965E2,1.573273096E0
6.185690176E1,5.359475952E1,9.950027163E0,1.374833874E1,1.245894674E2,1.551415962E0
6.285692656E1,5.359474753E1,9.950050340E0,1.387472010E1,1.245750211E2,1.571522292E0
6.385695183E1,5.359473447E1,9.950072943E0,1.441826203E1,1.273384501E2,1.563493043E0
6.485697663E1,5.359472266E1,9.950092696E0,1.431992367E1,1.283211415E2,1.568521374E0
6.585699999E1,5.359471368E1,9.950115376E0,1.376127191E1,1.241342821E2,1.564164136E0
6.685702395E1,5.359470652E1,9.950134892E0,1.339932202E1,1.250190553E2,1.539670996E0
6.785704863E1,5.359469727E1,9.950149999E0,1.322876687E1,1.280733742E2,1.542523347E0
6.885707140E1,5.359468827E1,9.950168110E0,1.311816115E1,1.283110896E2,1.567725929E0
6.985709476E1,5.359468459E1,9.950188312E0,1.306093641E1,1.239741145E2,1.550674736E0
7.085711801E1,5.359467334E1,9.950214423E0,1.324058437E1,1.197413971E2,1.587065864E0
7.185714078E1,5.359466351E1,9.950228985E0,1.307720503E1,1.187865008E2,1.572210523E0
7.285716319E1,5.359465564E1,9.950240911E0,1.274114677E1,1.211449255E2,1.564231151E0
7.385718608E1,5.359464554E1,9.950257227E0,1.250892515E1,1.240754880E2,1.551285002E0
7.485720825E1,5.359463793E1,9.950276698E0,1.257761461E1,1.213779342E2,1.556948362E0
7.585723031E1,5.359462727E1,9.950295349E0,1.319715480E1,1.233297202E2,1.575180415E0
7.685725188E1,5.359462214E1,9.950316718E0,1.310275193E1,1.173158074E2,1.527248990E0
7.785727358E1,5.359461648E1,9.950336753E0,1.331978565E1,1.188189176E2,1.539765977E0
7.885729599E1,5.359460820E1,9.950355768E0,1.358131270E1,1.214871291E2,1.573714231E0
7.985731757E1,5.359460000E1,9.950373957E0,1.342950336E1,1.203424785E2,1.531383415E0
8.085733902E1,5.359459052E1,9.950391233E0,1.339724404E1,1.193739496E2,1.562142315E0
8.185736048E1,5.359458063E1,9.950412769E0,1.350616373E1,1.189407029E2,1.565776025E0
8.285738158E1,5.359457160E1,9.950431141E0,1.373059186E1,1.187315966E2,1.569270158E0
8.385740340E1,5.359456814E1,9.950451080E0,1.340864871E1,1.113229097E2,1.551288921E0
8.485742378E1,5.359456057E1,9.950468901E0,1.303305369E1,1.114071394E2,1.455774188E0
8.585744584E1,5.359454608E1,9.950487430E0,1.336595980E1,1.239180004E2,1.550887311E0
8.685746682E1,5.359453487E1,9.950506156E0,1.378236388E1,1.281010126E2,1.586136107E0
8.785748720E1,5.359452564E1,9.950529476E0,1.425997750E1,1.267103396E2,1.579559246E0
8.885750842E1,5.359451357E1,9.950551371E0,1.405801371E1,1.264302136E2,1.586048548E0
8.985752892E1,5.359451028E1,9.950576366E0,1.426742943E1,1.163934140E2,1.571959446E0
9.085754967E1,5.359450685E1,9.950600512E0,1.426930720E1,1.083539062E2,1.582975268E0
9.185757077E1,5.359449932E1,9.950622003E0,1.429788617E1,1.088958410E2,1.566860418E0
9.285759091E1,5.359449389E1,9.950640229E0,1.393132611E1,1.079996278E2,1.538770605E0
9.385761142E1,5.359449663E1,9.950660513E0,1.332101625E1,8.837897443E1,1.458798277E0
9.485763276E1,5.359450009E1,9.950678929E0,1.300729880E1,7.738622139E1,1.434468123E0
9.585765290E1,5.359450197E1,9.950695378E0,1.233722902E1,6.407447836E1,1.353213107E0
9.685767293E1,5.359450421E1,9.950701272E0,1.099083758E1,4.607164994E1,9.886345331E-1
9.785769367E1,5.359450185E1,9.950695859E0,9.828420596E0,-1.000000000E0,1.525970130E0
9.885771394E1,5.359450081E1,9.950694010E0,9.029479499E0,-1.000000000E0,1.547074146E0
9.985773468E1,5.359450159E1,9.950708114E0,8.099057601E0,-1.000000000E0,1.578656237E0
1.008577548E2,5.359450809E1,9.950716286E0,7.599221035E0,-1.000000000E0,1.563098791E0
1.018577753E2,5.359451285E1,9.950732378E0,7.918172701E0,2.031763186E1,1.090854180E0
1.028577960E2,5.359452228E1,9.950741421E0,8.486116401E0,1.156357236E1,1.454898444E0
1.038578156E2,5.359453019E1,9.950746254E0,1.041935808E1,7.487010777E0,1.486026699E0
1.048578361E2,5.359453589E1,9.950776346E0,1.219453380E1,3.396131425E1,1.364856657E0
1.058578568E2,5.359453883E1,9.950806340E0,1.283010506E1,6.224901746E1,1.439141582E0
1.068578762E2,5.359454490E1,9.950828331E0,1.309596778E1,7.101056348E1,1.554721355E0
1.078578969E2,5.359454889E1,9.950850533E0,1.288887457E1,7.701616640E1,1.578087692E0
1.088579166E2,5.359454910E1,9.950875604E0,1.319735443E1,8.460002427E1,1.567341236E0
1.098579376E2,5.359455536E1,9.950899410E0,1.289606738E1,8.380292173E1,1.356357828E0
1.108579568E2,5.359456622E1,9.950917730E0,1.320610132E1,6.906837194E1,1.440236853E0
1.118579776E2,5.359457122E1,9.950935535E0,1.334792840E1,6.752533547E1,1.246220840E0
1.128579974E2,5.359457160E1,9.950959359E0,1.365334269E1,7.226931667E1,1.294367265E0
1.138580180E2,5.359457549E1,9.950979297E0,1.394531950E1,7.445060055E1,1.227429114E0
1.148580370E2,5.359458127E1,9.950998290E0,1.439340340E1,7.157400668E1,1.097033338E0
1.158580580E2,5.359459178E1,9.951019722E0,1.392565678E1,6.372170352E1,1.328691074E0
1.168580775E2,5.359459774E1,9.951039189E0,1.390040336E1,6.833369962E1,1.274514526E0
1.178580978E2,5.359460019E1,9.951062873E0,1.382910347E1,7.810971944E1,1.219498519E0
1.188581182E2,5.359458782E1,9.951091442E0,1.408476940E1,1.060403510E2,1.422896174E0
1.198581383E2,5.359459893E1,9.951113927E0,1.404430138E1,9.166998807E1,1.485313097E0
1.208581575E2,5.359460062E1,9.951135669E0,1.485969808E1,1.017081785E2,1.543053613E0
1.218581777E2,5.359459728E1,9.951153509E0,1.481621985E1,1.188055444E2,1.589025430E0
1.228581984E2,5.359460781E1,9.951180085E0,1.470036694E1,9.837409031E1,1.569576594E0
1.238582183E2,5.359461577E1,9.951201075E0,1.421211229E1,8.536386179E1,1.565794065E0
1.248582379E2,5.359462693E1,9.951221169E0,1.304584283E1,8.678344510E1,1.447821775E0
1.258582577E2,5.359464089E1,9.951245544E0,1.319263692E1,8.534160573E1,1.495417005E0
1.268582782E2,5.359465051E1,9.951268493E0,1.314811018E1,8.294403630E1,1.535899580E0
1.278582977E2,5.359465819E1,9.951290909E0,1.292103977E1,8.965141574E1,1.543904490E0
1.288583181E2,5.359466041E1,9.951315492E0,1.470311277E1,1.028471615E2,1.519528998E0
