"time","Acceleration x","Acceleration y","Acceleration z","abs Acceleration"
5.772740775E1,2.395019531E-2,2.877017212E0,1.032642609E1,1.071974241E1
5.792778175E1,2.108665009E0,2.119143219E0,1.266097137E1,1.300912880E1
5.812815475E1,3.382965088E-1,3.186723175E0,7.909102936E0,8.533672033E0
5.832852875E1,-4.903802490E-1,3.145708466E0,1.185744232E1,1.227741394E1
5.852890175E1,-1.307381287E0,4.911286926E-1,6.738836517E0,6.882032464E0
5.872927383E1,5.688171387E-2,2.123783569E0,6.393504639E0,6.737254169E0
5.892964783E1,1.182840271E0,4.381538544E0,1.327274918E1,1.402721861E1
5.913002083E1,1.703757019E0,2.480042725E0,8.101902008E0,8.642581561E0
5.933039383E1,2.794688416E-1,2.624642029E0,7.492369537E0,7.943705048E0
5.953076783E1,7.137158203E-1,4.887785797E0,1.121033798E1,1.225036807E1
5.973114121E1,1.257984009E0,1.813179474E0,1.068328400E1,1.090883589E1
5.993151421E1,3.008743286E-1,3.473526764E0,8.733887787E0,9.404079403E0
6.013188721E1,1.352587280E0,4.599934387E-1,1.586341187E1,1.592761509E1
6.033226021E1,1.275347900E-1,2.932252350E0,5.549260254E0,6.277631586E0
6.053263321E1,4.302053833E-1,3.527863770E0,1.245395187E1,1.295113187E1
6.073300637E1,-1.841320953E0,1.644779663E0,6.530170441E0,6.981324300E0
6.093337837E1,8.723858643E-1,2.483934631E0,5.145849152E0,5.780203443E0
6.113375137E1,8.180488586E-1,3.549718323E0,1.433628754E1,1.479185061E1
6.133412437E1,2.224973145E0,1.009201355E0,8.846154327E0,9.177332905E0
6.153449737E1,-6.372248840E-1,2.476001129E0,7.628286896E0,8.045333934E0
6.173486896E1,1.383872223E0,4.372706909E0,1.283580780E1,1.363061370E1
6.193524196E1,2.927911377E-1,2.474504242E0,9.205556946E0,9.536832628E0
6.213561396E1,-4.096980286E-1,2.196232910E0,8.878936157E0,9.155697612E0
6.233598696E1,2.640509033E-1,-7.150630188E-1,1.761866180E1,1.763514337E1
6.253635896E1,2.095642090E-3,2.692451019E0,3.221900024E0,4.198801811E0
6.273673237E1,-4.185296631E-1,3.704047394E0,1.170431076E1,1.228356726E1
6.293710437E1,-1.559906158E0,1.143771515E0,6.888225861E0,7.154661139E0
6.313747637E1,8.087681580E-1,2.683469696E0,4.986580353E0,5.720235935E0
6.333784937E1,9.375004578E-1,4.439168701E0,1.248733246E1,1.328603017E1
6.353822137E1,6.089337158E-1,2.027234344E0,6.546037445E0,6.879759123E0
6.373859300E1,-2.228116608E0,2.494861908E0,1.009066635E1,1.063063436E1
6.393896500E1,4.978646851E-1,1.997446289E0,1.622595795E1,1.635601945E1
6.413933700E1,8.966354370E-2,1.557960205E0,6.173162842E0,6.367355732E0
6.433970900E1,-7.226971436E-1,3.265609131E0,9.112151184E0,9.706585051E0
6.454008100E1,6.024971008E-1,-7.261399841E-1,1.382959122E1,1.386174142E1
6.474045300E1,-8.442443848E-1,2.984643402E0,4.030817871E0,5.086092560E0
6.494082500E1,-1.160686340E0,3.973636780E0,1.448537750E1,1.506529600E1
6.514119700E1,-1.324595490E0,1.779050446E0,7.375462646E0,7.701754537E0
6.534156900E1,1.037642212E0,3.023113403E0,5.685027924E0,6.521921381E0
6.554194000E1,5.322930908E-1,3.775299225E0,9.940827942E0,1.064689064E1
6.574231258E1,1.250798950E0,2.352507935E0,7.108268280E0,7.591196845E0
6.594268458E1,-1.061742096E0,2.926863556E0,1.059421921E1,1.104225100E1
6.614305558E1,-1.663640442E0,1.803449707E0,1.470721619E1,1.491047747E1
6.634342758E1,-5.140310669E-1,1.178948364E0,6.745273132E0,6.866793780E0
6.654379858E1,-1.131497040E0,3.581302643E0,1.196027847E1,1.253611883E1
6.674417083E1,-2.076631622E0,-2.439926147E-1,1.335986801E1,1.352249994E1
6.694454183E1,-4.074526978E-1,3.601959686E0,3.122057648E0,4.784075171E0
6.714491383E1,-1.702858887E0,3.445235596E0,1.494881378E1,1.543490882E1
6.734528483E1,-9.562115479E-1,2.536026306E0,9.347461853E0,9.732461818E0
6.754565583E1,9.704319763E-1,4.574636993E0,4.922812958E0,6.789928517E0
6.774602733E1,2.034269714E-1,4.786596222E0,1.323652451E1,1.407687703E1
6.794639833E1,1.066831512E0,2.351310425E0,7.441325684E0,7.876554965E0
6.814676933E1,-9.428892517E-1,3.554208984E0,1.173245224E1,1.229519732E1
6.834714033E1,-9.355545044E-2,3.752995605E0,1.309372147E1,1.362128006E1
6.854751133E1,-2.538720703E-1,1.648072815E0,9.587412872E0,9.731345262E0
6.874788200E1,1.335223389E-1,3.166515198E0,9.891730042E0,1.038705781E1
6.894825300E1,9.758207703E-1,7.929011536E-1,1.240156082E1,1.246513655E1
6.914862400E1,-4.471202087E-1,2.960244141E0,4.365072784E0,5.293091938E0
6.934899500E1,-1.003662872E0,3.455564117E0,1.305120987E1,1.353818088E1
6.954936600E1,-1.662442932E0,2.922223206E0,6.762637024E0,7.552242348E0
6.974973733E1,1.401236115E0,3.465892639E0,5.100792847E0,6.324077964E0
6.995010833E1,-1.052311707E0,4.514162750E0,1.261831009E1,1.344272200E1
7.015047933E1,1.585502930E0,2.417472839E0,7.620353394E0,8.150323939E0
7.035084933E1,-9.104067993E-1,3.016227722E0,1.042731628E1,1.089290572E1
