"time","Latitude","Longitude","Altitude","Direction","Speed"
3.590106964E-2,5.359494319E1,9.948144754E0,1.554776096E1,-1.000000000E0,-1.000000000E0
8.502520323E-1,5.359511213E1,9.948125057E0,1.560748291E1,-1.000000000E0,-1.000000000E0
1.147763014E0,5.359525044E1,9.948437037E0,6.310738754E1,3.234375000E1,4.399999976E-1
1.957270145E0,5.359514772E1,9.948408119E0,1.743569565E1,4.605468750E1,9.200000167E-1
2.954174995E0,5.359513690E1,9.948407449E0,2.009817123E1,2.636718750E1,9.200000167E-1
3.955573082E0,5.359512571E1,9.948415412E0,2.266720200E1,3.796875000E1,1.080000043E0
4.954309940E0,5.359512207E1,9.948429493E0,2.354494858E1,3.304687500E1,1.149999976E0
5.956025124E0,5.359512446E1,9.948441731E0,2.406106186E1,3.585937500E1,1.379999995E0
6.927216649E0,5.359512446E1,9.948454471E0,2.232809067E1,3.515625000E1,1.379999995E0
7.926799059E0,5.359512601E1,9.948465452E0,2.230367661E1,3.515625000E1,1.350000024E0
8.926377058E0,5.359512768E1,9.948476516E0,2.165999985E1,3.550781250E1,1.309999943E0
9.925958991E0,5.359513045E1,9.948487161E0,2.100954819E1,3.269531250E1,1.309999943E0
1.092557716E1,5.359513418E1,9.948497638E0,2.100374985E1,3.269531250E1,1.340000033E0
1.192521465E1,5.359514000E1,9.948508367E0,2.084267807E1,3.375000000E1,1.450000048E0
1.292487538E1,5.359514721E1,9.948520772E0,2.105819321E1,3.480468750E1,1.450000048E0
1.392456079E1,5.359515791E1,9.948533272E0,2.105819344E1,3.480469756E1,1.450000048E0
1.492426634E1,5.359516356E1,9.948547489E0,2.032906747E1,3.796876084E1,1.450000048E0
1.592398751E1,5.359516925E1,9.948563439E0,1.993301035E1,4.148438708E1,1.500000000E0
1.692373610E1,5.359517534E1,9.948578784E0,2.106893561E1,4.570313675E1,1.350000024E0
1.792349887E1,5.359518368E1,9.948591841E0,2.124239752E1,4.429688646E1,1.350000024E0
1.892327678E1,5.359519439E1,9.948603597E0,2.135396979E1,4.148438587E1,1.350000024E0
1.992307484E1,5.359520523E1,9.948615641E0,2.141610357E1,4.113282321E1,1.340000033E0
2.092288315E1,5.359521360E1,9.948626053E0,2.195327398E1,4.183594836E1,1.340000033E0
2.192270875E1,5.359522375E1,9.948631422E0,2.218215580E1,3.726563398E1,1.220000029E0
2.292254400E1,5.359523589E1,9.948636599E0,2.219717045E1,3.093750775E1,1.240000010E0
2.392239082E1,5.359524887E1,9.948642774E0,2.245077152E1,2.847656969E1,1.240000010E0
2.492224610E1,5.359526060E1,9.948652148E0,2.272890873E1,3.199219549E1,1.240000010E0
2.592211103E1,5.359527272E1,9.948665849E0,2.377621100E1,3.656250970E1,1.340000033E0
2.692198420E1,5.359528485E1,9.948682663E0,2.497213383E1,4.183594772E1,1.259999990E0
2.792186475E1,5.359529226E1,9.948703231E0,2.508620854E1,5.449219997E1,1.259999990E0
2.892175400E1,5.359529099E1,9.948727986E0,2.549398442E1,8.261720269E1,1.259999990E0
2.992164814E1,5.359527555E1,9.948747882E0,2.073012942E1,1.093359507E2,1.149999976E0
3.092154920E1,5.359525737E1,9.948759947E0,1.905721678E1,1.283203214E2,9.300000072E-1
3.192145753E1,5.359523779E1,9.948771172E0,1.767892087E1,1.423828187E2,8.399999738E-1
3.292137015E1,5.359522173E1,9.948781673E0,1.737466062E1,1.441406310E2,8.399999738E-1
3.392128909E1,5.359516417E1,9.948810887E0,1.410172068E1,1.366554361E2,7.611008793E-1
3.492121243E1,5.359515722E1,9.948829680E0,1.423288999E1,1.277266002E2,4.984643177E-1
3.592114055E1,5.359514385E1,9.948871434E0,1.416571263E1,1.200977726E2,9.841243625E-1
3.692107344E1,5.359512604E1,9.948898021E0,1.434147483E1,1.221357417E2,6.670362897E-1
3.792100918E1,5.359511222E1,9.948936012E0,1.432832260E1,1.208988173E2,1.149516688E0
3.892095006E1,5.359510305E1,9.948956214E0,1.411031307E1,1.240302923E2,9.242935090E-1
3.992089415E1,5.359514043E1,9.948883315E0,1.362942646E1,1.258108427E2,8.321995001E-1
4.092084157E1,5.359513004E1,9.948910557E0,1.362904259E1,1.257683735E2,9.727221474E-1
4.192079246E1,5.359512615E1,9.948931796E0,1.377547525E1,1.217155663E2,7.541576516E-1
4.292074656E1,5.359512090E1,9.948971363E0,1.404186984E1,1.186794704E2,9.744800528E-1
4.392070270E1,5.359511731E1,9.948994435E0,1.350835947E1,1.181367361E2,9.969419038E-1
4.492066216E1,5.359511360E1,9.949018848E0,1.372837425E1,1.183141164E2,9.761619322E-1
4.592062318E1,5.359510348E1,9.949049224E0,1.379302261E1,1.232051614E2,1.139149992E0
4.692058766E1,5.359509592E1,9.949067340E0,1.386384592E1,1.366316328E2,8.282738484E-1
4.792055357E1,5.359509431E1,9.949081382E0,1.350934685E1,1.348777150E2,5.729587846E-1
4.892052090E1,5.359508567E1,9.949099308E0,1.346987639E1,1.395707636E2,6.402653930E-1
4.992049098E1,5.359507853E1,9.949136413E0,1.345785903E1,1.260720502E2,7.951536444E-1
5.092046309E1,5.359506972E1,9.949165872E0,1.331032308E1,1.271420639E2,1.063254755E0
5.192043650E1,5.359505450E1,9.949202453E0,1.325310783E1,1.297635238E2,1.281048164E0
5.292041147E1,5.359504488E1,9.949225969E0,1.274620356E1,1.334567662E2,1.108674054E0
5.392038798E1,5.359504970E1,9.949237690E0,1.374625328E1,1.040533406E2,0.000000000E0
5.492036533E1,5.359503840E1,9.949263716E0,1.343423456E1,1.325252986E2,5.761014166E-1
5.592034411E1,5.359502764E1,9.949284880E0,1.372955337E1,1.416244883E2,5.792391904E-1
5.692032433E1,5.359502081E1,9.949308787E0,1.381124160E1,1.351103505E2,6.861026127E-1
5.792030561E1,5.359500784E1,9.949336679E0,1.379475714E1,1.345128561E2,7.653432964E-1
5.892028832E1,5.359499911E1,9.949355431E0,1.364934671E1,1.419532269E2,5.968728662E-1
5.992027140E1,5.359499257E1,9.949374573E0,1.370913988E1,1.389408676E2,7.251621868E-1
6.092025602E1,5.359498531E1,9.949402261E0,1.386487476E1,1.344404173E2,9.288233588E-1
6.192024124E1,5.359497819E1,9.949430042E0,1.406305896E1,1.276617749E2,1.261902767E0
6.292022717E1,5.359497193E1,9.949452152E0,1.378471903E1,1.236317731E2,9.478418718E-1
6.392021406E1,5.359497240E1,9.949461747E0,1.386862096E1,1.162307462E2,6.384504602E-1
6.492020130E1,5.359496547E1,9.949478971E0,1.370946664E1,1.221142661E2,6.853052618E-1
6.592018998E1,5.359495409E1,9.949508084E0,1.379056379E1,1.209482512E2,1.263157516E0
6.692017865E1,5.359494366E1,9.949520905E0,1.336054466E1,1.302157722E2,1.085601593E0
6.792016768E1,5.359493972E1,9.949532148E0,1.317897036E1,1.306242252E2,8.376281840E-1
6.892015803E1,5.359493202E1,9.949549070E0,1.345322335E1,1.255499027E2,7.995705462E-1
6.992014837E1,5.359492656E1,9.949559513E0,1.360894847E1,1.268643919E2,6.535597100E-1
7.092013943E1,5.359492284E1,9.949581296E0,1.378091437E1,1.216330851E2,7.189678671E-1
7.192013109E1,5.359491662E1,9.949600913E0,1.394869155E1,1.189352309E2,7.196459252E-1
7.292012298E1,5.359490780E1,9.949619975E0,1.348855007E1,1.195271265E2,6.045178693E-1
7.392011523E1,5.359489750E1,9.949645181E0,1.394247006E1,1.248629964E2,9.194035761E-1
7.492010808E1,5.359488691E1,9.949666284E0,1.395809450E1,1.286077083E2,1.194084614E0
7.592010069E1,5.359488121E1,9.949682447E0,1.375553256E1,1.309202170E2,9.709850562E-1
7.692009377E1,5.359487837E1,9.949697209E0,1.374081486E1,1.279447684E2,6.512378581E-1
7.792008805E1,5.359486981E1,9.949722473E0,1.351156190E1,1.262521885E2,8.404938474E-1
7.892008150E1,5.359486331E1,9.949742928E0,1.349068957E1,1.263482536E2,8.255041429E-1
7.992007601E1,5.359486164E1,9.949759053E0,1.354170982E1,1.208141715E2,5.560163251E-1
8.092007065E1,5.359485395E1,9.949787777E0,1.355983296E1,1.205401534E2,7.268161077E-1
8.192006528E1,5.359485162E1,9.949798431E0,1.352067596E1,1.227170870E2,3.258289404E-1
8.292006004E1,5.359484584E1,9.949815400E0,1.348440381E1,1.324011898E2,4.491896056E-1
8.392005539E1,5.359483807E1,9.949834546E0,1.308515722E1,1.283919819E2,6.319780455E-1
8.492005050E1,5.359483464E1,9.949843547E0,1.326728135E1,1.303376634E2,4.288488010E-1
8.592004657E1,5.359481992E1,9.949877082E0,1.286320096E1,1.309180493E2,8.485388560E-1
8.692004192E1,5.359481385E1,9.949890855E0,1.310496220E1,1.290873931E2,7.015532030E-1
8.792003751E1,5.359480799E1,9.949908153E0,1.331199062E1,1.238913999E2,6.257390765E-1
8.892003453E1,5.359480055E1,9.949923820E0,1.364930358E1,1.260050978E2,5.785817709E-1
8.992002916E1,5.359479781E1,9.949941732E0,1.349962611E1,1.201952268E2,7.353953240E-1
9.092002666E1,5.359478770E1,9.949961309E0,1.323511491E1,1.294676735E2,8.941033678E-1
9.192002273E1,5.359478258E1,9.949969773E0,1.316957107E1,1.348297819E2,7.483731660E-1
9.292001939E1,5.359477934E1,9.949978380E0,1.301168724E1,1.369476581E2,2.562966306E-1
9.392001569E1,5.359476873E1,9.950010739E0,1.333653292E1,1.255788021E2,6.044873924E-1
9.492001307E1,5.359475858E1,9.950033726E0,1.355571571E1,1.274938559E2,8.141930857E-1
9.592000926E1,5.359474645E1,9.950060611E0,1.358430015E1,1.307661045E2,1.179730333E0
9.692000604E1,5.359474292E1,9.950071707E0,1.346594327E1,1.325125889E2,7.742438988E-1
9.792000306E1,5.359474001E1,9.950085204E0,1.316376168E1,1.305420223E2,5.263659395E-1
9.892000020E1,5.359473105E1,9.950101485E0,1.313997936E1,1.317808101E2,6.581827827E-1
9.991999829E1,5.359472102E1,9.950123565E0,1.295072441E1,1.341389816E2,9.330974247E-1
1.009199948E2,5.359471135E1,9.950146628E0,1.384959095E1,1.328939206E2,1.143189155E0
1.019199929E2,5.359469952E1,9.950172023E0,1.353862626E1,1.307467327E2,1.423325688E0
1.029199896E2,5.359468855E1,9.950186752E0,1.371392658E1,1.366277297E2,1.475913496E0
1.039199871E2,5.359468368E1,9.950209787E0,1.295954886E1,1.258598628E2,1.341964276E0
1.049199855E2,5.359467853E1,9.950217264E0,1.251378752E1,1.318143148E2,9.484405858E-1
1.059199822E2,5.359467474E1,9.950230004E0,1.284287382E1,1.292032204E2,7.285936099E-1
1.069199803E2,5.359467202E1,9.950240623E0,1.276775684E1,1.255201811E2,5.015586272E-1
1.079199775E2,5.359466406E1,9.950260214E0,1.308878348E1,1.238143433E2,8.089686998E-1
1.089199753E2,5.359466035E1,9.950273928E0,1.318589613E1,1.187616245E2,6.870233603E-1
1.099199728E2,5.359465009E1,9.950282373E0,1.288711984E1,1.382036572E2,5.912820869E-1
1.109199710E2,5.359464173E1,9.950295915E0,1.250152312E1,1.426378638E2,5.806488940E-1
1.119199684E2,5.359462994E1,9.950311759E0,1.281306660E1,1.420632609E2,8.598824599E-1
1.129199666E2,5.359462489E1,9.950321756E0,1.281739871E1,1.405109386E2,7.371624906E-1
1.139199647E2,5.359461863E1,9.950333483E0,1.282568589E1,1.399378173E2,7.566675664E-1
1.149199619E2,5.359462576E1,9.950330275E0,1.273283282E1,-1.000000000E0,0.000000000E0
1.159199595E2,5.359461817E1,9.950345778E0,1.216755858E1,1.192553530E2,3.574249320E-1
1.169199582E2,5.359461744E1,9.950348887E0,1.115504116E1,-1.000000000E0,7.934385631E-1
1.179199555E2,5.359461248E1,9.950356399E0,1.039051190E1,-1.000000000E0,1.016209438E0
1.189199539E2,5.359460765E1,9.950360050E0,1.085767482E1,-1.000000000E0,6.299497216E-1
1.199199518E2,5.359460501E1,9.950371039E0,1.047954374E1,-1.000000000E0,6.382631833E-1
1.209199497E2,5.359460091E1,9.950384198E0,9.690252049E0,-1.000000000E0,8.257692030E-1
1.219199485E2,5.359459691E1,9.950394476E0,9.749075490E0,-1.000000000E0,6.463718165E-1
1.229199464E2,5.359459700E1,9.950398328E0,9.185601240E0,-1.000000000E0,7.375297759E-1
1.239199445E2,5.359459288E1,9.950409663E0,9.063951694E0,-1.000000000E0,6.181503862E-1
1.249199421E2,5.359457959E1,9.950434980E0,8.923210239E0,1.324849200E2,7.578090269E-1
1.259199412E2,5.359458345E1,9.950428566E0,8.438992951E0,-1.000000000E0,7.529752775E-1
1.269199390E2,5.359457982E1,9.950430900E0,8.090177479E0,-1.000000000E0,7.962369414E-1
1.279199371E2,5.359458035E1,9.950440152E0,7.375753416E0,-1.000000000E0,1.005867815E0
1.289199349E2,5.359457761E1,9.950451626E0,6.736025310E0,-1.000000000E0,1.400461274E0
1.299199327E2,5.359457436E1,9.950471448E0,6.446774410E0,-1.000000000E0,1.198941559E0
1.309199312E2,5.359457995E1,9.950509209E0,7.940493455E0,7.823257889E1,1.222012599E0
1.319199299E2,5.359458242E1,9.950527096E0,9.074602054E0,7.290800068E1,1.006843980E0
1.329200964E2,5.359458665E1,9.950567005E0,9.597864501E0,6.678487857E1,1.271106588E0
1.339201109E2,5.359458700E1,9.950593033E0,9.389908276E0,7.036143295E1,1.090224549E0
1.349201208E2,5.359458974E1,9.950610178E0,9.650482256E0,5.892114690E1,8.602085285E-1
1.359201325E2,5.359459300E1,9.950636868E0,1.049964391E1,5.780919998E1,1.031674372E0
1.369201467E2,5.359459839E1,9.950664621E0,1.092041340E1,5.751259721E1,1.240486403E0
1.379201572E2,5.359460379E1,9.950686803E0,1.157171486E1,5.508194227E1,1.150632346E0
1.389201745E2,5.359461049E1,9.950703210E0,1.119625148E1,5.081474819E1,1.026156833E0
1.399201906E2,5.359461863E1,9.950721000E0,1.137152766E1,5.211369291E1,1.058293792E0
1.409202018E2,5.359462465E1,9.950745051E0,1.175525854E1,5.660628534E1,1.081913805E0
1.419202138E2,5.359463001E1,9.950766151E0,1.166406455E1,5.154757174E1,1.090000160E0
1.429202244E2,5.359463572E1,9.950782150E0,1.116272019E1,4.736542307E1,1.089010273E0
1.439202293E2,5.359463902E1,9.950798373E0,1.109157468E1,4.845473579E1,8.611130218E-1
1.449202379E2,5.359465096E1,9.950816132E0,1.168670164E1,4.262613185E1,1.043769890E0
1.459202480E2,5.359465476E1,9.950837991E0,1.159635932E1,5.176111476E1,1.104821601E0
1.469202522E2,5.359466169E1,9.950862485E0,1.178613838E1,5.634675472E1,1.258982623E0
1.479202584E2,5.359467065E1,9.950885307E0,1.192398422E1,5.336258695E1,1.348888474E0
1.489202645E2,5.359467852E1,9.950903300E0,1.210622466E1,4.992826067E1,1.263564798E0
1.499202688E2,5.359468808E1,9.950924269E0,1.294911403E1,4.928705804E1,1.411368745E0
1.509202743E2,5.359469557E1,9.950948988E0,1.301586486E1,5.323489276E1,1.531058158E0
1.519202777E2,5.359470088E1,9.950971315E0,1.302315372E1,5.910948947E1,1.568806566E0
1.529202815E2,5.359471148E1,9.950991112E0,1.306565892E1,5.648859763E1,1.544420243E0
1.539202859E2,5.359472233E1,9.951010128E0,1.285764652E1,5.205017262E1,1.553956943E0
1.549202887E2,5.359473101E1,9.951029424E0,1.240125290E1,5.306571313E1,1.479408439E0
1.559202909E2,5.359473556E1,9.951051941E0,1.252561771E1,5.962673482E1,1.531240995E0
1.569202942E2,5.359473159E1,9.951081733E0,1.223330565E1,8.118210482E1,1.532580428E0
1.579202964E2,5.359472034E1,9.951098565E0,1.132321325E1,1.122023039E2,1.345071932E0
1.589202987E2,5.359470594E1,9.951104136E0,1.008042552E1,1.428862690E2,1.014577734E0
1.599203001E2,5.359469862E1,9.951104767E0,9.124415994E0,-1.000000000E0,1.488155727E0
1.609203019E2,5.359469393E1,9.951111343E0,8.313465946E0,-1.000000000E0,1.505977329E0
1.619203039E2,5.359468875E1,9.951119992E0,7.497756053E0,-1.000000000E0,1.496145570E0
1.629203054E2,5.359468718E1,9.951124507E0,6.974986294E0,-1.000000000E0,1.485391687E0
1.639203057E2,5.359468284E1,9.951139302E0,6.981299247E0,-1.000000000E0,1.054304816E0
1.649203067E2,5.359467544E1,9.951159788E0,8.245598328E0,1.522731392E2,4.878371896E-1
1.659203082E2,5.359468066E1,9.951172287E0,9.550085457E0,-1.000000000E0,0.000000000E0
1.669203088E2,5.359467891E1,9.951184826E0,9.768986917E0,-1.000000000E0,0.000000000E0
1.679203089E2,5.359467877E1,9.951201465E0,1.047112923E1,6.979531470E1,0.000000000E0
1.689203092E2,5.359467677E1,9.951225076E0,1.059218992E1,8.632151419E1,5.526436226E-1
1.699203097E2,5.359467952E1,9.951256744E0,1.076034364E1,8.928066292E1,1.074654952E0
1.709203092E2,5.359468202E1,9.951292068E0,1.140068455E1,8.798099447E1,1.314346517E0
1.719203098E2,5.359468263E1,9.951321368E0,1.146245633E1,9.071658374E1,1.228635984E0
1.729203097E2,5.359468717E1,9.951341947E0,1.186748008E1,8.549250102E1,1.002874936E0
1.739203093E2,5.359469628E1,9.951372573E0,1.190627906E1,7.825988229E1,1.272795835E0
1.749203091E2,5.359470672E1,9.951400564E0,1.255306039E1,7.265056393E1,1.445297392E0
1.759203091E2,5.359471023E1,9.951430414E0,1.277989841E1,7.742655800E1,1.557172279E0
1.769203079E2,5.359471536E1,9.951456399E0,1.307212412E1,8.339810229E1,1.549259132E0
1.779203073E2,5.359472360E1,9.951480619E0,1.329950090E1,7.687746750E1,1.548531519E0
1.789203064E2,5.359472551E1,9.951507439E0,1.313672576E1,7.820209631E1,1.513049897E0
1.799203066E2,5.359472570E1,9.951533272E0,1.291951557E1,8.329289736E1,1.539902446E0
1.809203049E2,5.359472946E1,9.951558505E0,1.330039914E1,8.408861904E1,1.530184760E0
1.819203054E2,5.359473070E1,9.951585629E0,1.310341896E1,8.620905878E1,1.527300921E0
