"time","Gyroscope x","Gyroscope y","Gyroscope z","abs Gyroscope"
5.772740775E1,7.158207893E-2,-2.744056284E-3,-1.022492200E-1,1.248456121E-1
5.792778175E1,-4.540952742E-1,-1.962773055E-1,-8.492032290E-1,9.827885952E-1
5.812815475E1,-2.008035965E-2,-3.631184101E-1,-7.033766508E-1,7.918313668E-1
5.832852875E1,1.233495399E-1,-3.221977651E-1,2.181337327E-1,4.081774543E-1
5.852890175E1,4.358048737E-1,1.105967522E0,9.670987129E-1,1.532439221E0
5.872927383E1,3.856835365E-1,2.023591399E-1,4.226640463E-1,6.069150747E-1
5.892964783E1,-6.186392624E-3,1.166704223E-1,-3.048569858E-1,3.264782392E-1
5.913002083E1,-3.128042221E-1,-1.368980110E-1,-3.539310098E-1,4.917872573E-1
5.933039383E1,-2.634129524E-1,-2.012023032E-1,1.364042163E-1,3.584338998E-1
5.953076783E1,-1.331388801E-1,3.618150949E-2,2.055278271E-1,2.475414122E-1
5.973114121E1,-4.393874407E-1,6.834051013E-1,2.166514099E-1,8.408577103E-1
5.993151421E1,6.764012575E-2,-3.544560447E-2,-1.662531644E-1,1.829527047E-1
6.013188721E1,-2.240601927E-1,-3.060796857E-2,-4.350104630E-1,4.902794312E-1
6.033226021E1,-1.139470190E-1,-1.689270884E-1,-5.228914022E-1,5.611913247E-1
6.053263321E1,3.577701151E-1,-2.908008993E-1,-1.143003032E-1,4.750043975E-1
6.073300637E1,-2.313664854E-1,5.154189467E-1,8.864345551E-1,1.051167618E0
6.093337837E1,3.107001781E-1,2.129680514E-1,5.083532929E-1,6.327029809E-1
6.113375137E1,1.175458506E-1,3.669751883E-1,-9.385198355E-2,3.966056109E-1
6.133412437E1,-4.414728880E-1,-2.953843176E-1,-2.809463441E-1,6.009002032E-1
6.153449737E1,-3.474446535E-1,-9.930317998E-1,-1.266421974E-1,1.059654750E0
6.173486896E1,-4.557912350E-1,3.309835494E-1,9.538710862E-2,5.713094261E-1
6.193524196E1,9.896183759E-2,1.108966246E-1,5.164349079E-1,5.373979166E-1
6.213561396E1,5.437526107E-1,-6.032990813E-1,-1.078638434E-1,8.193114743E-1
