"time","Pressure"
4.365785832E-1,1.010359955E3
1.436936583E0,1.010363770E3
2.437255583E0,1.010373459E3
3.437554583E0,1.010374298E3
3.795266583E0,1.010374832E3
4.862205583E0,1.010379639E3
5.929162583E0,1.010382767E3
6.996112583E0,1.010382919E3
8.063093583E0,1.010383530E3
9.129985583E0,1.010385056E3
1.019690858E1,1.010385208E3
1.126376658E1,1.010385895E3
1.233065658E1,1.010386963E3
1.339755258E1,1.010389328E3
1.446449058E1,1.010389328E3
1.553136758E1,1.010388641E3
1.659823158E1,1.010388641E3
1.766512958E1,1.010388870E3
1.873196258E1,1.010388870E3
1.979874658E1,1.010388870E3
2.086553558E1,1.010388870E3
2.193235658E1,1.010387344E3
2.299921558E1,1.010385208E3
2.406602658E1,1.010385056E3
2.513280958E1,1.010383835E3
2.619958858E1,1.010382538E3
2.726637258E1,1.010381546E3
2.833311858E1,1.010381546E3
2.939987358E1,1.010382309E3
3.046663458E1,1.010383835E3
3.153337258E1,1.010389328E3
3.260007758E1,1.010393524E3
3.366683058E1,1.010398712E3
3.473364158E1,1.010403976E3
3.580041558E1,1.010410080E3
3.686719058E1,1.010416794E3
3.793394758E1,1.010426331E3
3.900071058E1,1.010434265E3
4.006747858E1,1.010441437E3
4.113426458E1,1.010447998E3
4.220098358E1,1.010453873E3
4.326768958E1,1.010457840E3
4.433440558E1,1.010462494E3
4.540113758E1,1.010465927E3
4.646782258E1,1.010472641E3
4.753447858E1,1.010475540E3
4.860113658E1,1.010481720E3
4.966778458E1,1.010485306E3
5.073446058E1,1.010489731E3
5.180109658E1,1.010492401E3
5.286771358E1,1.010498581E3
5.393428358E1,1.010501938E3
5.500084458E1,1.010507355E3
5.606742058E1,1.010514297E3
5.713397258E1,1.010520630E3
5.820051358E1,1.010522919E3
5.926702958E1,1.010526123E3
6.033356558E1,1.010530548E3
6.140008458E1,1.010534134E3
6.246666858E1,1.010538101E3
6.353322858E1,1.010543365E3
6.459975258E1,1.010549088E3
6.566626858E1,1.010554581E3
6.673278158E1,1.010558167E3
6.779928958E1,1.010560608E3
6.886579858E1,1.010564880E3
6.993229658E1,1.010567322E3
7.099874558E1,1.010570068E3
7.206522558E1,1.010573502E3
7.313168558E1,1.010577621E3
7.419810858E1,1.010579987E3
7.526456158E1,1.010582352E3
7.633101158E1,1.010584869E3
7.739748358E1,1.010585022E3
7.846390758E1,1.010585251E3
7.953031558E1,1.010586090E3
8.059667258E1,1.010586548E3
8.166302258E1,1.010588226E3
8.272935358E1,1.010589294E3
8.379571758E1,1.010592194E3
8.486205958E1,1.010595398E3
8.592837958E1,1.010598907E3
8.699472158E1,1.010601044E3
8.806105658E1,1.010602341E3
8.912740658E1,1.010602722E3
9.019377058E1,1.010603638E3
9.126011058E1,1.010606461E3
9.232644258E1,1.010610275E3
9.339280158E1,1.010613556E3
9.445916258E1,1.010616684E3
9.552550958E1,1.010619431E3
9.659182858E1,1.010621033E3
9.765811758E1,1.010621033E3
9.872442158E1,1.010621262E3
9.979072858E1,1.010621033E3
1.008569966E2,1.010619583E3
1.019232136E2,1.010616989E3
1.029894646E2,1.010614319E3
1.040557466E2,1.010609894E3
1.051219846E2,1.010606308E3
1.061882296E2,1.010606308E3
1.072544436E2,1.010606689E3
1.083207226E2,1.010608673E3
1.093869766E2,1.010612411E3
1.104532156E2,1.010612640E3
1.115194176E2,1.010614548E3
1.125855896E2,1.010614548E3
1.136517566E2,1.010613098E3
1.147179256E2,1.010611191E3
1.157840956E2,1.010608215E3
1.168502386E2,1.010602341E3
1.179163846E2,1.010596695E3
1.189825296E2,1.010590744E3
1.200486586E2,1.010586548E3
1.211147956E2,1.010581207E3
1.221808976E2,1.010576477E3
1.232469736E2,1.010575562E3
1.243130216E2,1.010574493E3
1.253790766E2,1.010575104E3
1.264450916E2,1.010574341E3
1.275111316E2,1.010571213E3
1.285771656E2,1.010564423E3
1.296431596E2,1.010554504E3
1.307092216E2,1.010545883E3
1.317752296E2,1.010536575E3
1.328413036E2,1.010532684E3
1.339074136E2,1.010530777E3
1.349735026E2,1.010530777E3
1.360395496E2,1.010531158E3
1.371056036E2,1.010532379E3
1.381716756E2,1.010534515E3
1.392377336E2,1.010534515E3
1.403038016E2,1.010532455E3
1.413698066E2,1.010531769E3
1.424358046E2,1.010530090E3
1.435018766E2,1.010526733E3
1.445679686E2,1.010525208E3
1.456340236E2,1.010523987E3
1.467000296E2,1.010522308E3
1.477660606E2,1.010518799E3
1.488321066E2,1.010517654E3
1.498981046E2,1.010516663E3
1.509641016E2,1.010516434E3
1.520301366E2,1.010515823E3
1.530961626E2,1.010515823E3
1.541621526E2,1.010515823E3
1.552281316E2,1.010516586E3
1.562940826E2,1.010516586E3
1.573601026E2,1.010517654E3
1.584261126E2,1.010520020E3
1.594920896E2,1.010520020E3
1.605580736E2,1.010519791E3
1.616240476E2,1.010512390E3
1.626900796E2,1.010505447E3
1.637560576E2,1.010498047E3
1.648220056E2,1.010492172E3
1.658879066E2,1.010481415E3
1.669538236E2,1.010474167E3
1.680197886E2,1.010465469E3
1.690857266E2,1.010456390E3
1.701516586E2,1.010447006E3
1.712176066E2,1.010443649E3
1.722835486E2,1.010439835E3
1.733494816E2,1.010439835E3
1.744153876E2,1.010440063E3
1.754812736E2,1.010440063E3
1.765471866E2,1.010439987E3
1.776130636E2,1.010438080E3
1.786789116E2,1.010436783E3
1.797448106E2,1.010435181E3
1.808106456E2,1.010433502E3
1.818765116E2,1.010431747E3
1.829423566E2,1.010431747E3
1.840082176E2,1.010431824E3
1.850740646E2,1.010432587E3
1.861399246E2,1.010432205E3
1.872057566E2,1.010432663E3
1.882715486E2,1.010432205E3
1.893373386E2,1.010431213E3
1.904031776E2,1.010428848E3
1.914690066E2,1.010424271E3
1.925348426E2,1.010422287E3
1.936006936E2,1.010419312E3
1.946665476E2,1.010416183E3
1.957323526E2,1.010414352E3
1.967981656E2,1.010413666E3
1.978640086E2,1.010410385E3
1.989298356E2,1.010409241E3
1.999956586E2,1.010408173E3
2.010614966E2,1.010403137E3
2.021272886E2,1.010398712E3
2.031931546E2,1.010394897E3
2.042589386E2,1.010392838E3
2.053247146E2,1.010389938E3
2.063904776E2,1.010389938E3
2.074562476E2,1.010389938E3
2.085220066E2,1.010389099E3
2.095877896E2,1.010384216E3
2.106535456E2,1.010380783E3
2.117192956E2,1.010376205E3
2.127851106E2,1.010374756E3
2.138508726E2,1.010373459E3
2.149166736E2,1.010373459E3
2.159824246E2,1.010374298E3
2.170481426E2,1.010374298E3
2.181138736E2,1.010373230E3
2.191796586E2,1.010372620E3
2.202454226E2,1.010369949E3
2.213111006E2,1.010364838E3
2.223768156E2,1.010361862E3
2.234424866E2,1.010358582E3
2.245081566E2,1.010353851E3
2.255738466E2,1.010349045E3
2.266395446E2,1.010346298E3
2.277052166E2,1.010344009E3
2.287708666E2,1.010339432E3
2.298365576E2,1.010336838E3
2.309022576E2,1.010333710E3
2.319679886E2,1.010331650E3
2.330336606E2,1.010329437E3
2.340992876E2,1.010329285E3
2.351649346E2,1.010329437E3
2.362305516E2,1.010330048E3
2.372961866E2,1.010330048E3
2.383617936E2,1.010328903E3
2.394273966E2,1.010327988E3
2.404929966E2,1.010326538E3
2.415585866E2,1.010324860E3
2.426242216E2,1.010324860E3
2.436898766E2,1.010326080E3
2.447555106E2,1.010328369E3
2.458211376E2,1.010330505E3
2.468867496E2,1.010333023E3
2.479523556E2,1.010334091E3
2.490180036E2,1.010336075E3
2.500836226E2,1.010336380E3
2.511492836E2,1.010336380E3
2.522149276E2,1.010336380E3
2.532805976E2,1.010337753E3
2.543462376E2,1.010337906E3
