"time","Latitude","Longitude","Altitude","Direction","Speed"
3.327393532E-2,5.359339247E1,9.944213582E0,2.537775612E1,-1.000000000E0,-1.000000000E0
4.199397564E-2,5.359338922E1,9.944180089E0,2.538426399E1,-1.000000000E0,-1.000000000E0
4.199397564E-2,5.359338754E1,9.944159329E0,2.538689423E1,-1.000000000E0,-1.000000000E0
1.998504877E0,5.359325919E1,9.944013152E0,9.478603363E0,2.953125000E1,3.799999952E-1
3.001302004E0,5.359344678E1,9.944037292E0,1.969771957E1,6.785156250E1,1.070000052E0
4.006490946E0,5.359332419E1,9.944091020E0,1.326467514E1,1.202343750E2,1.070000052E0
4.727457047E0,5.359332335E1,9.944115914E0,1.449221420E1,8.191406250E1,1.169999957E0
5.729111910E0,5.359333219E1,9.944138546E0,1.494546127E1,7.875000000E1,1.230000019E0
6.730256081E0,5.359333898E1,9.944160674E0,1.476754379E1,7.980468750E1,1.269999981E0
7.700268626E0,5.359334774E1,9.944183975E0,1.585714340E1,7.875000000E1,1.299999952E0
8.697915196E0,5.359335487E1,9.944204427E0,1.580868149E1,8.015625000E1,1.269999981E0
9.695514083E0,5.359336199E1,9.944222532E0,1.495382309E1,8.261718750E1,1.039999962E0
1.069312072E1,5.359336560E1,9.944243068E0,1.495534897E1,8.648437500E1,1.039999962E0
1.169096458E1,5.359336849E1,9.944263268E0,1.456155014E1,8.929687500E1,1.009999990E0
1.268891573E1,5.359337071E1,9.944284474E0,1.444143295E1,8.753906250E1,1.240000010E0
1.368697512E1,5.359337335E1,9.944305597E0,1.362582016E1,8.367187500E1,1.080000043E0
1.468523252E1,5.359337442E1,9.944321808E0,1.362582032E1,8.367188805E1,1.080000043E0
1.568359077E1,5.359337794E1,9.944346260E0,1.378170414E1,8.015626485E1,1.240000010E0
1.668202615E1,5.359338129E1,9.944373802E0,1.435299323E1,7.980470401E1,1.379999995E0
1.768061483E1,5.359338339E1,9.944396264E0,1.462862798E1,8.085939036E1,1.279999971E0
1.867927825E1,5.359338479E1,9.944419864E0,1.462807867E1,8.121095324E1,1.309999943E0
1.967801106E1,5.359338709E1,9.944443585E0,1.469826910E1,8.121095324E1,1.309999943E0
2.067687011E1,5.359339020E1,9.944466074E0,1.459212896E1,8.015626569E1,1.309999943E0
2.167579472E1,5.359339088E1,9.944488710E0,1.369918463E1,8.296876617E1,1.340000033E0
2.267479718E1,5.359339102E1,9.944509462E0,1.379000492E1,8.402345249E1,1.240000010E0
2.367387056E1,5.359339163E1,9.944533031E0,1.336751958E1,8.367189095E1,1.320000052E0
2.467300022E1,5.359339279E1,9.944553909E0,1.301034185E1,8.085939048E1,1.289999962E0
2.567218506E1,5.359339414E1,9.944577094E0,1.310769293E1,7.980470329E1,1.320000052E0
2.667141724E1,5.359339546E1,9.944601035E0,1.276314948E1,8.085939144E1,1.370000005E0
2.767070365E1,5.359339620E1,9.944621503E0,1.237649175E1,8.191407814E1,1.299999952E0
2.867002916E1,5.359339638E1,9.944642847E0,1.236104986E1,8.402345346E1,1.320000052E0
2.966939795E1,5.359339765E1,9.944664401E0,1.248409673E1,8.437501597E1,1.320000052E0
3.066880965E1,5.359339834E1,9.944688337E0,1.254897712E1,8.683595425E1,1.379999995E0
3.166825235E1,5.359340050E1,9.944711597E0,1.257882331E1,8.578126685E1,1.389999986E0
3.266773140E1,5.359340199E1,9.944734456E0,1.278622078E1,8.789064237E1,1.429999948E0
3.366724563E1,5.359340579E1,9.944757473E0,1.298263192E1,8.261720498E1,1.450000048E0
3.466678524E1,5.359345872E1,9.944790743E0,1.671732693E1,9.260409593E1,1.291276364E0
3.566635764E1,5.359346208E1,9.944806377E0,1.666332786E1,9.175498839E1,1.195707787E0
