"time","Acceleration x","Acceleration y","Acceleration z","abs Acceleration"
2.106446251E-1,-1.349743195E0,3.926185455E0,1.145148651E1,1.218085720E1
4.110506251E-1,7.602690125E-1,3.791465607E0,1.052805679E1,1.121575678E1
6.114566252E-1,-3.885919189E-1,3.432362366E0,6.503076782E0,7.363567255E0
8.118616249E-1,2.103276215E0,3.047812042E0,1.292412415E1,1.344417770E1
1.012267625E0,1.601519623E0,6.024971008E-1,7.314988403E0,7.512451211E0
1.212673500E0,2.299518127E0,1.886077881E0,8.380622406E0,8.892688306E0
1.413078500E0,9.190887451E-2,3.121309204E0,9.185648346E0,9.701914962E0
1.613484500E0,-9.928852844E-1,2.339185638E0,9.361981659E0,9.700737664E0
1.813890500E0,-3.549119568E0,2.622546387E-1,6.626719666E0,7.521864179E0
2.014295500E0,1.255588989E0,6.004912720E0,1.460153595E1,1.583793966E1
2.214701334E0,-1.066681824E0,3.025658112E0,8.976233826E0,9.532323474E0
2.415107334E0,8.283773804E-1,1.297801208E0,8.693471832E0,8.828756966E0
2.615513334E0,-2.012415161E0,1.894909515E0,1.277233978E1,1.306802052E1
2.815918333E0,-2.205363922E0,1.334474945E0,8.014483795E0,8.418812500E0
3.016324333E0,-5.631289673E-1,3.097508698E0,6.088289337E0,6.854118573E0
3.216729959E0,-1.307081909E0,1.765578461E0,1.184636536E1,1.204832364E1
3.417135959E0,-9.809101868E-1,-5.987548828E-3,6.467151489E0,6.541121389E0
3.617541959E0,-7.737409973E-1,3.654201050E0,9.794582062E0,1.048263794E1
3.817947959E0,-4.302951965E0,-7.990383911E-1,1.344878311E1,1.414297087E1
4.018353959E0,-2.048190765E0,3.351530457E-1,7.677534485E0,7.953109376E0
4.218760708E0,-1.431173859E0,2.928510132E0,9.024433594E0,9.595042048E0
4.419166708E0,-3.392096100E0,-1.493144989E0,1.545281570E1,1.589104500E1
4.619572708E0,-1.775158539E0,9.419911194E-1,5.453010406E0,5.811527992E0
4.819978708E0,-3.152294769E0,2.923420715E0,1.230546066E1,1.303486529E1
5.020384708E0,-6.103407898E0,-1.574575653E0,1.109328140E1,1.275898776E1
5.220790708E0,-2.732118530E0,1.338067474E0,3.869154053E0,4.921915208E0
5.421196708E0,-5.895939331E0,8.918453979E-1,1.297501831E1,1.427965647E1
5.621603708E0,-3.065924377E0,-8.879534912E-1,8.599766693E0,9.173022450E0
5.822009708E0,-2.828218689E0,1.099164276E0,6.295009460E0,6.988141897E0
6.022415708E0,-3.137026520E0,1.767374725E0,8.418044586E0,9.155764494E0
6.222821209E0,-6.647227020E0,2.141746216E0,3.371588745E0,7.755018670E0
6.423228208E0,-2.419119415E0,3.712879028E0,4.255949707E0,6.144161239E0
6.623634208E0,-6.992409210E0,4.612208862E0,7.535779266E0,1.126739661E1
6.824040208E0,-4.024530945E0,3.965254211E0,6.384373627E0,8.525275180E0
7.024446208E0,-2.033371582E0,1.276096344E0,7.309749298E0,7.693858373E0
7.224852209E0,-4.447102203E0,3.599414978E0,6.862030334E0,8.934202063E0
7.425259208E0,-2.663860474E0,1.933379517E0,7.191794586E0,7.909236268E0
7.625665208E0,-1.846110992E0,2.558479614E0,6.502927094E0,7.227863067E0
7.826071208E0,-6.620432739E0,4.065096588E0,1.227327759E1,1.452544260E1
8.026477208E0,-6.274651794E0,3.629951477E0,5.334157562E0,9.000057765E0
8.226885125E0,-6.235882416E0,4.355792084E0,6.597230988E0,1.006889323E1
8.427291125E0,-1.578003525E1,8.377329254E0,7.771838379E0,1.948308573E1
8.627697125E0,9.361532593E-1,1.166524200E0,5.849535828E0,6.037733932E0
8.828103125E0,2.465822296E0,1.484762421E0,1.107756409E1,1.144540192E1
9.028510125E0,2.195334778E0,-1.498384094E0,1.024813889E1,1.058720928E1
9.228915459E0,8.554710388E-1,2.092648315E-1,4.357288971E0,4.445400954E0
9.429321459E0,-5.532046051E0,-1.760339355E0,1.744592102E1,1.838647569E1
9.629728458E0,3.286116486E0,-7.954458618E-1,1.060155396E1,1.112763416E1
9.830134458E0,5.496569824E-1,6.285429382E-1,4.098477173E0,4.182667111E0
1.003054146E1,4.120032349E0,1.287023621E0,1.237162308E1,1.310298263E1
1.023094696E1,4.252506866E0,-2.057471466E0,9.308991852E0,1.043907720E1
1.043135296E1,-1.559756470E0,6.379882965E0,8.397986298E0,1.066123449E1
1.063175996E1,9.704319763E-1,3.638483734E0,1.817116287E1,1.855724824E1
1.083216596E1,2.386786652E0,1.527872772E0,6.792125702E0,7.359627523E0
1.103257296E1,2.143542480E-1,4.223766632E0,5.854325867E0,7.222138441E0
1.123297946E1,8.083190918E-2,3.924389191E0,1.327020447E1,1.383855812E1
1.143338546E1,-1.242416382E-2,4.998106384E-1,7.768694916E0,7.784766260E0
1.163379246E1,-2.108964386E0,1.958527222E0,9.985135803E0,1.039165515E1
1.183419846E1,-1.722168732E0,3.941453705E0,1.135718262E1,1.214440280E1
1.203460546E1,3.725752258E-1,2.088007965E0,5.040917358E0,5.468952128E0
1.223501271E1,2.993774414E-1,4.896018677E0,1.125225082E1,1.227492462E1
1.243541871E1,-1.330732727E-1,9.478289795E-1,1.085692291E1,1.089903039E1
1.263582571E1,-6.860234070E-1,2.928061066E0,5.382207642E0,6.165413921E0
1.283623271E1,-1.547332306E0,3.264112244E0,1.342153976E1,1.389915090E1
1.303663971E1,-1.771566010E0,1.392554169E0,6.337521057E0,6.726204456E0
1.323704696E1,6.114784241E-1,3.845952301E0,5.810766449E0,6.995016918E0
1.343745396E1,2.044747925E-1,4.081562347E0,1.167811523E1,1.237252345E1
1.363786096E1,-5.409750366E-1,1.813927917E0,6.826105042E0,7.083692435E0
1.383826896E1,-1.205592957E0,4.090244293E0,1.103984253E1,1.183476556E1
1.403867596E1,-2.844235382E0,2.254312134E0,1.058404037E1,1.118899052E1
1.423908400E1,2.462379456E-1,1.765129395E0,7.083569641E0,7.304332534E0
1.443949100E1,-1.868414612E0,3.544329529E0,1.374082581E1,1.431305484E1
1.463989900E1,7.436535645E-1,2.368524628E0,6.675518188E0,7.122181732E0
1.484030700E1,-6.152206421E-1,3.893852692E0,5.616320801E0,6.861752295E0
1.504071500E1,-2.655328217E0,4.663252716E0,1.072669373E1,1.199410906E1
1.524112196E1,-3.867956543E-1,1.019679565E0,7.505242767E0,7.584063969E0
1.544152996E1,-9.418414307E-1,3.578608246E0,1.183723434E1,1.240216188E1
1.564193796E1,-7.506889343E-1,-1.347048798E0,1.122231308E1,1.132777053E1
1.584234596E1,-6.750961304E-1,2.692900085E0,6.650220795E0,7.206448659E0
1.604275396E1,-6.101312256E-1,3.330574036E0,1.234183502E1,1.279788558E1
1.624316246E1,-1.135688324E0,1.554966431E0,6.702162781E0,6.973284342E0
1.644357046E1,-7.792794800E-1,4.371808777E0,7.339387665E0,8.578263215E0
1.664397846E1,5.245092773E-1,2.647694092E0,1.201356766E1,1.231305006E1
1.684438646E1,2.502795410E-1,2.011067963E0,6.187233582E0,6.510675356E0
1.704479446E1,-6.224057007E-1,3.331472168E0,1.361493759E1,1.403041772E1
1.724520283E1,-2.381248169E0,-5.468128967E-1,1.087548431E1,1.114654683E1
1.744561083E1,-5.351371765E-1,2.827769623E0,4.150868225E0,5.050976129E0
1.764601883E1,-1.455573120E0,1.948947144E0,1.818403610E1,1.834601475E1
1.784642683E1,-4.409829712E-1,2.051034851E0,5.114115143E0,5.527692433E0
1.804683483E1,-7.972421265E-1,2.986739044E0,6.196663971E0,6.924944007E0
1.824724296E1,-1.235830078E0,4.726870422E0,1.374247238E1,1.458513377E1
1.844765096E1,-2.544708252E-1,5.963598633E-1,6.870861969E0,6.901387157E0
1.864805996E1,-1.140478363E0,4.178111572E0,9.585616608E0,1.051861935E1
1.884846796E1,-1.602417755E0,-1.691931610E0,1.437565567E1,1.456330495E1
1.904887596E1,-4.076023865E-1,2.636916504E0,5.229076080E0,5.870494443E0
1.924928412E1,-1.854792938E0,4.094585266E0,1.260828094E1,1.338561294E1
1.944969212E1,-2.622845764E0,1.594633942E0,7.223528595E0,7.848665025E0
1.965010012E1,-5.987548828E-3,3.453618164E0,5.075046387E0,6.138697753E0
1.985050813E1,-2.312990112E0,4.555626526E0,1.698952011E1,1.774112313E1
2.005091613E1,-9.184899902E-1,1.319057007E0,5.443280640E0,5.675635592E0
2.025132296E1,-3.895050201E0,3.178939362E0,7.657326508E0,9.160334098E0
2.045173096E1,-2.920576630E0,4.921765137E-1,1.404604111E1,1.435490426E1
2.065213896E1,-5.197192383E-1,9.455836487E-1,6.728358307E0,6.814326234E0
2.085254696E1,-7.903564453E-1,2.392175446E0,1.757510239E1,1.775475684E1
2.105295496E1,-4.635859680E-1,1.451980591E0,6.477030945E0,6.653952919E0
2.125336308E1,-1.428479462E0,2.634970551E0,4.629273376E0,5.514870385E0
2.145377008E1,-3.123255157E0,4.331991577E0,1.420111862E1,1.517210084E1
2.165417808E1,-1.666634216E0,3.022215271E-1,6.764882355E0,6.973710686E0
2.185458608E1,-1.553319855E0,3.910019073E0,9.448052673E0,1.034247316E1
2.205499308E1,4.411326599E-1,2.194736023E0,1.052416489E1,1.075962410E1
2.225540133E1,-9.286688232E-1,1.854044495E0,7.231611786E0,7.523039000E0
2.245580833E1,-6.676116943E-1,4.211941223E0,1.304522232E1,1.372457575E1
2.265621633E1,-2.694846039E0,1.094523926E0,1.006851242E1,1.048022520E1
2.285662333E1,-2.737806702E-1,2.229014740E0,4.720134430E0,5.227153298E0
2.305703133E1,-4.578977966E-1,4.605472870E0,1.373947861E1,1.449804549E1
2.325743783E1,-4.228706360E-1,3.161874847E0,4.516707458E0,5.529639987E0
2.345784583E1,-6.426136780E-1,4.039499817E0,9.842183075E0,1.065828686E1
2.365825283E1,-1.046324158E-1,2.627935181E0,1.597013992E1,1.618525132E1
2.385865983E1,-8.559201050E-1,2.422861633E0,6.378086700E0,6.876252444E0
2.405906783E1,-3.082988892E0,5.380860443E0,1.290780807E1,1.432026497E1
2.425947471E1,-2.365381165E0,1.178050232E-1,6.940167847E0,7.333132742E0
2.445988171E1,-7.321275330E-1,4.228406982E0,5.115761719E0,6.677308911E0
2.466028971E1,-2.404150543E0,5.251679077E0,1.198767151E1,1.330655257E1
2.486069671E1,-1.161734161E0,2.084714813E0,6.402935028E0,6.833245136E0
2.506110371E1,-1.329684906E0,4.436474304E0,7.118596802E0,8.492631314E0
2.526151125E1,-4.363426208E-1,-9.710307312E-1,1.647863251E1,1.651298352E1
2.546191925E1,-5.831872559E-1,1.914818115E0,5.822142792E0,6.156621028E0
2.566232625E1,-1.052311707E0,4.914729767E0,1.187854843E1,1.289813325E1
2.586273325E1,-2.097737732E0,1.826801147E0,7.200626221E0,7.719243745E0
2.606314025E1,8.502319336E-2,1.654210052E0,4.357139282E0,4.661362737E0
2.626354796E1,-9.059161377E-1,4.244723053E0,1.565220108E1,1.624283708E1
2.646395496E1,6.988966370E-1,2.447260895E0,5.438191223E0,6.004287316E0
2.666436196E1,-2.520308990E0,2.405797119E0,9.082662506E0,9.728030396E0
2.686476996E1,-2.481539612E0,1.082997894E0,1.419453232E1,1.445045574E1
2.706517696E1,-1.121168518E-1,5.878276062E-1,6.459966431E0,6.487624971E0
2.726558450E1,-2.723586273E0,1.757046204E0,1.343336517E1,1.381884342E1
2.746599150E1,6.271957397E-1,1.926493835E0,8.376431122E0,8.617966775E0
2.766639850E1,-1.368603973E0,2.329156494E0,5.121898956E0,5.790673167E0
2.786680550E1,-9.232800293E-1,5.096451874E0,1.313877777E1,1.412280953E1
2.806721250E1,-3.818559265E-1,1.676363983E0,6.554869080E0,6.776600830E0
2.826761858E1,-3.604504395E-1,4.145180054E0,8.503217468E0,9.466633483E0
2.846802558E1,1.487307129E0,-3.802093506E-1,1.224603424E1,1.234187977E1
2.866843258E1,5.628295898E-1,2.555635529E0,7.180567932E0,7.642552318E0
2.886883958E1,-4.458628235E0,1.993554382E0,1.042312500E1,1.151065418E1
2.906924638E1,9.041198730E-2,2.738405457E0,7.280260620E0,7.778768120E0
2.926965338E1,-1.815125427E0,3.273991699E0,5.192402344E0,6.401151776E0
2.947005938E1,-7.783813477E-2,5.125341797E0,1.302007462E1,1.399276707E1
2.967046638E1,-1.258582764E0,1.823657684E0,5.270090790E0,5.716958532E0
2.987087238E1,-4.861889648E-1,4.368964691E0,1.417761749E1,1.484348577E1
3.007127896E1,-4.949607239E0,6.991960144E-1,9.486672363E0,1.072307975E1
3.027168496E1,-4.272116089E-1,1.248254242E0,6.520590363E0,6.652724787E0
3.047209096E1,-4.752616882E-1,4.078418884E0,1.398302216E1,1.457341013E1
3.067249696E1,-6.361770630E-1,2.850222931E0,4.900060272E0,5.704303874E0
3.087290296E1,-1.301992493E0,3.651656342E0,6.082301788E0,7.212778489E0
3.107330883E1,-2.451003113E0,4.432133331E0,1.463282089E1,1.548453000E1
3.127371483E1,-1.123114471E0,2.206411743E0,5.755830688E0,6.265718300E0
3.147412083E1,-2.344424744E0,3.788022766E0,9.525441742E0,1.051567802E1
3.167452683E1,-5.424719238E-1,4.245172119E-1,1.239976456E1,1.241888287E1
3.187493183E1,-1.278641052E0,1.860630798E0,6.556815033E0,6.934601163E0
3.207533821E1,-1.758393402E0,3.608246613E0,1.254780670E1,1.317417337E1
3.227574321E1,-2.373763733E0,1.870510254E0,9.086554413E0,9.575961256E0
3.247614921E1,-7.246430969E-1,3.449127502E0,4.758604431E0,5.921647092E0
3.267655421E1,1.140628052E0,6.786437531E0,1.372989853E1,1.535795821E1
3.287695921E1,3.469784546E-1,2.564766541E0,3.931125183E0,4.706608828E0
3.307736437E1,2.168540497E0,4.017944641E0,1.362691269E1,1.437147162E1
3.327776938E1,-5.043462067E0,-2.013762360E0,1.495405289E1,1.590960233E1
3.347817437E1,7.188052368E-1,2.280956726E0,4.903802490E0,5.455888875E0
3.367857938E1,3.255729675E-1,4.302951965E0,1.211236221E1,1.285809907E1
3.387898437E1,1.089733887E-1,1.351988525E0,7.593259735E0,7.713451988E0
3.407938888E1,-2.028581543E0,2.517015839E0,7.102729797E0,7.803799227E0
3.427979388E1,-1.846560059E0,5.234464874E0,1.167137924E1,1.292402801E1
3.448019788E1,-8.641529846E-1,1.656605072E0,7.019652557E0,7.264063792E0
3.468060288E1,-6.110293579E-1,5.372477875E0,4.637057190E0,7.123143602E0
3.488100688E1,-7.018904114E-1,2.067799988E0,1.509266464E1,1.524981878E1
3.508141221E1,3.095562744E-1,1.461560669E0,6.955436096E0,7.114075904E0
3.528181621E1,-1.828896790E0,4.204157410E0,1.325313995E1,1.402374849E1
3.548222021E1,-1.285526733E0,8.785231018E-1,8.691376190E0,8.829745291E0
3.568262421E1,-8.846603394E-2,2.275867310E0,5.609435120E0,6.054185380E0
3.588302821E1,-3.047662354E-1,4.113745422E0,1.185789139E1,1.255489435E1
3.608343233E1,1.387315063E0,2.770738220E0,5.966143341E0,6.722834204E0
3.628383633E1,-1.177152100E0,3.460803223E0,8.382867737E0,9.145234688E0
3.648424033E1,-4.116439819E-1,1.492546234E0,1.600681366E1,1.608151823E1
3.668464333E1,6.207591248E-1,1.780697021E0,5.930068359E0,6.222695117E0
3.688504733E1,-1.592089233E0,1.399439850E0,1.666679123E1,1.680104490E1
3.708545150E1,-3.348536682E-1,5.827381897E-1,7.401358795E0,7.431811542E0
3.728585450E1,-1.562450867E0,1.786385193E0,5.912554779E0,6.371085369E0
3.748625750E1,-8.307723999E-1,5.026696930E0,1.271186554E1,1.369486730E1
3.768666150E1,-1.504970398E0,1.099613342E0,7.548802185E0,7.775506403E0
3.788706450E1,-1.483265533E0,2.863694916E0,9.717791748E0,1.023895999E1
3.808746708E1,2.184407501E0,1.344055023E0,1.403391632E1,1.426635648E1
3.828787008E1,-3.722758484E-1,1.385818176E0,6.081403656E0,6.248403936E0
3.848827308E1,-1.926942902E0,2.685415649E0,1.141915375E1,1.188787779E1
3.868867608E1,-1.931433563E0,-1.938468933E-1,1.135553604E1,1.152025221E1
3.888907808E1,-1.345551910E0,1.525477753E0,3.766766968E0,4.280902441E0
3.908948113E1,-5.864804077E-1,3.449277191E0,1.246592697E1,1.294761784E1
3.928988412E1,1.738484802E0,3.082689514E0,7.521708527E0,8.312725378E0
3.949028612E1,-2.025737457E0,3.186423798E0,6.024222565E0,7.109723368E0
3.969068913E1,-8.038284302E-2,4.354594574E0,1.375908783E1,1.443195944E1
3.989109113E1,-1.883084106E-1,8.738827515E-1,5.914650421E0,5.981824197E0
4.009149308E1,-9.042695618E-1,3.526965637E0,1.269824387E1,1.320994274E1
4.029189508E1,-4.224215698E-1,5.128335571E-1,1.184441940E1,1.186303963E1
4.049229808E1,-1.633553009E0,1.967957611E0,4.782255249E0,5.423220248E0
4.069270008E1,-1.543440399E0,4.181105347E0,1.288550446E1,1.363451779E1
4.089310108E1,-1.757046204E0,1.553918610E0,7.889044647E0,8.230364503E0
4.109350333E1,-5.254074097E-1,4.232298889E0,6.624923401E0,7.878960395E0
4.129390533E1,-4.719685364E-1,-6.530918884E-1,1.623688522E1,1.625686701E1
4.149430733E1,-1.158141632E0,1.403930511E0,6.821315002E0,7.059932810E0
4.169470833E1,-1.406475220E0,3.297792206E0,1.232521957E1,1.283606807E1
4.189511033E1,-1.157692566E0,1.015488281E0,8.417894897E0,8.557594465E0
