"time","Latitude","Longitude","Altitude","Direction","Speed"
2.309894562E-2,5.359510045E1,9.952712582E0,1.529077721E1,-1.000000000E0,-1.000000000E0
2.798546076E0,5.359458826E1,9.953033337E0,2.277724838E1,2.376562500E2,8.500000238E-1
3.277556539E0,5.359486621E1,9.952708036E0,1.585049057E1,2.587500000E2,1.309999943E0
4.277561307E0,5.359479827E1,9.952747095E0,1.489370346E1,2.281640625E2,1.090000033E0
5.277571559E0,5.359479174E1,9.952734830E0,1.489370363E1,2.281640526E2,1.090000033E0
6.277581573E0,5.359477410E1,9.952738648E0,1.474636478E1,2.309765510E2,1.220000029E0
7.277591944E0,5.359476285E1,9.952730760E0,1.666396730E1,2.404687385E2,1.090000033E0
8.267852187E0,5.359475438E1,9.952729495E0,1.651906979E1,2.267578055E2,8.000000119E-1
9.267825484E0,5.359474604E1,9.952715373E0,1.728969968E1,2.225390559E2,8.000000119E-1
1.026781166E1,5.359473731E1,9.952702179E0,1.739028561E1,2.165624942E2,8.000000119E-1
1.126778388E1,5.359472995E1,9.952691274E0,1.825802243E1,2.207812437E2,7.900000215E-1
1.226776040E1,5.359472516E1,9.952679804E0,1.827450192E1,2.278124925E2,8.299999833E-1
1.326774788E1,5.359472424E1,9.952664245E0,1.724209225E1,2.439843668E2,7.500000000E-1
1.426772547E1,5.359472075E1,9.952650576E0,1.719802487E1,2.450390542E2,7.500000000E-1
1.526770413E1,5.359471564E1,9.952641045E0,1.691158687E1,2.401171803E2,6.800000072E-1
1.626769483E1,5.359470596E1,9.952631532E0,1.627993404E1,2.218359320E2,6.800000072E-1
1.726767659E1,5.359469340E1,9.952617461E0,1.717342770E1,2.221874936E2,7.900000215E-1
1.826765978E1,5.359468187E1,9.952597695E0,1.695821779E1,2.299218646E2,1.120000005E0
1.926765287E1,5.359467498E1,9.952573274E0,1.676382085E1,2.464452983E2,1.269999981E0
2.026763511E1,5.359466978E1,9.952555400E0,1.670736330E1,2.503124872E2,1.120000005E0
2.126762259E1,5.359466788E1,9.952542265E0,1.613564697E1,2.605078005E2,1.000000000E0
2.226762080E1,5.359467013E1,9.952529024E0,1.647091305E1,2.763281156E2,7.799999714E-1
2.326762259E1,5.359467509E1,9.952515687E0,1.683755122E1,3.019921809E2,6.399999857E-1
2.426762486E1,5.359465599E1,9.952366997E0,1.622387318E1,3.075338202E2,8.093493290E-1
2.526762712E1,5.359465644E1,9.952333281E0,1.634925342E1,3.152905650E2,6.580172818E-1
2.626762986E1,5.359465805E1,9.952307299E0,1.641879584E1,2.956574926E2,6.038568030E-1
2.726763391E1,5.359466153E1,9.952282060E0,1.631591941E1,3.087040000E2,7.114329589E-1
2.826763725E1,5.359467654E1,9.952355780E0,1.581605599E1,2.915180845E2,8.037644135E-1
2.926764190E1,5.359467623E1,9.952342978E0,1.687906319E1,2.895039124E2,6.111928621E-1
3.026764584E1,5.359467669E1,9.952332311E0,1.701154762E1,3.051250894E2,3.781095514E-1
3.126765120E1,5.359468644E1,9.952305472E0,1.626450376E1,3.177472706E2,9.064190001E-1
3.226765561E1,5.359468523E1,9.952278922E0,1.615748017E1,3.074036400E2,8.407460091E-1
3.326766181E1,5.359469055E1,9.952257750E0,1.543337715E1,3.197312026E2,8.059992297E-1
3.426766682E1,5.359469211E1,9.952237940E0,1.517827825E1,3.138217531E2,6.624249513E-1
3.526767266E1,5.359469468E1,9.952217282E0,1.487628134E1,3.055056816E2,6.909698051E-1
3.626767874E1,5.359469795E1,9.952189269E0,1.497100535E1,2.917525196E2,9.340299770E-1
3.726768517E1,5.359469964E1,9.952159898E0,1.488222425E1,2.824516823E2,1.089315973E0
3.826769125E1,5.359469731E1,9.952136113E0,1.522246089E1,2.743886616E2,1.076775482E0
3.926769769E1,5.359469765E1,9.952105602E0,1.513615990E1,2.735017231E2,1.099571295E0
4.026770473E1,5.359469722E1,9.952065773E0,1.479466012E1,2.682620825E2,1.062326251E0
4.126771200E1,5.359469337E1,9.952032396E0,1.499139715E1,2.641774730E2,1.052667129E0
4.226771891E1,5.359469630E1,9.952001305E0,1.554232916E1,2.707041952E2,1.276579269E0
4.326772738E1,5.359469850E1,9.951962241E0,1.532944349E1,2.755406409E2,1.362721623E0
4.426773345E1,5.359469228E1,9.951932009E0,1.557879358E1,2.659477663E2,1.346861384E0
4.526774061E1,5.359468952E1,9.951902479E0,1.564281137E1,2.708027982E2,1.325492292E0
4.626774836E1,5.359468853E1,9.951873168E0,1.597323590E1,2.767708540E2,1.398123669E0
4.726775694E1,5.359468975E1,9.951862160E0,1.500845670E1,2.832460951E2,9.833476176E-1
4.826776445E1,5.359468798E1,9.951842192E0,1.473458493E1,2.755213564E2,8.446957320E-1
4.926777267E1,5.359468594E1,9.951814855E0,1.497563883E1,2.750652348E2,8.253871514E-1
5.026778018E1,5.359468399E1,9.951789874E0,1.546434338E1,2.728223814E2,8.967939909E-1
5.126778889E1,5.359468517E1,9.951769954E0,1.618434910E1,2.705096117E2,1.142079194E0
5.226779652E1,5.359468498E1,9.951756319E0,1.601889683E1,2.717732069E2,1.054784962E0
5.326780510E1,5.359468476E1,9.951739141E0,1.624239931E1,2.676104814E2,9.023651065E-1
5.426781368E1,5.359468151E1,9.951700552E0,1.544447187E1,2.622239826E2,1.224714792E0
5.526782203E1,5.359467879E1,9.951668802E0,1.552488952E1,2.608523342E2,1.515320105E0
5.626783061E1,5.359467713E1,9.951645522E0,1.552194598E1,2.616316537E2,1.619447074E0
5.726783848E1,5.359467502E1,9.951622226E0,1.535008847E1,2.638152291E2,1.633726361E0
5.826784790E1,5.359467315E1,9.951598894E0,1.518130811E1,2.650268006E2,1.608839097E0
5.926785600E1,5.359467352E1,9.951574900E0,1.480670629E1,2.665555930E2,1.612202154E0
6.026786470E1,5.359467545E1,9.951551621E0,1.503511191E1,2.684756020E2,1.623662300E0
6.126787353E1,5.359467442E1,9.951524619E0,1.525751119E1,2.692562109E2,1.593613998E0
6.226788247E1,5.359467013E1,9.951498325E0,1.389898906E1,2.641556049E2,1.571298732E0
6.326789093E1,5.359467062E1,9.951473354E0,1.458876765E1,2.574929976E2,1.618528899E0
6.426789951E1,5.359467335E1,9.951451130E0,1.508665677E1,2.590714498E2,1.558133335E0
6.526790929E1,5.359466668E1,9.951428313E0,1.415497715E1,2.512402046E2,1.586087703E0
6.626791751E1,5.359466135E1,9.951406167E0,1.454749885E1,2.467737342E2,1.567131998E0
6.726792645E1,5.359466132E1,9.951389578E0,1.516075344E1,2.516974920E2,1.232487022E0
6.826793599E1,5.359464404E1,9.951374419E0,1.257203612E1,2.293691260E2,1.269837785E0
6.926794469E1,5.359464478E1,9.951361679E0,1.421098047E1,2.324544272E2,9.801112839E-1
7.026795352E1,5.359464416E1,9.951338760E0,1.406038817E1,2.438164971E2,9.521356337E-1
7.126796246E1,5.359463286E1,9.951323369E0,1.277071101E1,2.253649340E2,9.677803249E-1
7.226797175E1,5.359462248E1,9.951304223E0,1.362356285E1,2.252879844E2,1.097932260E0
7.326798129E1,5.359462120E1,9.951279391E0,1.435493061E1,2.370112388E2,1.126739410E0
7.426798987E1,5.359462028E1,9.951263457E0,1.392162436E1,2.371545029E2,9.250899424E-1
7.526799929E1,5.359461786E1,9.951235493E0,1.431538367E1,2.419066002E2,1.054548873E0
7.626800859E1,5.359461148E1,9.951213378E0,1.446738395E1,2.408008609E2,1.187362505E0
7.726801705E1,5.359461035E1,9.951181454E0,1.485802199E1,2.474373833E2,1.234044010E0
7.826802611E1,5.359460576E1,9.951161015E0,1.383739309E1,2.484988816E2,1.244494408E0
7.926803601E1,5.359460046E1,9.951134468E0,1.330918764E1,2.504663716E2,1.238576956E0
8.026804531E1,5.359458849E1,9.951117392E0,1.385725670E1,2.407049803E2,1.320165677E0
8.126805460E1,5.359457882E1,9.951100796E0,1.429648200E1,2.374347969E2,1.223922299E0
8.226806390E1,5.359457116E1,9.951074311E0,1.373910888E1,2.434463440E2,1.444288684E0
8.326807261E1,5.359456182E1,9.951054916E0,1.405512744E1,2.402599898E2,1.395212927E0
8.426808167E1,5.359455169E1,9.951041107E0,1.279937752E1,2.314750402E2,1.181506427E0
8.526809144E1,5.359454081E1,9.951027559E0,1.304672676E1,2.258748865E2,1.049746601E0
8.626810062E1,5.359452798E1,9.951002923E0,1.259766664E1,2.217673689E2,1.291023407E0
8.726810920E1,5.359451190E1,9.950984654E0,1.226696033E1,2.235209637E2,1.336910474E0
8.826811969E1,5.359450132E1,9.950960409E0,1.408863691E1,2.277278585E2,1.582545335E0
8.926812840E1,5.359448953E1,9.950941114E0,1.516618438E1,2.286762956E2,1.516142381E0
9.026813817E1,5.359447795E1,9.950927387E0,1.641082494E1,2.286770179E2,1.406509463E0
9.126814723E1,5.359446953E1,9.950902773E0,1.574901752E1,2.354448515E2,1.571568192E0
9.226815581E1,5.359446491E1,9.950871146E0,1.543220553E1,2.461326646E2,1.596685980E0
9.326816475E1,5.359447130E1,9.950837860E0,1.528496241E1,2.691936085E2,1.604926852E0
9.426817524E1,5.359448315E1,9.950809793E0,1.465074664E1,2.927261639E2,1.511212003E0
9.526818407E1,5.359447399E1,9.950795569E0,1.336363200E1,2.678299985E2,1.004922215E0
9.626819301E1,5.359446606E1,9.950784996E0,1.348379301E1,2.491814761E2,9.750370779E-1
9.726820254E1,5.359445969E1,9.950750331E0,1.371063021E1,2.481289021E2,1.158123261E0
9.826821208E1,5.359444234E1,9.950739409E0,1.487442308E1,2.321697660E2,1.224101878E0
9.926822174E1,5.359443841E1,9.950726439E0,1.510735315E1,2.435165134E2,9.328022791E-1
1.002682313E2,5.359444064E1,9.950700920E0,1.548628485E1,2.683794805E2,1.053898000E0
1.012682405E2,5.359445135E1,9.950671181E0,1.492151139E1,2.911862227E2,1.379114555E0
1.022682500E2,5.359446542E1,9.950639768E0,1.501983724E1,3.005615604E2,1.565266019E0
1.032682592E2,5.359446920E1,9.950609699E0,1.449960443E1,3.018264274E2,1.608879521E0
1.042682688E2,5.359447386E1,9.950573622E0,1.484239532E1,2.997363900E2,1.613317456E0
1.052682772E2,5.359447707E1,9.950533069E0,1.494237795E1,2.970130635E2,1.593579538E0
1.062682872E2,5.359448465E1,9.950505719E0,1.495346805E1,3.014415278E2,1.594527824E0
1.072682965E2,5.359449299E1,9.950474412E0,1.476198889E1,3.093278607E2,1.611549493E0
1.082683055E2,5.359450248E1,9.950441870E0,1.448062765E1,3.102075290E2,1.618372463E0
1.092683158E2,5.359451058E1,9.950421392E0,1.420595586E1,3.100276344E2,1.597652807E0
1.102683249E2,5.359451682E1,9.950393389E0,1.420146630E1,3.074539025E2,1.605628108E0
1.112683337E2,5.359451979E1,9.950360571E0,1.442798031E1,3.042628848E2,1.588673704E0
1.122683437E2,5.359452553E1,9.950327184E0,1.479135407E1,3.068680508E2,1.620204004E0
1.132683531E2,5.359452350E1,9.950309355E0,1.466586576E1,2.894557981E2,1.560444642E0
1.142683624E2,5.359451995E1,9.950316835E0,1.239198625E1,2.607730737E2,1.024194007E0
1.152683722E2,5.359451793E1,9.950331414E0,1.219573179E1,2.362722583E2,8.751884523E-1
1.162683811E2,5.359452558E1,9.950353862E0,1.212749144E1,-1.000000000E0,7.594621762E-1
1.172683904E2,5.359454935E1,9.950397028E0,1.072489042E1,3.375652662E1,1.924924376E0
1.182684000E2,5.359455368E1,9.950415095E0,1.153660257E1,3.123254725E1,1.487204361E0
1.192684096E2,5.359455049E1,9.950421430E0,9.230432897E0,-1.000000000E0,1.605215575E0
1.202684193E2,5.359452755E1,9.950403489E0,8.483365673E0,2.267593380E2,1.327354405E0
1.212684282E2,5.359451005E1,9.950396383E0,9.213341933E0,2.256243563E2,1.638510283E0
1.222684370E2,5.359449198E1,9.950394815E0,1.058752004E1,2.207641509E2,1.608284360E0
1.232684461E2,5.359447434E1,9.950402973E0,1.160461659E1,2.064395295E2,1.467560575E0
1.242684565E2,5.359445688E1,9.950400470E0,1.210296699E1,2.008906705E2,1.465476587E0
1.252684654E2,5.359444068E1,9.950394259E0,1.241192805E1,2.081764809E2,1.310163619E0
1.262684743E2,5.359442622E1,9.950386837E0,1.376042566E1,2.155329768E2,1.345319859E0
1.272684847E2,5.359440545E1,9.950387034E0,1.385830277E1,2.148896387E2,1.482620091E0
1.282684937E2,5.359439044E1,9.950377008E0,1.358929725E1,2.218968296E2,1.551446819E0
1.292685031E2,5.359437169E1,9.950375967E0,1.326556082E1,2.113827162E2,1.563675584E0
1.302685131E2,5.359435214E1,9.950378965E0,1.296390128E1,2.055059759E2,1.468020266E0
1.312685215E2,5.359433374E1,9.950387986E0,1.328711416E1,1.912841458E2,1.551825810E0
1.322685307E2,5.359431791E1,9.950389771E0,1.407966372E1,1.886530094E2,1.538519311E0
1.332685411E2,5.359430193E1,9.950388388E0,1.419456874E1,1.913221975E2,1.558829382E0
1.342683175E2,5.359428967E1,9.950377360E0,1.374680439E1,2.041341102E2,1.575949958E0
1.352683175E2,5.359427496E1,9.950378566E0,1.313081081E1,2.018725545E2,1.525899667E0
1.362683122E2,5.359426225E1,9.950378626E0,1.448178129E1,2.048226329E2,1.212565848E0
1.372683055E2,5.359424389E1,9.950365979E0,1.472754439E1,2.108623764E2,1.536408949E0
1.382682971E2,5.359422434E1,9.950361647E0,1.437394116E1,2.090781635E2,1.612754137E0
1.392682832E2,5.359420446E1,9.950363987E0,1.510786435E1,2.088272485E2,1.606481710E0
1.402682666E2,5.359418753E1,9.950366761E0,1.525931229E1,2.069947859E2,1.567035635E0
1.412682580E2,5.359417112E1,9.950368799E0,1.520670099E1,2.088675085E2,1.578598979E0
1.422682439E2,5.359415123E1,9.950375302E0,1.559358609E1,2.018260731E2,1.578901591E0
1.432682282E2,5.359413547E1,9.950371536E0,1.551499378E1,2.014388226E2,1.601394885E0
1.442682116E2,5.359412360E1,9.950360596E0,1.600311618E1,2.043981055E2,1.552872552E0
1.452681938E2,5.359410693E1,9.950356364E0,1.546641686E1,2.015144915E2,1.592865774E0
1.462681785E2,5.359409270E1,9.950353202E0,1.581064986E1,1.987347429E2,1.599007687E0
1.472681646E2,5.359408156E1,9.950340424E0,1.609230852E1,2.049541171E2,1.566765351E0
1.482681487E2,5.359406598E1,9.950336207E0,1.611096759E1,2.066354238E2,1.594960992E0
1.492681317E2,5.359405637E1,9.950333763E0,1.526661646E1,2.027498724E2,1.537607536E0
1.502681167E2,5.359404406E1,9.950335228E0,1.647094730E1,1.930029944E2,1.474156845E0
1.512681028E2,5.359403362E1,9.950317339E0,1.588873693E1,2.002772151E2,1.585258133E0
1.522680899E2,5.359402028E1,9.950309073E0,1.542377993E1,1.975034202E2,1.616857900E0
1.532680789E2,5.359400750E1,9.950306381E0,1.464214644E1,1.975649257E2,1.476254211E0
1.542680689E2,5.359400535E1,9.950323122E0,1.468365264E1,1.583537215E2,7.622696422E-1
1.552680597E2,5.359399474E1,9.950325547E0,1.408792038E1,1.754535026E2,7.683535600E-1
1.562680513E2,5.359398500E1,9.950306565E0,1.497462279E1,1.993588657E2,1.030423099E0
1.572680447E2,5.359395836E1,9.950291549E0,1.462859998E1,2.014731166E2,1.865139107E0
1.582680382E2,5.359394863E1,9.950275274E0,1.535083931E1,2.222244904E2,1.620847384E0
1.592680329E2,5.359393330E1,9.950271345E0,1.559971141E1,2.103498769E2,1.604115127E0
1.602680289E2,5.359392022E1,9.950260886E0,1.629306282E1,2.065465956E2,1.618020263E0
1.612680246E2,5.359390733E1,9.950251302E0,1.627833303E1,2.018621921E2,1.592350263E0
1.622680221E2,5.359389505E1,9.950236892E0,1.687935403E1,2.031256792E2,1.512439929E0
1.632680194E2,5.359389903E1,9.950195757E0,1.795808830E1,2.436563847E2,1.348229788E0
1.642680175E2,5.359390387E1,9.950163036E0,1.809310345E1,2.725134795E2,1.441028220E0
1.652680163E2,5.359390753E1,9.950129334E0,1.727494175E1,2.790185679E2,1.593384212E0
1.662680148E2,5.359390893E1,9.950104302E0,1.682830581E1,2.770657983E2,1.600807801E0
1.672680153E2,5.359391800E1,9.950078947E0,1.515161691E1,2.855911018E2,1.556597065E0
1.682680149E2,5.359391956E1,9.950051222E0,1.543579532E1,2.831771035E2,1.542488949E0
1.692680157E2,5.359392109E1,9.950022837E0,1.663153584E1,2.794336926E2,1.533586657E0
1.702680168E2,5.359391970E1,9.949997530E0,1.687960427E1,2.707473518E2,1.455637275E0
1.712680178E2,5.359391550E1,9.949985833E0,1.785162774E1,2.557722806E2,1.016761425E0
1.722680196E2,5.359391466E1,9.949963667E0,1.750856791E1,2.593110066E2,8.956139109E-1
1.732680218E2,5.359392135E1,9.949941030E0,1.680404714E1,2.694880721E2,9.700252117E-1
1.742680242E2,5.359392485E1,9.949918477E0,1.686487720E1,2.761705652E2,1.073777445E0
1.752680269E2,5.359392594E1,9.949890722E0,1.691670416E1,2.777347177E2,1.126264861E0
1.762680303E2,5.359393151E1,9.949868587E0,1.691955742E1,2.881733163E2,9.490779295E-1
1.772680335E2,5.359394100E1,9.949848523E0,1.678719069E1,2.950623294E2,9.897910475E-1
1.782680377E2,5.359393888E1,9.949817858E0,1.619583225E1,2.869248877E2,9.840674915E-1
1.792680408E2,5.359394383E1,9.949790448E0,1.503929903E1,2.884366806E2,9.949583763E-1
1.802680446E2,5.359395094E1,9.949764176E0,1.546818612E1,2.937756393E2,1.235583818E0
1.812680483E2,5.359395748E1,9.949741975E0,1.564090081E1,2.952179567E2,1.065155735E0
1.822680531E2,5.359395651E1,9.949718041E0,1.535617561E1,2.916812030E2,8.203842815E-1
1.832680575E2,5.359395758E1,9.949696838E0,1.541878750E1,2.885535959E2,7.435070719E-1
1.842680621E2,5.359395416E1,9.949665235E0,1.517703131E1,2.806546132E2,9.020236839E-1
1.852680674E2,5.359394979E1,9.949637000E0,1.539661260E1,2.767363513E2,1.141141225E0
1.862680727E2,5.359394243E1,9.949616809E0,1.533542083E1,2.696813150E2,1.038603928E0
1.872680773E2,5.359393983E1,9.949589127E0,1.512692792E1,2.682233728E2,1.110842936E0
1.882680831E2,5.359393542E1,9.949573022E0,1.530184733E1,2.711087333E2,7.764438019E-1
1.892680885E2,5.359392844E1,9.949528945E0,1.508359409E1,2.675965405E2,1.229664964E0
1.902680938E2,5.359392502E1,9.949496003E0,1.522265382E1,2.691054411E2,1.418080975E0
1.912680993E2,5.359392000E1,9.949466365E0,1.511958820E1,2.681149919E2,1.370039596E0
1.922681050E2,5.359391724E1,9.949446293E0,1.536546600E1,2.658816482E2,1.234129652E0
1.932681111E2,5.359391479E1,9.949425844E0,1.532361874E1,2.631936835E2,1.163707366E0
1.942681162E2,5.359391483E1,9.949408565E0,1.571046478E1,2.693405142E2,1.013535713E0
1.952681229E2,5.359391051E1,9.949374372E0,1.554030901E1,2.657788811E2,1.155047185E0
1.962681285E2,5.359390735E1,9.949354000E0,1.510787046E1,2.584677692E2,9.766566289E-1
1.972681347E2,5.359390215E1,9.949326691E0,1.456388899E1,2.554528204E2,1.088645295E0
1.982681412E2,5.359389505E1,9.949310241E0,1.455535253E1,2.449683278E2,1.109462343E0
