"time","Gyroscope x","Gyroscope y","Gyroscope z","abs Gyroscope"
2.106446251E-1,2.909157574E-1,-5.722463727E-1,-1.398482174E-1,6.570048804E-1
4.110506251E-1,-3.397341669E-1,3.096158057E-2,-3.018555045E-1,4.555158276E-1
6.114566252E-1,6.470826268E-1,-1.249887198E-1,1.160270810E0,1.334378679E0
8.118616249E-1,-2.308406234E-1,5.755240843E-2,4.605672657E-1,5.183839112E-1
1.012267625E0,6.390091032E-2,-9.486175776E-1,3.643562272E-2,9.514652854E-1
1.212673500E0,-8.111399412E-1,9.665817022E-1,-1.285459280E0,1.801286693E0
1.413078500E0,6.800542474E-1,-1.910665035E0,-4.452587962E-1,2.076383888E0
1.613484500E0,6.777618080E-2,-1.042003155E0,1.370581627E0,1.723037487E0
1.813890500E0,1.025762081E0,7.333869934E-1,1.375250697E0,1.865839974E0
2.014295500E0,1.414553881E0,-2.440811545E-1,-4.368169308E-1,1.500449040E0
2.214701334E0,3.874519765E-1,5.006487668E-2,-3.270947337E-1,5.095257509E-1
2.415107334E0,-1.863489985E0,1.216679811E-1,-1.163890719E0,2.200463504E0
2.615513334E0,4.699461460E-1,-9.173670411E-2,-7.725911736E-1,9.089346097E-1
2.815918333E0,-3.734249771E-1,-4.292599857E-1,-2.465038896E-1,6.200600909E-1
3.016324333E0,-6.354845166E-1,6.851778030E-1,1.618694663E-1,9.484254935E-1
3.216729959E0,-1.002742499E-1,-1.616997570E-1,-8.759282827E-1,8.963548924E-1
3.417135959E0,-1.694597602E-1,4.779473692E-2,-6.046454906E-1,6.297595704E-1
3.617541959E0,-5.798766017E-1,4.638649225E-1,-1.076668426E-1,7.503463790E-1
3.817947959E0,-9.982927442E-1,-6.864986420E-1,1.464442164E-1,1.220374818E0
4.018353959E0,7.971386313E-1,9.085502625E-1,2.067418993E-1,1.226228278E0
4.218760708E0,4.151375890E-1,2.041590363E-1,-3.525013030E-1,5.816161092E-1
4.419166708E0,5.691587925E-1,-5.888831019E-1,4.581167549E-2,8.202583425E-1
4.619572708E0,-3.992976844E-1,-4.718773961E-1,-8.997935057E-1,1.091666282E0
4.819978708E0,9.507822990E-1,1.808931708E0,-1.760554612E-1,2.051150026E0
5.020384708E0,7.139339447E-1,6.604500413E-1,7.853468060E-1,1.250066214E0
5.220790708E0,-1.488982916E0,6.067265272E-1,4.897955060E-1,1.680799465E0
5.421196708E0,1.285352468E0,-1.050124407E0,3.368463814E-1,1.693622662E0
5.621603708E0,4.128699303E-1,3.740961850E-1,-1.368526220E0,1.477590454E0
5.822009708E0,1.433967203E-1,-2.497889251E-1,-3.853624463E-1,4.811042938E-1
6.022415708E0,5.347874761E-1,6.351169348E-1,-2.725028694E-1,8.738586723E-1
6.222821209E0,-3.778893948E-1,2.227096446E-2,5.243279934E-1,6.466964011E-1
6.423228208E0,4.417001903E-1,7.113766670E-1,2.157266289E-1,8.646928928E-1
6.623634208E0,3.730989695E-1,-4.977822602E-1,-9.078087658E-2,6.286741502E-1
6.824040208E0,-5.695660114E-1,4.540989995E-1,-4.341827631E-1,8.480129801E-1
7.024446208E0,4.394940436E-1,-4.671739042E-1,-2.053362727E-1,6.734756536E-1
7.224852209E0,4.048424363E-1,6.898727417E-1,-4.592155665E-2,8.012057085E-1
7.425259208E0,-5.080623031E-1,3.786543906E-1,-2.437554002E-1,6.789132098E-1
7.625665208E0,1.390262604E0,6.019288301E-1,-5.551027656E-1,1.613470639E0
7.826071208E0,-8.469095826E-2,1.671643853E0,-1.164060757E-1,1.677830774E0
8.026477208E0,-1.917052567E-1,2.080153823E-1,1.745126992E-1,3.323792817E-1
8.226885125E0,2.958237529E-1,-5.177966356E-1,3.586618006E-1,6.958903188E-1
8.427291125E0,-1.444062710E0,-2.043891430E0,3.433883429E0,4.249042797E0
8.627697125E0,-9.691848159E-1,9.759258032E-1,1.679682612E0,2.170963855E0
8.828103125E0,2.130498141E-1,-2.465876937E-1,-1.143710256E0,1.189230366E0
9.028510125E0,-1.714436769E0,-3.814141154E-1,6.663941741E-1,1.878523718E0
9.228915459E0,-7.415282726E-1,1.644583821E0,4.285610020E-1,1.854234251E0
9.429321459E0,1.208762527E0,-3.599832952E-1,-8.899651766E-1,1.543610324E0
9.629728458E0,7.972620130E-1,-2.883298099E-1,-7.621245980E-1,1.139997675E0
9.830134458E0,4.419481754E-1,-3.105897605E-1,-2.726438940E-1,6.050775835E-1
1.003054146E1,-1.160641193E0,-7.422838211E-1,-6.073985100E-1,1.505658062E0
