time,Latitude,Longitude,Altitude,Direction,Speed
0.059945107,53.54561846,9.930978714,33.95220375,-1,-1
1.148024082,53.54576104,9.93101334,33.94769859,-1,-1
2.113203883,53.54578083,9.930990398,11.78252988,-1,1.828147173
3.113187075,53.54578374,9.930926532,29.94556119,-1,1.828147173
4.113171458,53.54577406,9.930949148,30.01242015,270.8350806,1.129830122
5.113156319,53.54577585,9.930963608,29.95983458,248.3906856,1.020056367
6.113140464,53.54578408,9.930954588,29.91837004,254.1176204,1.020056367
7.063125849,53.54577139,9.930942284,29.94045428,257.7485009,1.041559577
8.012995601,53.54577592,9.930915129,29.88362898,257.9391525,1.041559577
8.964260578,53.54577226,9.930887543,29.86916294,253.8571312,0.939416349
9.915634274,53.54574903,9.930865238,29.86657439,251.333271,0.939416349
10.86698937,53.54574123,9.930842053,29.80988838,264.3640799,1.082630038
11.81828082,53.54572002,9.930826608,29.7516122,259.4268142,1.11319077
12.769467,53.54569108,9.930805944,29.64094794,244.5904624,1.327374816
