"time","Acceleration x","Acceleration y","Acceleration z","abs Acceleration"
1.765348440E2,1.309626617E0,-7.276368713E-1,1.169293442E1,1.178852377E1
1.767352000E2,3.682342529E-2,1.583706665E0,7.379504242E0,7.547619865E0
1.769355560E2,5.857319641E-1,2.528392181E0,1.071022797E1,1.102020109E1
1.771359110E2,6.945556641E-1,1.197809143E0,6.226152649E0,6.378254551E0
1.773362670E2,5.487588501E-1,1.910776520E0,7.176077271E0,7.446360734E0
1.775366223E2,-1.746867371E-1,2.825374603E0,1.251173172E1,1.282796507E1
1.777369783E2,-1.691482544E-1,4.797523499E-1,6.579567719E0,6.599203347E0
1.779373343E2,1.606010284E0,3.898942108E0,1.271455994E1,1.339556094E1
1.781376893E2,-1.737886047E-1,-9.960287476E-1,1.100915634E1,1.105548728E1
1.783380453E2,1.511856079E-1,1.564845886E0,5.947581940E0,6.151855872E0
1.785383998E2,7.640112305E-1,2.163002014E0,1.258852203E1,1.279582658E1
1.787387548E2,-1.616937561E0,5.740562439E-1,8.729546814E0,8.896573229E0
1.789391108E2,6.122268677E-2,2.896327057E0,4.306394806E0,5.190134378E0
1.791394658E2,1.354084167E0,2.432591400E0,1.456576035E1,1.482944434E1
1.793398218E2,1.982178040E0,5.478607178E-2,8.590336304E0,8.816229869E0
1.795401770E2,9.128018188E-1,2.378254395E0,9.942474518E0,1.026362999E1
1.797405320E2,1.344354401E0,1.287322998E-1,1.337319031E1,1.344120827E1
1.799408880E2,-5.665718079E-1,1.908381500E0,4.521048431E0,4.939919279E0
1.801412430E2,2.215842133E0,2.171085205E0,1.535746399E1,1.566765035E1
1.803415980E2,3.073109436E-1,4.421804810E-1,5.428311768E0,5.454954834E0
1.805419534E2,-8.038284302E-2,2.505639496E0,8.078999634E0,8.459014468E0
1.807423094E2,6.038442993E-1,1.851799164E0,1.074360855E1,1.091874136E1
1.809426644E2,-1.531614990E0,1.029858398E0,7.498506775E0,7.722309023E0
1.811430194E2,-1.514849854E-1,3.046315155E0,9.339378662E0,9.824814376E0
1.813433744E2,3.718716888E0,-2.488275604E0,1.771850418E1,1.827473013E1
1.815437290E2,9.448352051E-1,9.255253601E-1,6.579268341E0,6.710892836E0
1.817440840E2,2.493814087E-1,1.038690033E0,1.400128418E1,1.404197375E1
1.819444390E2,-1.555864563E0,5.225633240E-1,8.498577118E0,8.655610897E0
1.821447940E2,6.845265198E-1,1.991009674E0,4.800816650E0,5.242188149E0
1.823451490E2,1.182690582E0,3.010838928E0,1.651425842E1,1.682809078E1
