"time","Latitude","Longitude","Altitude","Direction","Speed"
2.902996540E-2,5.355344322E1,1.002235339E1,1.650697708E1,-1.000000000E0,-1.000000000E0
7.278299332E-2,5.355344155E1,1.002235951E1,1.650697708E1,-1.000000000E0,-1.000000000E0
1.945010543E0,5.355307953E1,1.002167987E1,7.912710190E1,3.462890625E2,8.899999857E-1
2.704012752E0,5.355309449E1,1.002178866E1,8.172323227E1,2.591015625E2,8.899999857E-1
3.704014659E0,5.355305820E1,1.002178422E1,7.821035385E1,3.150000000E2,8.799999952E-1
4.704017997E0,5.355306993E1,1.002177483E1,6.845528793E1,3.448828125E2,7.900000215E-1
5.704020500E0,5.355307819E1,1.002177123E1,7.143862534E1,2.671875000E1,5.400000215E-1
6.704022884E0,5.355308636E1,1.002177542E1,7.252065659E1,8.437500000E0,1.800000072E-1
7.703439116E0,5.355309399E1,1.002177827E1,7.152706528E1,1.406250000E1,3.799999952E-1
8.703282714E0,5.355309881E1,1.002177794E1,6.903335190E1,3.262500000E2,3.799999952E-1
9.703118682E0,5.355310627E1,1.002177517E1,6.781478500E1,3.258984375E2,4.300000072E-1
1.070295084E1,5.355311356E1,1.002177911E1,6.690298080E1,3.135937500E2,5.199999809E-1
1.170279753E1,5.355312085E1,1.002177919E1,6.402968979E1,3.315234375E2,6.600000262E-1
1.270265138E1,5.355312990E1,1.002177408E1,6.177584457E1,3.262500000E2,8.000000119E-1
1.370251608E1,5.355314139E1,1.002176444E1,6.161098862E1,3.258984375E2,8.000000119E-1
1.470239067E1,5.355314734E1,1.002175767E1,6.161098874E1,3.258984321E2,8.000000119E-1
1.570226991E1,5.355316028E1,1.002175101E1,6.064028562E1,3.266015567E2,8.700000048E-1
1.670215786E1,5.355317824E1,1.002174693E1,5.591927739E1,3.315234301E2,1.279999971E0
1.770205534E1,5.355319702E1,1.002174801E1,5.344674323E1,3.403124944E2,1.370000005E0
1.870195782E1,5.355321445E1,1.002174219E1,5.479464363E1,3.396093690E2,1.409999967E0
1.970186448E1,5.355324513E1,1.002170896E1,4.951321052E1,3.360937431E2,1.409999967E0
2.070178342E1,5.355328904E1,1.002166234E1,4.732497828E1,3.346874892E2,2.079999924E0
2.170170462E1,5.355332179E1,1.002162440E1,4.601485865E1,3.360937398E2,2.079999924E0
2.270163167E1,5.355334170E1,1.002160179E1,4.393807621E1,3.424218704E2,1.259999990E0
2.370156407E1,5.355336613E1,1.002157545E1,4.184524174E1,3.462890589E2,1.259999990E0
2.470149958E1,5.355338834E1,1.002154911E1,4.030263920E1,3.455859337E2,1.250000000E0
2.570143950E1,5.355341019E1,1.002152433E1,3.961202641E1,3.427734330E2,1.250000000E0
2.670138347E1,5.355343115E1,1.002150157E1,3.849679205E1,3.455859335E2,1.320000052E0
2.770133054E1,5.355344449E1,1.002148216E1,3.753835692E1,3.448828096E2,9.100000262E-1
2.870128119E1,5.355346193E1,1.002146499E1,3.781600588E1,3.473437470E2,1.129999995E0
2.970123398E1,5.355347779E1,1.002144689E1,3.934884279E1,3.448828090E2,1.120000005E0
3.070119202E1,5.355349485E1,1.002143357E1,3.944112795E1,3.491015599E2,1.129999995E0
3.170114958E1,5.355351334E1,1.002141553E1,4.040847419E1,3.438281204E2,1.370000005E0
3.270111156E1,5.355352086E1,1.002140457E1,4.082448971E1,3.413671844E2,7.900000215E-1
3.370107567E1,5.355353897E1,1.002138289E1,4.188290047E1,3.339843674E2,1.419999957E0
3.470104134E1,5.355355446E1,1.002136594E1,4.162258552E1,3.346874926E2,1.419999957E0
3.570101058E1,5.355347289E1,1.002150100E1,5.412401072E1,3.313321828E2,1.099384049E0
3.670098102E1,5.355349449E1,1.002149189E1,5.398787977E1,3.314730715E2,1.321920286E0
3.770095336E1,5.355351043E1,1.002149959E1,5.373403220E1,3.360658426E2,1.107567860E0
3.870092690E1,5.355352997E1,1.002146968E1,5.423615491E1,3.336008362E2,1.080020555E0
3.970090258E1,5.355354992E1,1.002144670E1,5.346727255E1,3.143074757E2,6.648619241E-1
4.070087898E1,5.355357555E1,1.002143006E1,5.247833825E1,3.313831910E2,1.026607970E0
4.170085812E1,5.355359682E1,1.002140528E1,5.251573100E1,3.365441433E2,1.282371835E0
4.270083749E1,5.355361873E1,1.002138244E1,5.218007745E1,3.390250498E2,1.356894496E0
4.370081866E1,5.355364634E1,1.002134803E1,5.241840879E1,3.391166205E2,1.446165502E0
4.470080042E1,5.355366037E1,1.002134060E1,5.101421237E1,3.431066923E2,1.226002053E0
4.570078361E1,5.355368111E1,1.002132852E1,5.112519429E1,3.370157440E2,1.171048493E0
4.670076871E1,5.355365715E1,1.002136546E1,4.944918016E1,3.405114304E2,1.181134291E0
4.770075297E1,5.355366434E1,1.002134440E1,4.870878035E1,3.354177043E2,1.296295761E0
4.870073974E1,5.355368240E1,1.002133189E1,4.936621019E1,3.374588385E2,1.324005044E0
4.970072663E1,5.355369473E1,1.002131862E1,4.959545993E1,3.366221804E2,1.262580425E0
5.070071435E1,5.355371675E1,1.002130540E1,5.008182426E1,3.384667836E2,1.384111819E0
5.170070267E1,5.355373430E1,1.002129122E1,5.071299521E1,3.422395721E2,1.397566748E0
5.270069206E1,5.355374486E1,1.002127874E1,5.056657878E1,3.374789993E2,1.261457413E0
5.370068216E1,5.355375532E1,1.002126435E1,5.213127657E1,3.366126690E2,1.224787641E0
