"time","Gyroscope x","Gyroscope y","Gyroscope z","abs Gyroscope"
1.765348440E2,6.838306189E-1,-8.934046030E-1,2.390509471E-2,1.125329975E0
1.767352000E2,4.377468824E-1,9.144148231E-2,6.017202139E-2,4.512256087E-1
1.769355560E2,5.747704506E-1,-1.577411532E0,-3.143644035E-1,1.708043674E0
1.771359110E2,-4.263767004E-1,-1.680084765E-1,-2.360728085E-1,5.155136368E-1
1.773362670E2,-4.661583900E-1,4.122145474E-1,-2.041706890E-1,6.549123208E-1
1.775366223E2,4.892757535E-2,6.818163991E-1,-9.800813347E-2,6.905599930E-1
1.777369783E2,-1.292227954E-1,8.323265910E-1,6.909775138E-1,1.089456750E0
1.779373343E2,3.377068415E-2,1.163352013E0,3.457493782E-1,1.214113255E0
1.781376893E2,1.112326860E0,-7.730068564E-1,-1.223582268E0,1.825366870E0
1.783380453E2,-2.184212506E-1,-1.051736951E0,-1.360472441E-1,1.082759119E0
1.785383998E2,7.122916579E-1,3.011833429E-1,1.602327675E-1,7.897755072E-1
1.787387548E2,2.413775027E-1,4.699422717E-1,-2.584429979E-1,5.881340160E-1
1.789391108E2,-5.992565155E-1,8.618370444E-2,7.095473409E-1,9.327343841E-1
1.791394658E2,7.415719032E-1,-4.099444747E-1,-4.876403809E-1,9.776382261E-1
1.793398218E2,-3.470753729E-1,9.396699071E-1,-1.557756364E-1,1.013758797E0
1.795401770E2,-1.462978274E-1,8.351314068E-1,1.342254132E-1,8.584078183E-1
1.797405320E2,-1.304537952E-1,6.188931465E-1,8.344350457E-1,1.047057193E0
1.799408880E2,7.003164887E-1,5.144746304E-1,2.940446138E-1,9.173819077E-1
1.801412430E2,-2.696746401E-2,-1.078048229E0,-8.996803313E-2,1.082131912E0
1.803415980E2,5.666568279E-1,-4.120910466E-1,-9.695948362E-1,1.196257973E0
1.805419534E2,-1.223592013E-1,-5.813201070E-1,-5.533760041E-2,5.966297771E-1
1.807423094E2,-1.873104721E-1,-3.777656332E-2,-5.917803198E-2,2.000357997E-1
1.809426644E2,-1.357345283E-1,2.921818495E-1,9.855954647E-1,1.036914903E0
1.811430194E2,-4.476245046E-1,3.910019100E-1,5.208312273E-1,7.902628411E-1
1.813433744E2,7.211989760E-1,3.446815908E-1,-4.770148396E-1,9.308472051E-1
1.815437290E2,-5.079960078E-2,-5.316877365E-1,-5.047116876E-1,7.348512340E-1
1.817440840E2,2.359824032E-1,-5.947102308E-1,-8.119264990E-2,6.449497652E-1
1.819444390E2,4.486030638E-1,6.553053856E-2,2.387967706E-1,5.124088777E-1
1.821447940E2,-1.852737814E-1,-1.011749655E-1,5.075734258E-1,5.497213206E-1
1.823451490E2,1.292156577E-1,-1.335045457E0,3.893423080E-1,1.396649738E0
1.825455042E2,-3.313739896E-1,2.325008065E-1,-1.039214611E0,1.115272323E0
1.827458592E2,-7.567784935E-2,8.226357102E-1,-2.106630504E-1,8.525465204E-1
1.829462142E2,-1.244427562E0,6.610706449E-1,9.410207272E-1,1.694442198E0
1.831465692E2,2.742432058E-1,-7.114237547E-2,4.355688989E-1,5.196064272E-1
1.833469242E2,-1.538809538E-1,2.267959714E-1,1.972573698E-1,3.376777021E-1
1.835472792E2,9.757078290E-1,-9.877002239E-1,-1.423439503E0,1.988400744E0
1.837476342E2,-5.117183924E-2,2.862758934E-1,-2.990190387E-1,4.171148880E-1
1.839479882E2,-5.114012957E-1,-6.138125658E-1,-2.383589149E-1,8.337338445E-1
1.841483432E2,3.005627096E-1,4.595181048E-1,4.373673499E-1,7.019864883E-1
1.843486982E2,-3.388563097E-1,2.903355658E-1,4.663100839E-1,6.454172555E-1
1.845490537E2,-1.428307056E0,-2.206023932E0,-1.388408840E-1,2.631706561E0
1.847494077E2,-1.799180731E-2,9.642241001E-1,-3.243071437E-1,1.017461028E0
1.849497627E2,-3.950513899E-1,-5.699005723E-2,4.205437899E-1,5.798021615E-1
1.851501177E2,5.313405395E-1,-3.766852319E-1,8.552502990E-1,1.075019817E0
1.853504717E2,3.937098980E-1,5.886967778E-1,7.461145520E-1,1.028716824E0
1.855508262E2,-3.480215371E-1,-4.823030531E-1,-3.480543792E-1,6.891132536E-1
1.857511812E2,1.362023354E0,-8.731803298E-1,-1.941068649E0,2.526914918E0
1.859515352E2,-1.584331542E-1,-8.264448643E-1,1.230296791E-1,8.504401684E-1
1.861518902E2,-3.379292786E-1,-5.107372999E-1,-1.825049371E-1,6.390280424E-1
1.863522442E2,-4.877082407E-1,-1.287243217E-1,1.466846466E0,1.551150487E0
1.865525989E2,-5.425990820E-1,7.136040926E-1,5.928146839E-1,1.074743604E0
1.867529529E2,5.413609147E-1,7.136033177E-1,-4.054434001E-1,9.832017523E-1
1.869533079E2,2.932885885E-1,2.253411897E-2,-8.843406439E-1,9.319787321E-1
1.871536619E2,4.755426645E-1,-1.344472766E-1,-6.554841399E-1,8.208997220E-1
1.873540159E2,-9.755342454E-2,-4.712862074E-1,2.046920918E-2,4.817118937E-1
1.875543712E2,9.239383787E-2,2.384542376E-1,5.196402073E-1,5.791571373E-1
1.877547252E2,3.589037061E-1,-5.408831835E-1,-2.248926163E-1,6.869812059E-1
1.879550792E2,3.188315630E-1,-3.497849703E-1,-6.954913139E-1,8.412557630E-1
1.881554342E2,-1.462125033E-1,-1.356729716E-1,-1.501915753E-1,2.496853232E-1
1.883557882E2,-1.605317146E-1,-5.672834069E-2,8.209086955E-2,1.890170545E-1
1.885561432E2,1.426239312E-1,1.493846029E-1,3.721055090E-1,4.255817844E-1
1.887564972E2,-8.180032969E-1,-3.050699532E-1,1.077346429E-1,8.796611980E-1
1.889568512E2,1.281546593E0,1.817916930E-1,-5.322703123E-1,1.399543345E0
