"time","Pressure"
4.379019167E-1,1.011855545E3
1.438295917E0,1.011859970E3
2.438733917E0,1.011871719E3
3.439143917E0,1.011875839E3
3.796860917E0,1.011882553E3
4.863947917E0,1.011887970E3
5.931032917E0,1.011894302E3
6.998116917E0,1.011900558E3
8.065166917E0,1.011909256E3
9.132237917E0,1.011913834E3
1.019932692E1,1.011917419E3
1.126636092E1,1.011917419E3
1.233337392E1,1.011915359E3
1.340041292E1,1.011912384E3
1.446740292E1,1.011910400E3
1.553436792E1,1.011910095E3
1.660137592E1,1.011910095E3
1.766838192E1,1.011909866E3
1.873535392E1,1.011902084E3
1.980230692E1,1.011897888E3
2.086924892E1,1.011888580E3
2.193624092E1,1.011881790E3
2.300322292E1,1.011879044E3
2.407019092E1,1.011877594E3
2.513712392E1,1.011878510E3
2.620405292E1,1.011878510E3
2.727093992E1,1.011878662E3
2.833785792E1,1.011878662E3
2.940469192E1,1.011874619E3
3.047155092E1,1.011874619E3
3.153842492E1,1.011881866E3
3.260530292E1,1.011891556E3
3.367215292E1,1.011899948E3
3.473892792E1,1.011905136E3
3.580571492E1,1.011905136E3
3.687249992E1,1.011901245E3
3.793932092E1,1.011887283E3
3.900612192E1,1.011877899E3
4.007290892E1,1.011877899E3
4.113969992E1,1.011880569E3
4.220647792E1,1.011883469E3
4.327325492E1,1.011892319E3
4.434002092E1,1.011902618E3
4.540673792E1,1.011908340E3
4.647345792E1,1.011913986E3
4.754016492E1,1.011917801E3
4.860684792E1,1.011921234E3
4.967350992E1,1.011923370E3
5.074016792E1,1.011928558E3
5.180680892E1,1.011930313E3
5.287348192E1,1.011931915E3
5.394011392E1,1.011931915E3
5.500674692E1,1.011925812E3
5.607334692E1,1.011912384E3
5.713995992E1,1.011896210E3
5.820660192E1,1.011883469E3
5.927325592E1,1.011873856E3
6.033987792E1,1.011864548E3
6.140651292E1,1.011861801E3
6.247310092E1,1.011861801E3
6.353972892E1,1.011863785E3
6.460628392E1,1.011866684E3
6.567283992E1,1.011875458E3
6.673939092E1,1.011884308E3
6.780596892E1,1.011893005E3
6.887254292E1,1.011893768E3
6.993908292E1,1.011893768E3
7.100563692E1,1.011880188E3
7.207212492E1,1.011877594E3
7.313865292E1,1.011877594E3
7.420520692E1,1.011885376E3
7.527176492E1,1.011897888E3
7.633829392E1,1.011923370E3
7.740479692E1,1.011936951E3
7.847125892E1,1.011952744E3
7.953773692E1,1.011963272E3
8.060424992E1,1.011971130E3
8.167072292E1,1.011976395E3
8.273723492E1,1.011984940E3
8.380370692E1,1.011990433E3
8.487017792E1,1.011995316E3
8.593664092E1,1.011998825E3
8.700309592E1,1.012001419E3
8.806951392E1,1.012004929E3
8.913596092E1,1.012005844E3
9.020241692E1,1.012009430E3
9.126883192E1,1.012016144E3
9.233521492E1,1.012022629E3
9.340163792E1,1.012026443E3
9.446805392E1,1.012032166E3
9.553442992E1,1.012034225E3
9.660078992E1,1.012040176E3
9.766717692E1,1.012045364E3
9.873359992E1,1.012052155E3
9.980002692E1,1.012058716E3
1.008664399E2,1.012065811E3
1.019328269E2,1.012075500E3
1.029992049E2,1.012083664E3
1.040655669E2,1.012094421E3
1.051319149E2,1.012105255E3
1.061982349E2,1.012116165E3
1.072645669E2,1.012128830E3
1.083309159E2,1.012141571E3
1.093972809E2,1.012152786E3
1.104635959E2,1.012163925E3
1.115299079E2,1.012179718E3
1.125962289E2,1.012191925E3
1.136625459E2,1.012202072E3
1.147288779E2,1.012211304E3
1.157951929E2,1.012222061E3
1.168614529E2,1.012225418E3
1.179277249E2,1.012230072E3
1.189940059E2,1.012235489E3
1.200603479E2,1.012242279E3
1.211266879E2,1.012246246E3
1.221930269E2,1.012253647E3
1.232593059E2,1.012262039E3
1.243255809E2,1.012265244E3
1.253918219E2,1.012267990E3
1.264580569E2,1.012271500E3
1.275242989E2,1.012273560E3
1.285905609E2,1.012275314E3
1.296568099E2,1.012283936E3
1.307230669E2,1.012290421E3
1.317893489E2,1.012299118E3
1.328556149E2,1.012300720E3
1.339219199E2,1.012300720E3
1.349881859E2,1.012293854E3
1.360544619E2,1.012288818E3
1.371207549E2,1.012277603E3
1.381870179E2,1.012270432E3
1.392532519E2,1.012264786E3
1.403194439E2,1.012257996E3
1.413856409E2,1.012256088E3
1.424518739E2,1.012256088E3
1.435180289E2,1.012261124E3
1.445842139E2,1.012263718E3
1.456503989E2,1.012269669E3
1.467165949E2,1.012269669E3
1.477827949E2,1.012262726E3
1.488489469E2,1.012250671E3
1.499150939E2,1.012245178E3
1.509812459E2,1.012233124E3
1.520474199E2,1.012224808E3
1.531135929E2,1.012220078E3
1.541797749E2,1.012217178E3
1.552459389E2,1.012212296E3
1.563120789E2,1.012211685E3
1.573781949E2,1.012209549E3
1.584443199E2,1.012204819E3
1.595104609E2,1.012201385E3
1.605766219E2,1.012197647E3
1.616427799E2,1.012192917E3
1.627089479E2,1.012192917E3
1.637750979E2,1.012198181E3
1.648413069E2,1.012204742E3
1.659074379E2,1.012215652E3
1.669735729E2,1.012225418E3
1.680396909E2,1.012238083E3
1.691058709E2,1.012246933E3
1.701720149E2,1.012248535E3
1.712381059E2,1.012250671E3
1.723041719E2,1.012249222E3
1.733702699E2,1.012249222E3
1.744363729E2,1.012243500E3
1.755025419E2,1.012236710E3
1.765686679E2,1.012226639E3
1.776347979E2,1.012214890E3
1.787009629E2,1.012196198E3
1.797670289E2,1.012179718E3
1.808330889E2,1.012165756E3
1.818991409E2,1.012155533E3
1.829652409E2,1.012145844E3
1.840312769E2,1.012139130E3
1.850973049E2,1.012134705E3
1.861633649E2,1.012132187E3
1.872293789E2,1.012131119E3
1.882953689E2,1.012127533E3
1.893613779E2,1.012118225E3
1.904273869E2,1.012110214E3
1.914934179E2,1.012101364E3
1.925594709E2,1.012101364E3
1.936254539E2,1.012101364E3
1.946914749E2,1.012101974E3
1.957574669E2,1.012102432E3
1.968234269E2,1.012102432E3
1.978894289E2,1.012108994E3
1.989554379E2,1.012115784E3
2.000214629E2,1.012119675E3
2.010874959E2,1.012126312E3
2.021535559E2,1.012126312E3
2.032195779E2,1.012119751E3
2.042855759E2,1.012102509E3
2.053515419E2,1.012087250E3
