"time","Latitude","Longitude","Altitude","Direction","Speed"
1.528108120E-2,5.359351831E1,9.946706425E0,1.921786118E1,1.792968750E2,5.400000215E-1
5.512809753E-2,5.359348682E1,9.946707075E0,2.512029648E1,-1.000000000E0,-1.000000000E0
6.073681116E-1,5.359350331E1,9.945832777E0,2.470380211E1,-1.000000000E0,-1.000000000E0
1.211198807E0,5.359353713E1,9.946821257E0,1.633309555E1,2.239453125E2,4.699999988E-1
2.211194038E0,5.359353713E1,9.946821257E0,1.633309562E1,-1.000000000E0,4.699999988E-1
3.211190343E0,5.359354294E1,9.946858713E0,1.572964105E1,1.480078155E2,4.699999988E-1
4.211185813E0,5.359353375E1,9.946850297E0,1.337887201E1,1.480078161E2,5.600000024E-1
5.211186051E0,5.359352745E1,9.946859441E0,1.295504393E1,1.473046935E2,9.200000167E-1
6.211201668E0,5.359352808E1,9.946877965E0,1.169057860E1,1.476562562E2,9.599999785E-1
7.211191177E0,5.359352832E1,9.946902118E0,1.033285165E1,1.476562596E2,1.470000029E0
8.211179972E0,5.359353167E1,9.946918491E0,1.052102296E1,1.476562572E2,1.100000024E0
9.211174965E0,5.359352878E1,9.946938643E0,1.024721928E1,1.476562582E2,1.259999990E0
1.021116745E1,5.359352820E1,9.946958340E0,9.959194380E0,1.476562582E2,1.259999990E0
1.121115792E1,5.359353382E1,9.946991754E0,9.445156332E0,9.738282998E1,1.450000048E0
1.221114504E1,5.359353370E1,9.947014004E0,8.243435142E0,9.421876758E1,1.450000048E0
1.321113658E1,5.359353431E1,9.947035984E0,7.733547433E0,9.351564199E1,1.399999976E0
1.421112263E1,5.359353581E1,9.947057664E0,7.304775461E0,9.070314189E1,1.389999986E0
1.521111166E1,5.359353637E1,9.947078915E0,6.910854554E0,9.140626653E1,1.360000014E0
1.621109748E1,5.359353599E1,9.947097551E0,6.454982955E0,9.386720290E1,1.269999981E0
1.721108341E1,5.359353667E1,9.947114832E0,5.629787643E0,9.316407791E1,1.269999981E0
1.821108282E1,5.359353763E1,9.947135468E0,5.663112837E0,9.210939043E1,1.269999981E0
1.921106923E1,5.359353950E1,9.947158401E0,5.410244199E0,8.789064128E1,1.340000033E0
2.021105528E1,5.359354406E1,9.947176654E0,6.012050839E0,8.191407863E1,1.340000033E0
2.121104228E1,5.359354956E1,9.947193252E0,6.111232950E0,7.453126464E1,1.250000000E0
2.221103096E1,5.359359667E1,9.947249337E0,1.460877830E1,7.779422653E1,1.082303052E0
2.321101940E1,5.359360220E1,9.947272285E0,1.459116866E1,8.149562149E1,1.338896361E0
2.421101308E1,5.359360321E1,9.947291757E0,1.475408201E1,7.769092938E1,1.126029659E0
2.521099877E1,5.359360235E1,9.947313701E0,1.465876831E1,8.511332751E1,1.164456915E0
2.621098900E1,5.359360278E1,9.947338273E0,1.397732360E1,8.770721588E1,1.266724756E0
2.721097994E1,5.359360248E1,9.947360636E0,1.391028812E1,9.527612228E1,1.365396152E0
2.821097124E1,5.359359964E1,9.947381733E0,1.371612551E1,8.978991364E1,8.265115129E-1
2.921096337E1,5.359359713E1,9.947415743E0,1.355353464E1,9.049797062E1,1.159361702E0
3.021095538E1,5.359359675E1,9.947436958E0,1.359685290E1,8.267420347E1,9.229560234E-1
3.121094728E1,5.359359585E1,9.947461989E0,1.364845066E1,9.782070169E1,9.070368601E-1
3.221094000E1,5.359359655E1,9.947489077E0,1.364085340E1,9.043412557E1,1.062685959E0
3.321093333E1,5.359359873E1,9.947504876E0,1.354168930E1,8.649526271E1,1.039823220E0
3.421093106E1,5.359359968E1,9.947487605E0,1.404426743E1,8.249002298E1,9.143675683E-1
3.521091986E1,5.359359857E1,9.947513122E0,1.401114175E1,8.618588914E1,1.116183027E0
3.621091437E1,5.359359743E1,9.947540791E0,1.361446843E1,9.026394950E1,1.364126062E0
3.721090829E1,5.359359318E1,9.947561469E0,1.342403556E1,9.569826141E1,1.144057880E0
3.821090221E1,5.359359112E1,9.947576683E0,1.363459228E1,9.466792805E1,8.193725615E-1
3.921089685E1,5.359358927E1,9.947600238E0,1.355184695E1,9.594224784E1,9.716074081E-1
4.021089137E1,5.359358519E1,9.947622383E0,1.321898838E1,1.029591570E2,9.880634067E-1
4.121088660E1,5.359358378E1,9.947650187E0,1.263914166E1,1.023082728E2,1.076157673E0
4.221088123E1,5.359358089E1,9.947679472E0,1.258808037E1,1.039107305E2,1.191582903E0
4.321087646E1,5.359357869E1,9.947706039E0,1.246052708E1,1.044570437E2,1.142688983E0
4.421087146E1,5.359357485E1,9.947737730E0,1.233276398E1,1.049171426E2,1.388970742E0
4.521086788E1,5.359357944E1,9.947756881E0,1.282394400E1,9.184525666E1,1.002304352E0
4.621086311E1,5.359357540E1,9.947795060E0,1.239280738E1,9.737091690E1,1.428768698E0
4.721085882E1,5.359357607E1,9.947823052E0,1.212930039E1,9.520253009E1,1.559459907E0
4.821085429E1,5.359358045E1,9.947855463E0,1.266983271E1,8.808580063E1,1.609809724E0
4.921085083E1,5.359358669E1,9.947885080E0,1.342400161E1,8.124112250E1,1.595884426E0
5.021084666E1,5.359359264E1,9.947908983E0,1.351805096E1,7.870040148E1,1.609592365E0
5.121084714E1,5.359359854E1,9.947931122E0,1.348019739E1,7.539558952E1,1.622421888E0
5.221083915E1,5.359360202E1,9.947953412E0,1.394595401E1,7.727495231E1,1.585946164E0
5.321083987E1,5.359360348E1,9.947977329E0,1.370877911E1,8.343614378E1,1.633392689E0
5.421083546E1,5.359360741E1,9.947998992E0,1.323585646E1,8.423993454E1,1.590918049E0
5.521082783E1,5.359360950E1,9.948020797E0,1.301740940E1,8.795714596E1,1.565129549E0
5.621082497E1,5.359361345E1,9.948046087E0,1.350079920E1,8.897130890E1,1.594407326E0
5.721082354E1,5.359362254E1,9.948071406E0,1.398913823E1,8.298454718E1,1.619697650E0
5.821081793E1,5.359362552E1,9.948094031E0,1.359182667E1,8.273657874E1,1.603779678E0
5.921081483E1,5.359362795E1,9.948114122E0,1.303240352E1,8.320802852E1,1.530267872E0
6.021081173E1,5.359363058E1,9.948135517E0,1.284594851E1,8.579048197E1,1.532485707E0
6.121081269E1,5.359363529E1,9.948160037E0,1.297440271E1,8.236450507E1,1.604242603E0
