"time","Gyroscope x","Gyroscope y","Gyroscope z","abs Gyroscope"
2.017600420E-1,-2.166057974E-1,-3.001336455E-1,8.467038162E-3,3.702296144E-1
4.021070418E-1,-5.593296140E-2,6.519441307E-2,1.580095440E-1,1.798494472E-1
6.024530418E-1,-1.761497557E-1,-9.928810410E-3,2.070442140E-1,2.720195292E-1
8.027990418E-1,-4.958680272E-1,7.079136372E-2,1.723891348E-1,5.297306215E-1
1.003145042E0,-1.894239038E-1,1.659300774E-1,2.353663892E-1,3.446905033E-1
1.203492250E0,-2.751624882E-1,-7.217036486E-1,1.814278215E-1,7.934019194E-1
1.403838250E0,5.182595253E-1,-5.743080974E-1,5.827250481E-1,9.684994620E-1
1.604184250E0,-9.416348487E-2,-2.726833224E-1,1.917674184E0,1.939251720E0
1.804530250E0,1.237768233E-1,-2.031359673E-1,7.812145352E-1,8.166278670E-1
2.004876250E0,1.219789237E-1,-1.527628154E-1,7.017290592E-1,7.284497293E-1
2.205223292E0,4.007608443E-2,4.520066381E-1,1.179967403E0,1.264214842E0
2.405569292E0,1.102045774E-1,3.366344869E-1,7.174246907E-1,8.001037517E-1
2.605915292E0,4.799560010E-1,3.045854867E-1,-1.150145233E-1,5.799641559E-1
2.806261292E0,9.000181407E-2,-2.643226087E-1,5.090440810E-2,2.838274595E-1
3.006608292E0,-3.157237768E-1,-1.424554586E-1,-3.281044364E-1,4.771033244E-1
3.206954000E0,-2.327813208E-1,-8.732540160E-2,2.544732392E-1,3.557660728E-1
3.407300000E0,-1.897925735E-1,2.107430696E-1,4.193452001E-1,5.062452559E-1
3.607646000E0,5.340810418E-1,-1.826599538E-1,4.997159541E-2,5.666607259E-1
3.807992000E0,-1.864220202E-1,-2.730304599E-1,-4.546341300E-1,5.621307622E-1
4.008339000E0,-3.983027339E-1,3.335166276E-1,-2.775719166E-1,5.890030370E-1
4.208684875E0,3.270089626E-2,7.282848656E-2,3.066085279E-1,3.168313849E-1
4.409030875E0,4.839135110E-1,5.607895255E-1,5.728797317E-1,9.364018181E-1
4.609376875E0,-5.435141549E-2,1.277279947E-2,2.210310251E-1,2.279735397E-1
4.809722875E0,4.993504286E-2,-1.608368158E-1,-3.382801712E-1,3.778828708E-1
5.010068875E0,6.991527081E-1,-2.302412540E-1,5.146762133E-1,8.981743420E-1
5.210416375E0,-3.555266857E-1,2.013522536E-1,7.651810534E-3,4.086569521E-1
5.410762375E0,2.061250210E-1,2.321810275E-1,8.012246490E-1,8.592767260E-1
5.611108375E0,-3.161350489E-1,3.932875693E-1,6.967277527E-1,8.602592880E-1
5.811454375E0,3.401637077E-1,6.903466582E-2,-3.692407906E-2,3.490566154E-1
6.011800375E0,-1.303886529E-2,-1.255279686E-2,-9.466553330E-1,9.468283394E-1
6.212146250E0,5.978632346E-2,-4.226033390E-1,-3.035033941E-1,5.237196739E-1
6.412492250E0,8.126744628E-1,-5.848937631E-1,-4.696482420E-2,1.002370287E0
6.612839250E0,-3.909663111E-2,7.566557527E-1,7.878223658E-1,1.093032733E0
6.813185250E0,8.426074386E-1,-8.039087057E-1,1.154017001E-1,1.170288022E0
7.013531250E0,-5.500313640E-1,-6.289337277E-1,-6.676397920E-1,1.069502233E0
7.213876917E0,-6.715868711E-1,-6.233473420E-1,-1.332669556E-1,9.259324574E-1
7.414222917E0,-8.194127679E-2,7.872868180E-1,-1.136723086E-1,7.996601156E-1
7.614568917E0,1.029189453E-1,1.708572209E-1,3.845553100E-1,4.332058237E-1
7.814914917E0,1.642187387E-1,-2.175878435E-1,3.313679993E-1,4.290885861E-1
8.015260917E0,7.732231617E-1,7.757019252E-2,2.479555607E-1,8.157040840E-1
8.215607625E0,-6.605523229E-1,-8.734954000E-1,-6.368496418E-1,1.266846893E0
8.415953625E0,-3.174958527E-1,5.526134968E-1,-1.063395813E-1,6.461372918E-1
8.616299625E0,-5.715420246E-1,-2.606277764E-1,3.923577368E-1,7.406292712E-1
8.816645625E0,4.590375721E-1,3.342767656E-1,2.998274565E-1,6.421471423E-1
9.016991625E0,5.177626610E-1,-1.874564588E-1,-2.279106677E-1,5.959541673E-1
9.217337375E0,-3.473948836E-1,-1.690568179E-1,6.923986226E-2,3.925016833E-1
9.417683375E0,-1.296273917E-1,2.257356793E-1,-1.548296213E-1,3.028730249E-1
9.618028375E0,8.219848871E-1,6.005376577E-1,1.301832438E0,1.652595634E0
9.818374375E0,-4.892328382E-1,3.109560013E-1,4.771913290E-1,7.508355140E-1
1.001872038E1,4.075168073E-2,1.255173683E-1,-3.306137323E-1,3.559785798E-1
1.021906554E1,2.459379286E-1,4.342001379E-1,-1.111052483E-1,5.112334111E-1
1.041941154E1,-1.963739246E-1,6.612793356E-2,-2.937362194E-1,3.594670895E-1
1.061975754E1,5.042764544E-1,3.855051696E-1,4.542556405E-1,7.805492715E-1
1.082010254E1,-8.389025182E-2,-2.672317810E-2,8.409714699E-1,8.455676884E-1
1.102044854E1,2.191685140E-1,6.939843893E-1,7.610870004E-1,1.053044440E0
1.122079450E1,-1.404695392E0,-4.786227643E-1,-8.407157660E-1,1.705594293E0
1.142114050E1,-1.612818241E-1,1.859280653E-2,-4.756385833E-2,1.691739929E-1
1.162148550E1,-2.217583060E-1,3.004974127E-1,-1.187107265E-1,3.918771209E-1
1.182183150E1,1.147453070E0,-8.797690272E-1,5.651950091E-2,1.447009517E0
1.202217750E1,-9.528953582E-2,2.083510906E-1,2.677755654E-1,3.524117279E-1
1.222252325E1,5.007966161E-1,6.299199462E-1,5.487888679E-2,8.066028028E-1
1.242286925E1,-2.866354883E-1,-4.546034038E-1,-2.442218959E-1,5.903121990E-1
1.262321425E1,-3.293921947E-1,3.502000868E-2,-2.975570858E-1,4.452705225E-1
1.282356025E1,3.774594367E-1,-7.522277236E-1,-3.043209314E-1,8.949488275E-1
1.302390525E1,-2.630167305E-1,5.613775253E-1,3.839934170E-1,7.292279965E-1
1.322425150E1,3.360883594E-1,-2.875804007E-1,-6.487523317E-1,7.851989939E-1
1.342459650E1,5.916570872E-2,3.505531251E-1,7.420969009E-2,3.631737225E-1
1.362494250E1,-1.687826812E-1,-1.822047532E-1,-2.419038117E-1,3.467039366E-1
1.382528750E1,9.842199683E-1,-1.125337407E-1,7.732568979E-1,1.256693685E0
1.402563250E1,-1.393533796E-1,-3.046784736E-2,2.909809649E-1,3.240641542E-1
1.422597854E1,3.242716789E-1,-2.226803005E-1,3.306464255E-1,5.138732301E-1
1.442632354E1,8.586041629E-2,-2.817121148E-1,-8.515519500E-1,9.010407595E-1
1.462666854E1,-2.017233372E-1,4.386274517E-1,-3.733759224E-1,6.103244429E-1
1.482701354E1,-3.418963403E-2,-1.337194592E-1,-1.413620412E-1,1.975678403E-1
1.502735954E1,-1.563031524E-1,5.321143866E-1,3.650743067E-1,6.639696117E-1
1.522770417E1,2.328374684E-1,-6.542325765E-2,3.751149774E-1,4.463235772E-1
1.542804917E1,6.558496356E-1,3.698329329E-1,3.671240211E-1,8.376724835E-1
1.562839417E1,9.734078497E-2,-3.384627402E-1,2.412836999E-2,3.530076956E-1
1.582873917E1,-3.688815236E-1,-2.089697123E-1,-3.016711473E-1,5.203339315E-1
1.602908417E1,8.575970680E-2,-1.832293123E-1,1.673113704E-1,2.625277183E-1
1.622943050E1,-1.033942029E-1,1.737705618E-1,4.405872822E-1,4.847718253E-1
1.642977550E1,3.829092085E-1,-1.825696826E-1,-3.308745623E-1,5.379861773E-1
1.663012050E1,6.436079741E-2,5.854626372E-2,5.094948038E-2,1.008257248E-1
1.683046550E1,-8.489407599E-2,-2.017451823E-2,-3.870987892E-1,3.968116530E-1
1.703081050E1,2.576443553E-1,6.802680343E-2,5.156107545E-1,5.803987508E-1
1.723115479E1,2.344438136E-1,-8.029436320E-2,5.788305998E-1,6.296474805E-1
1.743149879E1,-2.273213565E-1,3.725557923E-1,-4.828960449E-2,4.390953239E-1
1.763184379E1,-1.425382644E-1,-4.157543480E-1,-9.267673492E-1,1.025702956E0
1.783218879E1,-4.501802325E-1,-1.375334710E-1,-5.011386275E-1,6.875446323E-1
1.803253379E1,4.523610771E-1,1.023881361E-1,7.195185125E-2,4.693516202E-1
1.823287900E1,-5.335063338E-1,2.225171179E-1,5.720996857E-1,8.132901858E-1
1.843322400E1,3.802401125E-1,1.186226383E-1,4.085520506E-1,5.705862350E-1
1.863356800E1,-1.365991592E0,-4.970007539E-1,-9.327152371E-1,1.727107551E0
1.883391300E1,-2.814988047E-2,5.541149154E-2,-4.000797868E-1,4.048786052E-1
1.903425800E1,4.153736532E-1,-2.618477121E-2,1.345849335E-1,4.374174417E-1
1.923460188E1,2.742554247E-1,-2.414616644E-1,3.150596619E-1,4.824752470E-1
1.943494688E1,-6.280164421E-2,2.776066661E-1,6.467436552E-1,7.066023373E-1
