"time","Pressure"
8.378317021E1,1.007204819E3
8.484953621E1,1.007200165E3
8.591587321E1,1.007198944E3
8.698218021E1,1.007196579E3
8.804854221E1,1.007194443E3
8.911495421E1,1.007190933E3
9.018136321E1,1.007187729E3
9.124773421E1,1.007183456E3
9.231406821E1,1.007179413E3
9.338039721E1,1.007173996E3
9.444670221E1,1.007168503E3
9.551301721E1,1.007164993E3
9.657936321E1,1.007160416E3
9.764570521E1,1.007156525E3
9.871208221E1,1.007153854E3
9.977842221E1,1.007150269E3
1.008447192E2,1.007146225E3
1.019110202E2,1.007141266E3
1.029773282E2,1.007137451E3
1.040436322E2,1.007133179E3
1.051099502E2,1.007131348E3
1.061762892E2,1.007129211E3
1.072426112E2,1.007128372E3
1.083089232E2,1.007128372E3
1.093752582E2,1.007127457E3
1.104416002E2,1.007127457E3
1.115079432E2,1.007127457E3
1.125742812E2,1.007126617E3
1.136406462E2,1.007125244E3
1.147069612E2,1.007124939E3
1.157732872E2,1.007122269E3
1.168396032E2,1.007118530E3
1.179058812E2,1.007117157E3
1.189722012E2,1.007114944E3
1.200384592E2,1.007114639E3
1.211046652E2,1.007114410E3
1.221709172E2,1.007113571E3
1.232371802E2,1.007113571E3
1.243034882E2,1.007112808E3
1.253697932E2,1.007112808E3
1.264361102E2,1.007112579E3
1.275023992E2,1.007112122E3
1.285686982E2,1.007106934E3
1.296349502E2,1.007105865E3
1.307012332E2,1.007104721E3
1.317675402E2,1.007104721E3
1.328338012E2,1.007105560E3
1.339000702E2,1.007112808E3
1.349663672E2,1.007116089E3
1.360325872E2,1.007123032E3
1.370988202E2,1.007124939E3
1.381650972E2,1.007129135E3
1.392313532E2,1.007131348E3
1.402975922E2,1.007134399E3
1.413638802E2,1.007135773E3
1.424301962E2,1.007135925E3
1.434964862E2,1.007135925E3
1.445628182E2,1.007136765E3
1.456290902E2,1.007137451E3
1.466953662E2,1.007138672E3
1.477616332E2,1.007139282E3
1.488278822E2,1.007139893E3
1.498942002E2,1.007139740E3
1.509604882E2,1.007139740E3
1.520266852E2,1.007139511E3
1.530929282E2,1.007138214E3
1.541592312E2,1.007138214E3
1.552254572E2,1.007137375E3
1.562916392E2,1.007137375E3
1.573578052E2,1.007131119E3
1.584240322E2,1.007128601E3
1.594902952E2,1.007127991E3
1.605565122E2,1.007123718E3
1.616227062E2,1.007120132E3
1.626889032E2,1.007119904E3
1.637550952E2,1.007118073E3
1.648213042E2,1.007114182E3
1.658875232E2,1.007110519E3
1.669538002E2,1.007098923E3
1.680200572E2,1.007089462E3
1.690863242E2,1.007078018E3
1.701525632E2,1.007065506E3
1.712188002E2,1.007058868E3
1.722849912E2,1.007057800E3
1.733512212E2,1.007057800E3
1.744174862E2,1.007060165E3
1.754836782E2,1.007062454E3
1.765498502E2,1.007067261E3
1.776160652E2,1.007069397E3
1.786822502E2,1.007069778E3
1.797484692E2,1.007071075E3
1.808146622E2,1.007074509E3
1.818808722E2,1.007076111E3
1.829471212E2,1.007078400E3
1.840132362E2,1.007079468E3
1.850794012E2,1.007079697E3
1.861455632E2,1.007080612E3
1.872117202E2,1.007080841E3
1.882779022E2,1.007081223E3
1.893440642E2,1.007080841E3
1.904101872E2,1.007078247E3
1.914763152E2,1.007077179E3
1.925424452E2,1.007076721E3
1.936085952E2,1.007076721E3
1.946747332E2,1.007079926E3
1.957408862E2,1.007083511E3
1.968070812E2,1.007088318E3
1.978731952E2,1.007088318E3
1.989393212E2,1.007086105E3
2.000054772E2,1.007080994E3
2.010717032E2,1.007077560E3
2.021378792E2,1.007068634E3
2.032040462E2,1.007060776E3
2.042702172E2,1.007054443E3
2.053363432E2,1.007048187E3
2.064024702E2,1.007044144E3
2.074686582E2,1.007042236E3
2.085347962E2,1.007034912E3
2.096009502E2,1.007023697E3
2.106670982E2,1.007010956E3
2.117332212E2,1.006997681E3
2.127993612E2,1.006991501E3
2.138654802E2,1.006991501E3
2.149315642E2,1.006991501E3
2.159976372E2,1.006992111E3
2.170636902E2,1.006992111E3
2.181298202E2,1.006984787E3
2.191959552E2,1.006977463E3
2.202620962E2,1.006967850E3
2.213282572E2,1.006961060E3
2.223943932E2,1.006958313E3
2.234605522E2,1.006958313E3
2.245267432E2,1.006959305E3
2.255928762E2,1.006965408E3
2.266589922E2,1.006971283E3
2.277250722E2,1.006976547E3
2.287911652E2,1.006984634E3
2.298572782E2,1.006986237E3
2.309233242E2,1.006988220E3
2.319894002E2,1.006991043E3
2.330555082E2,1.006991043E3
2.341216232E2,1.006990738E3
2.351877432E2,1.006989594E3
2.362538162E2,1.006985016E3
2.373198742E2,1.006981201E3
2.383859692E2,1.006977158E3
2.394520732E2,1.006973038E3
2.405181392E2,1.006968536E3
2.415842132E2,1.006964417E3
2.426502982E2,1.006959763E3
2.437164382E2,1.006956787E3
2.447825362E2,1.006954269E3
2.458485642E2,1.006952515E3
2.469146582E2,1.006952515E3
2.479807212E2,1.006954803E3
2.490467942E2,1.006956406E3
2.501128632E2,1.006957397E3
2.511789712E2,1.006959076E3
2.522450332E2,1.006959076E3
2.533111052E2,1.006955566E3
2.543772082E2,1.006952972E3
2.554432552E2,1.006941376E3
2.565092802E2,1.006931152E3
2.575753132E2,1.006922836E3
2.586414332E2,1.006916809E3
2.597075122E2,1.006916809E3
2.607735302E2,1.006922913E3
2.618395432E2,1.006935120E3
2.629055772E2,1.006944199E3
2.639716472E2,1.006954498E3
2.650376272E2,1.006960220E3
2.661036152E2,1.006960220E3
2.671696082E2,1.006958237E3
2.682356322E2,1.006954956E3
2.693016712E2,1.006949158E3
2.703677392E2,1.006942291E3
2.714338022E2,1.006937408E3
2.724998772E2,1.006930923E3
2.735659542E2,1.006922836E3
2.746320182E2,1.006917267E3
2.756980922E2,1.006912994E3
2.767641542E2,1.006908417E3
2.778302122E2,1.006906281E3
2.788962212E2,1.006905441E3
2.799622462E2,1.006904831E3
2.810282852E2,1.006901169E3
2.820943252E2,1.006899948E3
2.831603972E2,1.006898041E3
2.842264582E2,1.006893234E3
2.852925072E2,1.006890488E3
2.863585482E2,1.006889725E3
2.874245582E2,1.006888351E3
2.884906212E2,1.006884842E3
2.895566772E2,1.006884384E3
2.906227532E2,1.006883545E3
2.916888032E2,1.006880569E3
2.927548562E2,1.006878204E3
2.938209362E2,1.006877823E3
2.948870252E2,1.006877823E3
2.959531602E2,1.006877823E3
2.970192462E2,1.006876678E3
2.980853452E2,1.006874237E3
2.991514232E2,1.006872635E3
3.002175312E2,1.006871109E3
3.012836462E2,1.006868591E3
3.023497772E2,1.006868591E3
3.034159012E2,1.006868210E3
3.044819922E2,1.006868134E3
3.055481332E2,1.006866074E3
3.066143102E2,1.006865005E3
3.076804512E2,1.006864777E3
3.087465962E2,1.006864624E3
3.098127582E2,1.006864777E3
3.108788932E2,1.006865616E3
3.119449922E2,1.006865692E3
3.130110042E2,1.006865616E3
3.140770392E2,1.006865463E3
3.151431032E2,1.006864853E3
3.162091412E2,1.006863937E3
3.172752072E2,1.006857376E3
3.183412722E2,1.006848373E3
3.194073382E2,1.006836319E3
3.204733882E2,1.006824951E3
3.215394252E2,1.006814651E3
