"time","Acceleration x","Acceleration y","Acceleration z","abs Acceleration"
2.215342084E-1,-2.950364685E-1,3.077600098E0,1.217927307E1,1.256556252E1
4.219232085E-1,7.807763672E-1,-6.503974915E-1,9.301357727E0,9.356702635E0
6.223112084E-1,-3.986210632E-1,2.439626770E0,8.409212952E0,8.765017969E0
8.227004586E-1,1.945953369E-3,2.631677399E0,1.076366684E1,1.108071539E1
1.023088458E0,9.361532593E-1,1.065334625E0,8.907975769E0,9.020163695E0
1.223477459E0,8.039781189E-1,2.487527161E0,8.196954346E0,8.603733651E0
1.423865458E0,-6.982978821E-1,3.335962830E0,1.009231293E1,1.065227901E1
1.624254459E0,-3.388952637E-1,5.327421570E-1,1.180789536E1,1.182476456E1
1.824642584E0,-6.036946106E-1,5.520520020E-1,9.813143463E0,9.847181994E0
2.025031583E0,-7.014413452E-1,3.733685760E0,9.004375305E0,9.772983370E0
2.225419584E0,-4.460723877E-1,-1.642085266E-1,9.895771637E0,9.907181300E0
2.425808583E0,-1.227447510E-2,2.828967133E0,6.156248016E0,6.775145411E0
2.626196584E0,-7.574249268E-1,2.778671722E0,1.087264023E1,1.124762262E1
2.826584584E0,-1.922003174E0,-7.695497131E-1,1.038300842E1,1.058740605E1
3.026973584E0,-6.035449219E-1,2.376757507E0,7.543862457E0,7.932408430E0
3.227361584E0,-1.018931122E0,2.907104645E0,1.144864243E1,1.185583786E1
3.427750584E0,2.239343262E-1,1.259929962E0,5.382656708E0,5.532681387E0
3.628138584E0,-8.951385498E-2,2.914439392E0,6.623426514E0,7.236832766E0
3.828527709E0,-1.109043732E0,2.332150269E0,1.434077820E1,1.457143858E1
4.028915708E0,-6.108796692E-1,6.295907593E-1,7.036417694E0,7.090890809E0
4.229304709E0,-6.810836792E-2,2.999612274E0,8.586294708E0,9.095425738E0
4.429693709E0,-2.986289978E-1,2.375709686E0,1.283895126E1,1.306031567E1
4.630082459E0,5.483097839E-1,2.131567383E0,7.366032257E0,7.687825072E0
4.830471458E0,8.581654358E-1,2.333647156E0,1.050889664E1,1.079904003E1
5.030860459E0,9.220825195E-1,2.066901855E0,1.429527283E1,1.447332528E1
5.231248458E0,4.489164734E-1,1.588796082E0,7.124434662E0,7.313232407E0
5.431637459E0,-4.269122314E-1,3.301833801E0,9.484277344E0,1.005166042E1
5.632025834E0,1.477427673E-1,1.176553345E-1,1.031954041E1,1.032126857E1
5.832413834E0,-5.559439087E-1,2.560425568E0,6.255641327E0,6.782175250E0
6.032802834E0,-3.171903992E-1,2.205513611E0,1.405502243E1,1.423055008E1
6.233191833E0,-7.453001404E-1,2.424957275E-1,6.731651459E0,6.777123862E0
6.433579834E0,-4.399351501E-1,2.784659271E0,7.261399841E0,7.789467109E0
6.633969083E0,-8.747808838E-1,2.627935181E0,1.317724777E1,1.346518265E1
6.834358084E0,5.414241028E-1,1.759590912E0,7.125332794E0,7.359325218E0
7.034746083E0,2.781216431E-1,2.860850830E0,7.216493225E0,7.767856435E0
7.235135084E0,4.237687683E-1,2.420167236E0,1.437580536E1,1.458425758E1
7.435524084E0,-6.370751953E-1,1.018332367E0,6.285429382E0,6.399178708E0
7.635912959E0,-5.360353088E-1,3.684288483E0,9.862989807E0,1.054229024E1
7.836300958E0,-3.827540588E-1,-6.929090881E-1,1.422791290E1,1.424991682E1
8.036689959E0,-5.914201355E-1,2.527943115E0,5.494474182E0,6.076966407E0
8.237078959E0,-4.840933228E-1,3.334765320E0,1.315165100E1,1.357648445E1
8.437467958E0,-2.126777344E0,2.519261169E-1,7.034022675E0,7.352830994E0
8.637856000E0,-1.422042847E-1,2.485880585E0,5.776936798E0,6.290693373E0
8.838245000E0,-1.041534119E0,2.481090546E0,1.419917267E1,1.445188943E1
9.038634000E0,2.155517578E-2,1.162033539E0,7.018305359E0,7.113887593E0
9.239023000E0,-1.047821045E-2,2.809507599E0,8.723559265E0,9.164820183E0
9.439412000E0,-1.642085266E-1,3.288212128E0,1.305555084E1,1.346427537E1
9.639799833E0,3.218307495E-2,1.267564087E0,6.244863739E0,6.372289823E0
9.840188833E0,-9.879455566E-1,3.148702240E0,9.653575287E0,1.020205264E1
1.004057783E1,4.260140991E-1,-9.128018188E-1,1.188842789E1,1.193102732E1
1.024096683E1,-1.012494507E0,1.990710297E0,6.043831787E0,6.443289166E0
1.044135483E1,-6.146218872E-1,1.840572510E0,1.263342865E1,1.278158780E1
1.064174458E1,-1.583706665E0,3.118016052E-1,8.227041779E0,8.383887134E0
1.084213358E1,-6.984475708E-1,2.657124481E0,5.177583160E0,5.861357087E0
1.104252258E1,3.887416077E-1,2.448159027E0,1.292008255E1,1.315572635E1
1.124291158E1,3.739224243E-1,1.667083282E0,5.405110016E0,5.668703461E0
1.144329958E1,2.754272461E-1,2.154769135E0,9.445807343E0,9.692376723E0
1.164368762E1,1.035546570E0,3.566932526E0,1.294133835E1,1.346378857E1
1.184407663E1,-2.791694641E-1,9.744735718E-1,6.934479675E0,7.008176846E0
1.204446563E1,-5.673202515E-1,3.605402527E0,1.137724091E1,1.194832165E1
1.224485363E1,4.153862000E-1,-7.241940308E-1,9.671687622E0,9.707653895E0
1.244524263E1,-8.750802612E-1,2.543810120E0,6.148613892E0,6.711347717E0
1.264563246E1,-5.224136353E-1,1.535207520E0,1.366747833E1,1.376334778E1
1.284602146E1,-1.013242950E0,4.775070190E-2,7.811505890E0,7.877091194E0
1.304641046E1,-2.935395813E-1,3.598516846E0,6.089786224E0,7.079617591E0
1.324679846E1,1.163680115E0,2.525099030E0,1.315284851E1,1.344350031E1
1.344718746E1,8.692424011E-1,1.726210327E0,6.414311371E0,6.699162247E0
1.364757571E1,-1.698966980E-1,2.362387390E0,9.676327972E0,9.961980832E0
1.384796471E1,1.477427673E-1,-1.472937012E-1,1.633493134E1,1.633626350E1
1.404835371E1,-3.794609070E-1,1.041833496E0,4.872367859E0,4.996936678E0
1.424874171E1,-8.885522461E-1,3.181035004E0,1.201940552E1,1.246493553E1
