"time","Latitude","Longitude","Altitude","Direction","Speed"
9.639000893E-2,5.359510839E1,9.952696657E0,1.506438923E1,-1.000000000E0,-1.000000000E0
6.340999603E-1,5.359510839E1,9.952696657E0,1.504267788E1,-1.000000000E0,-1.000000000E0
2.490207076E0,5.359510839E1,9.952696657E0,1.507096386E1,-1.000000000E0,-1.000000000E0
2.878497958E0,5.359494714E1,9.953032080E0,3.141195297E1,2.812500000E0,1.440000057E0
3.879525304E0,5.359496007E1,9.953033148E0,3.141195320E1,2.812500860E0,1.440000057E0
4.880157709E0,5.359477423E1,9.953241255E0,1.468966307E1,2.489062394E2,9.300000072E-1
5.884132147E0,5.359476398E1,9.953184550E0,1.569356932E1,2.453906147E2,9.300000072E-1
6.889285088E0,5.359477458E1,9.953111439E0,1.641701908E1,2.271093640E2,1.230000019E0
7.093075871E0,5.359482426E1,9.953025458E0,2.016115952E1,2.218359375E2,1.110000014E0
8.092958570E0,5.359481683E1,9.953014276E0,2.016115968E1,2.218359285E2,1.110000014E0
9.092357755E0,5.359481250E1,9.952992783E0,1.999105470E1,2.285156149E2,1.110000014E0
1.009177017E1,5.359480751E1,9.952969733E0,1.906417484E1,2.267578018E2,1.210000038E0
1.109120131E1,5.359480413E1,9.952951769E0,1.828969971E1,2.299218651E2,1.059999943E0
1.209067297E1,5.359479725E1,9.952936743E0,1.837875000E1,2.334374897E2,1.059999943E0
1.309018099E1,5.359478878E1,9.952924301E0,1.740993897E1,2.288671778E2,1.059999943E0
1.408971953E1,5.359478047E1,9.952913366E0,1.671517578E1,2.253515535E2,1.039999962E0
1.508929420E1,5.359477118E1,9.952902068E0,1.591585939E1,2.172656168E2,1.110000014E0
1.608889437E1,5.359476220E1,9.952890492E0,1.554507082E1,2.165624919E2,1.120000005E0
1.708852518E1,5.359475144E1,9.952878245E0,1.506795903E1,2.123437415E2,1.299999952E0
1.808818829E1,5.359474308E1,9.952868950E0,1.575136964E1,2.165624919E2,1.120000005E0
1.908786666E1,5.359473061E1,9.952853515E0,1.485232183E1,2.186718651E2,1.299999952E0
2.008756375E1,5.359472037E1,9.952836057E0,1.473080083E1,2.253515513E2,1.299999952E0
2.108728611E1,5.359471281E1,9.952818107E0,1.427547856E1,2.253515515E2,1.269999981E0
2.208702886E1,5.359470658E1,9.952793286E0,1.328652594E1,2.281640501E2,1.370000005E0
2.308678842E1,5.359470271E1,9.952772638E0,1.309774418E1,2.323828003E2,1.269999981E0
2.408656430E1,5.359466969E1,9.952784702E0,1.493214133E1,2.763658738E2,5.115980041E-1
2.508635402E1,5.359467128E1,9.952760157E0,1.463217738E1,2.728704915E2,9.609525699E-1
2.608615839E1,5.359466372E1,9.952738560E0,1.460108707E1,2.447433851E2,8.059957973E-1
2.708597445E1,5.359466646E1,9.952763212E0,1.461101342E1,2.300835442E2,9.360915656E-1
2.808580124E1,5.359465588E1,9.952749345E0,1.431600084E1,2.225830556E2,7.615616496E-1
2.908563936E1,5.359464831E1,9.952730281E0,1.418133798E1,2.352360982E2,8.285477696E-1
3.008548951E1,5.359464467E1,9.952698157E0,1.433124869E1,2.437100423E2,1.003619280E0
3.108534801E1,5.359464256E1,9.952663933E0,1.443498491E1,2.496990758E2,1.208260989E0
3.208521545E1,5.359464657E1,9.952643762E0,1.393740287E1,2.662000273E2,7.773720447E-1
3.308509195E1,5.359465331E1,9.952622549E0,1.428103150E1,2.881865942E2,6.325608596E-1
3.408498478E1,5.359465659E1,9.952579629E0,1.449577858E1,2.819554374E2,1.219470754E0
3.508489168E1,5.359465608E1,9.952547649E0,1.470933293E1,2.742358447E2,1.296256619E0
3.608480597E1,5.359465817E1,9.952520818E0,1.474698614E1,2.768117880E2,9.668345703E-1
3.708472466E1,5.359465190E1,9.952473991E0,1.516315311E1,2.679912713E2,1.498844436E0
3.808464932E1,5.359465133E1,9.952439327E0,1.532652407E1,2.716358120E2,1.546209622E0
3.908457768E1,5.359465349E1,9.952406635E0,1.538611905E1,2.750741835E2,1.503140780E0
4.008451223E1,5.359465636E1,9.952378709E0,1.548619233E1,2.805488447E2,1.198285473E0
4.108445084E1,5.359466077E1,9.952352688E0,1.580592018E1,2.881381357E2,8.988141432E-1
4.208439362E1,5.359466227E1,9.952331550E0,1.560565472E1,2.887584488E2,7.258020724E-1
4.308433986E1,5.359466535E1,9.952311914E0,1.549441326E1,2.856323849E2,6.047328864E-1
4.408429015E1,5.359466447E1,9.952280612E0,1.507819492E1,2.825048517E2,7.281079858E-1
4.508424342E1,5.359466180E1,9.952255426E0,1.446903314E1,2.908309206E2,5.614484247E-1
4.608420014E1,5.359466422E1,9.952226279E0,1.461730764E1,2.961044980E2,7.149056858E-1
4.708415866E1,5.359467242E1,9.952199619E0,1.468136722E1,3.021076900E2,1.014244182E0
4.808412170E1,5.359468009E1,9.952173993E0,1.507093539E1,3.063490368E2,1.150797117E0
4.908408689E1,5.359468761E1,9.952159280E0,1.556976790E1,3.105835088E2,9.174026968E-1
5.008405364E1,5.359469500E1,9.952136482E0,1.569165521E1,3.067995689E2,1.089208286E0
5.108402395E1,5.359469490E1,9.952113482E0,1.512196042E1,2.951926667E2,8.961439018E-1
5.208399642E1,5.359469530E1,9.952085238E0,1.490076047E1,2.877636137E2,9.229726135E-1
5.308396912E1,5.359469275E1,9.952061585E0,1.455332738E1,2.812618544E2,8.805363508E-1
5.408394587E1,5.359468637E1,9.952042522E0,1.422630960E1,2.714532924E2,7.866304790E-1
5.508392334E1,5.359468237E1,9.952003808E0,1.447094681E1,2.743015406E2,1.356856357E0
5.608390260E1,5.359468146E1,9.951976085E0,1.453634674E1,2.735296075E2,1.516906991E0
5.708388424E1,5.359468045E1,9.951951475E0,1.424786410E1,2.750837637E2,1.489751628E0
5.808386612E1,5.359467300E1,9.951927121E0,1.388360908E1,2.620844211E2,1.428963989E0
5.908385003E1,5.359466354E1,9.951897685E0,1.444215099E1,2.536062167E2,1.522672575E0
6.008383429E1,5.359465696E1,9.951868884E0,1.512525203E1,2.528559551E2,1.468734938E0
6.108382082E1,5.359465053E1,9.951845362E0,1.555041297E1,2.520102557E2,1.454224766E0
6.208380830E1,5.359464915E1,9.951820891E0,1.585328684E1,2.548175937E2,1.484382936E0
6.308379626E1,5.359465005E1,9.951791382E0,1.574861930E1,2.582481677E2,1.532206869E0
6.408378589E1,5.359465718E1,9.951772034E0,1.444983412E1,2.777408298E2,1.281872334E0
6.508377635E1,5.359465584E1,9.951751567E0,1.385185898E1,2.726719221E2,1.222742509E0
6.608376718E1,5.359465735E1,9.951727030E0,1.446837494E1,2.720675477E2,1.477834613E0
6.708375871E1,5.359466015E1,9.951706630E0,1.479236054E1,2.747700763E2,1.514414476E0
6.808375227E1,5.359466236E1,9.951683859E0,1.450336480E1,2.803389752E2,1.499119237E0
6.908374560E1,5.359465834E1,9.951658790E0,1.441757682E1,2.725437863E2,1.508227567E0
7.008374035E1,5.359465864E1,9.951635883E0,1.420310336E1,2.718585566E2,1.460512616E0
7.108373427E1,5.359465450E1,9.951607452E0,1.446591372E1,2.693940964E2,1.479188661E0
7.208373070E1,5.359465463E1,9.951585842E0,1.424926228E1,2.735962491E2,1.463152950E0
7.308372629E1,5.359465467E1,9.951564859E0,1.461804140E1,2.748948421E2,1.395891107E0
7.408372307E1,5.359465278E1,9.951554382E0,1.446741443E1,2.716642316E2,8.797416296E-1
7.508371949E1,5.359465351E1,9.951539346E0,1.454015739E1,2.731395068E2,7.283660700E-1
7.608371794E1,5.359465125E1,9.951516919E0,1.432470797E1,2.680105258E2,8.659299938E-1
7.708371496E1,5.359465216E1,9.951496983E0,1.429927026E1,2.698539761E2,8.607556436E-1
7.808371329E1,5.359465321E1,9.951472724E0,1.485381588E1,2.683195142E2,1.162354155E0
7.908371174E1,5.359465125E1,9.951451943E0,1.470480082E1,2.678126810E2,1.252984398E0
8.008371079E1,5.359464776E1,9.951430075E0,1.464347229E1,2.625678565E2,1.328491135E0
8.108371031E1,5.359464754E1,9.951417195E0,1.452776781E1,2.635318205E2,1.004266498E0
8.208370972E1,5.359464071E1,9.951400528E0,1.391682712E1,2.509237306E2,9.439013682E-1
8.308370948E1,5.359463642E1,9.951388344E0,1.348081332E1,2.434843021E2,7.824738324E-1
8.408370996E1,5.359463388E1,9.951379583E0,1.320308300E1,2.395867947E2,4.103453545E-1
8.508371079E1,5.359462553E1,9.951357676E0,1.287638475E1,2.388860254E2,8.379463015E-1
8.608371186E1,5.359461991E1,9.951344254E0,1.344315763E1,2.366242614E2,8.280454697E-1
8.708371210E1,5.359461599E1,9.951329571E0,1.295778735E1,2.391640861E2,8.445142783E-1
8.808371305E1,5.359460933E1,9.951316836E0,1.289143808E1,2.348190690E2,7.576782959E-1
8.908371508E1,5.359460477E1,9.951294840E0,1.306297910E1,2.410850474E2,8.675794743E-1
9.008371603E1,5.359459806E1,9.951279731E0,1.300449337E1,2.391230289E2,8.974481777E-1
9.108372080E1,5.359459106E1,9.951254799E0,1.285564377E1,2.406819053E2,1.242007527E0
9.208371985E1,5.359458646E1,9.951240371E0,1.264286081E1,2.421546626E2,1.047313234E0
9.308372211E1,5.359458033E1,9.951231775E0,1.190949430E1,2.320498423E2,7.656810628E-1
9.408372462E1,5.359457347E1,9.951216511E0,1.200826090E1,2.314976831E2,8.819419955E-1
9.508372617E1,5.359456798E1,9.951194657E0,1.221632952E1,2.362941993E2,9.269567627E-1
9.608372927E1,5.359455985E1,9.951173407E0,1.260473004E1,2.369062032E2,1.212060381E0
9.708373141E1,5.359454792E1,9.951152607E0,1.277200220E1,2.336288528E2,1.318657462E0
9.808373451E1,5.359454061E1,9.951135800E0,1.256708202E1,2.319345243E2,1.134055543E0
9.908373678E1,5.359453559E1,9.951108880E0,1.294331155E1,2.361413996E2,1.237659857E0
1.000837405E2,5.359452400E1,9.951088113E0,1.328366153E1,2.322630185E2,1.248292410E0
1.010837427E2,5.359450983E1,9.951054586E0,1.351579924E1,2.326855827E2,1.703006609E0
1.020837457E2,5.359450272E1,9.951034211E0,1.349195787E1,2.350359548E2,1.563882394E0
1.030837494E2,5.359449417E1,9.951016379E0,1.326100113E1,2.336708325E2,1.511305297E0
1.040837517E2,5.359448223E1,9.951004775E0,1.301037945E1,2.194122846E2,1.455515645E0
1.050837553E2,5.359447445E1,9.950986180E0,1.293103900E1,2.250374632E2,1.446342463E0
1.060837591E2,5.359446387E1,9.950967956E0,1.286159876E1,2.264783051E2,1.509988998E0
1.070837628E2,5.359445501E1,9.950948428E0,1.373674591E1,2.299464796E2,1.542735538E0
1.080837659E2,5.359444268E1,9.950934257E0,1.352366197E1,2.245827321E2,1.538426646E0
1.090837688E2,5.359443161E1,9.950914687E0,1.366231356E1,2.245073827E2,1.556482945E0
1.100837724E2,5.359442118E1,9.950897728E0,1.371110172E1,2.192717308E2,1.528981422E0
1.110837768E2,5.359440850E1,9.950881051E0,1.379214350E1,2.190020013E2,1.531062476E0
1.120837808E2,5.359440113E1,9.950857677E0,1.393696029E1,2.255148647E2,1.558966342E0
1.130837840E2,5.359439123E1,9.950839460E0,1.398950408E1,2.262960806E2,1.560266405E0
1.140837872E2,5.359438033E1,9.950819256E0,1.401174261E1,2.255505915E2,1.540443314E0
1.150837913E2,5.359437131E1,9.950804355E0,1.368576519E1,2.138999413E2,1.496482083E0
1.160837951E2,5.359436121E1,9.950785614E0,1.375693296E1,2.152925770E2,1.507032877E0
1.170837989E2,5.359435113E1,9.950767634E0,1.377554641E1,2.154752946E2,1.501673675E0
1.180838027E2,5.359434074E1,9.950752668E0,1.397916426E1,2.183930570E2,1.534611297E0
1.190838072E2,5.359432990E1,9.950735424E0,1.441832366E1,2.200711930E2,1.558329563E0
1.200838106E2,5.359431890E1,9.950721726E0,1.454534165E1,2.183914495E2,1.546136447E0
1.210838141E2,5.359430767E1,9.950706464E0,1.485244656E1,2.172591159E2,1.563090450E0
1.220838190E2,5.359429787E1,9.950687846E0,1.499367820E1,2.191778012E2,1.574514794E0
1.230838233E2,5.359428694E1,9.950671342E0,1.520689382E1,2.175661351E2,1.576779820E0
1.240838268E2,5.359427723E1,9.950656563E0,1.539665081E1,2.167879909E2,1.560435683E0
1.250838305E2,5.359426533E1,9.950642851E0,1.517231483E1,2.156142522E2,1.556874800E0
1.260838345E2,5.359425374E1,9.950627093E0,1.545542362E1,2.159830742E2,1.565819424E0
1.270838388E2,5.359424146E1,9.950614641E0,1.551144654E1,2.153980290E2,1.570845697E0
1.280838429E2,5.359423295E1,9.950599465E0,1.510516480E1,2.183882639E2,1.558950842E0
1.290838473E2,5.359422397E1,9.950583758E0,1.519134946E1,2.185534968E2,1.547514368E0
1.300838517E2,5.359421129E1,9.950575229E0,1.522810562E1,2.126296119E2,1.571886168E0
1.310838556E2,5.359419930E1,9.950562799E0,1.541233374E1,2.119253521E2,1.561475463E0
1.320838593E2,5.359418656E1,9.950552359E0,1.550574220E1,2.101380347E2,1.571993172E0
1.330838559E2,5.359417571E1,9.950540583E0,1.511823288E1,2.139819832E2,1.566598895E0
1.340838586E2,5.359416113E1,9.950536300E0,1.496992568E1,2.061931228E2,1.555729205E0
1.350838556E2,5.359414753E1,9.950524440E0,1.521290017E1,2.087914851E2,1.567035429E0
1.360838521E2,5.359413541E1,9.950511415E0,1.533260231E1,2.133846486E2,1.568483950E0
1.370838503E2,5.359412541E1,9.950501727E0,1.517790281E1,2.097902996E2,1.551488751E0
1.380838416E2,5.359411329E1,9.950492570E0,1.492514050E1,2.075791649E2,1.541952333E0
