"time","Gyroscope x","Gyroscope y","Gyroscope z","abs Gyroscope"
2.215342084E-1,-2.906804085E-1,-7.425827980E-1,-2.733993530E-1,8.430133558E-1
4.219232085E-1,3.171018064E-1,5.508498549E-1,-1.364037097E-1,6.500731423E-1
6.223112084E-1,8.153154850E-1,-5.519698858E-1,2.409709059E-2,9.848810917E-1
8.227004586E-1,-1.310307384E-1,2.275452167E-1,4.173852876E-2,2.658721212E-1
1.023088458E0,3.542752862E-1,4.368818998E-1,-2.792434096E-1,6.279758392E-1
1.223477459E0,-3.805200458E-1,1.829629689E-1,-3.993442953E-1,5.811598914E-1
1.423865458E0,3.380039707E-2,-1.996236593E-1,-6.017534062E-2,2.112182374E-1
1.624254459E0,6.402282119E-1,5.703674555E-1,7.989055663E-2,8.611583470E-1
1.824642584E0,-1.309134662E-1,3.908831477E-1,3.727975488E-1,5.557931118E-1
2.025031583E0,-3.237891197E-1,-4.143144488E-1,-2.705474496E-1,5.913474267E-1
2.225419584E0,1.198739171E0,1.107724980E-1,-3.504219279E-2,1.204356302E0
2.425808583E0,-6.370593905E-1,8.815414459E-2,-1.405235380E-1,6.583028824E-1
2.626196584E0,2.646046877E-1,1.723234057E-1,1.358678639E-1,3.437601975E-1
2.826584584E0,6.176478863E-1,1.064473391E0,6.394921541E-1,1.386918428E0
3.026973584E0,4.853764921E-2,-1.625414044E-1,1.461383402E-1,2.239018223E-1
3.227361584E0,4.981693625E-2,-3.428919911E-1,-2.341889441E-1,4.182117959E-1
3.427750584E0,-9.624867886E-2,2.452241182E-1,9.272019565E-2,2.792771223E-1
3.628138584E0,-4.059033394E-1,-1.231121421E-1,-3.016723692E-1,5.205000853E-1
3.828527709E0,-2.426740830E-4,1.766979098E-1,6.138134003E-1,6.387402450E-1
4.028915708E0,9.050989896E-2,-4.423752725E-1,2.736542821E-1,5.279910886E-1
4.229304709E0,-5.096211433E-1,-1.613364667E-1,-1.165013239E-1,5.470975449E-1
4.429693709E0,-1.450960040E-1,-1.829177737E-1,-2.182622552E-1,3.196094091E-1
4.630082459E0,-3.627480865E-1,1.694232039E-2,2.149303257E-2,3.637790083E-1
4.830471458E0,-1.873389632E-2,3.214627504E-1,1.512898058E-1,3.557778297E-1
5.030860459E0,6.419242360E-3,-4.419226646E-1,-1.933358163E-1,4.824060386E-1
5.231248458E0,-3.730256259E-1,4.062001407E-1,1.944788732E-2,5.518377409E-1
5.431637459E0,-1.214475110E-1,-2.679251432E-1,-5.016566515E-1,5.815434432E-1
5.632025834E0,4.896228611E-1,2.658327110E-3,-5.318846107E-1,7.229376542E-1
5.832413834E0,4.094681889E-2,1.359634697E-1,4.845382646E-2,1.500349305E-1
6.032802834E0,6.869221926E-1,-5.298370719E-1,3.283920288E-1,9.275940631E-1
6.233191833E0,1.793791950E-1,5.241055489E-1,5.312416553E-1,7.675162658E-1
6.433579834E0,-1.450825483E-1,8.672549576E-2,1.399372071E-1,2.194371877E-1
6.633969083E0,3.587218523E-1,1.646330655E-1,1.284669042E-1,4.150772928E-1
6.834358084E0,-4.380408823E-1,-2.843509912E-1,-3.228081763E-2,5.232373764E-1
7.034746083E0,-4.743990302E-2,-1.839917153E-1,-4.187529162E-2,1.945688458E-1
7.235135084E0,-7.763521075E-1,-4.648807347E-1,-1.941149980E-1,9.254822120E-1
7.435524084E0,-5.407246947E-1,7.129790783E-1,6.545387208E-2,8.972215841E-1
7.635912959E0,2.927816510E-1,-4.120941088E-2,-3.971286118E-2,2.983226811E-1
7.836300958E0,5.446574092E-1,-1.165500581E-1,-2.643912733E-1,6.165536107E-1
8.036689959E0,-1.171143353E-1,2.689506114E-1,-1.138608009E-1,3.146656652E-1
8.237078959E0,6.302037239E-1,-2.296490669E-1,2.349019796E-2,6.711536463E-1
8.437467958E0,3.579909727E-2,3.739875853E-1,3.869622648E-1,5.393404154E-1
8.637856000E0,2.861838415E-2,4.169139639E-2,1.269427985E-1,1.366442774E-1
8.838245000E0,5.605283976E-1,-1.149867997E-1,7.509540021E-2,5.771077609E-1
9.038634000E0,-3.192365170E-1,-2.568207681E-1,4.021916911E-2,4.116873113E-1
9.239023000E0,-2.204765230E-1,2.096772939E-1,1.746442914E-1,3.508205999E-1
9.439412000E0,-1.702126265E-1,1.596759707E-1,4.139874876E-1,4.752414057E-1
9.639799833E0,-6.109678149E-1,2.263745368E-1,1.060645580E-1,6.601339199E-1
9.840188833E0,-1.772853732E-2,5.771466717E-2,-3.885046244E-1,3.931680646E-1
1.004057783E1,8.517079949E-1,-5.744129419E-1,-5.564965010E-1,1.168351442E0
1.024096683E1,-4.164257348E-1,1.709795147E-1,-3.166832924E-1,5.503932183E-1
1.044135483E1,5.254642367E-1,1.845859550E-2,2.777248919E-1,5.946297162E-1
1.064174458E1,-2.383363694E-1,-4.358184934E-1,1.719578952E-1,5.256534047E-1
1.084213358E1,-2.547098100E-1,-1.254439950E-1,2.205591351E-1,3.595269326E-1
1.104252258E1,-1.147575900E-1,-1.718391925E-1,-8.513280749E-2,2.234851392E-1
1.124291158E1,-1.164928898E-1,2.267406136E-2,-8.134863526E-2,1.438829625E-1
1.144329958E1,-4.750369787E-1,4.528947547E-2,1.336202621E-1,4.955458023E-1
1.164368762E1,-4.264071882E-1,-6.421490014E-2,-2.267840803E-1,4.872141855E-1
1.184407663E1,-2.177776396E-1,2.334191948E-1,2.508437932E-1,4.059978194E-1
1.204446563E1,7.834587246E-2,-6.512296945E-2,-4.844422638E-1,4.950387701E-1
1.224485363E1,7.928025723E-1,1.565852016E-1,-1.135673970E-1,8.160590650E-1
1.244524263E1,-2.369564027E-1,-5.705618532E-4,-2.231128812E-1,3.254658508E-1
1.264563246E1,5.496738553E-1,8.834927529E-2,5.592972040E-1,7.891516357E-1
1.284602146E1,-1.415739655E-1,1.696204208E-2,2.324577868E-1,2.727040910E-1
1.304641046E1,-2.102369517E-1,-8.649041504E-2,6.898596138E-2,2.375694227E-1
1.324679846E1,2.264394760E-1,-1.917691678E-1,-2.910967171E-1,4.156772170E-1
1.344718746E1,-5.157322288E-1,-6.518190354E-2,-3.485501111E-1,6.258718657E-1
