"time","Pressure"
4.432054586E-1,9.889506531E2
1.443699458E0,9.889508820E2
2.444171458E0,9.889505005E2
3.444648458E0,9.889491272E2
3.802201458E0,9.889446259E2
4.869392458E0,9.889429474E2
5.936574458E0,9.889413452E2
7.003789458E0,9.889382172E2
8.070999458E0,9.889382172E2
9.138216458E0,9.889389801E2
1.020538646E1,9.889395142E2
1.127257546E1,9.889395142E2
1.233982946E1,9.889395142E2
1.340704346E1,9.889373016E2
1.447423246E1,9.889319611E2
1.554136446E1,9.889305878E2
1.660854546E1,9.889260101E2
1.767573046E1,9.889234161E2
1.874286646E1,9.889222717E2
1.981003946E1,9.889215851E2
2.087718246E1,9.889195251E2
2.194435446E1,9.889188385E2
2.301146246E1,9.889154053E2
2.407858646E1,9.889154053E2
2.514570946E1,9.889156342E2
2.621278946E1,9.889172363E2
2.727983046E1,9.889188385E2
2.834689346E1,9.889188385E2
2.941395346E1,9.889186096E2
3.048099246E1,9.889167786E2
3.154800046E1,9.889167786E2
3.261501146E1,9.889167786E2
3.368204646E1,9.889205933E2
3.474907846E1,9.889244080E2
3.581605046E1,9.889272308E2
3.688307246E1,9.889297485E2
3.795003346E1,9.889297485E2
3.901698146E1,9.889308929E2
4.008392946E1,9.889314270E2
4.115092846E1,9.889328766E2
4.221792246E1,9.889343262E2
4.328488846E1,9.889359283E2
4.435185946E1,9.889360046E2
4.541877246E1,9.889369965E2
4.648570546E1,9.889369965E2
4.755264146E1,9.889352417E2
4.861952746E1,9.889334869E2
4.968643146E1,9.889324188E2
5.075336546E1,9.889297485E2
5.182023246E1,9.889297485E2
5.288709946E1,9.889314270E2
5.395403146E1,9.889337921E2
5.502097846E1,9.889367676E2
5.608789546E1,9.889408875E2
5.715475846E1,9.889453888E2
5.822163546E1,9.889495850E2
5.928851046E1,9.889541626E2
6.035540246E1,9.889569855E2
6.142227646E1,9.889575195E2
6.248909046E1,9.889569855E2
6.355585646E1,9.889575195E2
6.462261946E1,9.889584351E2
6.568941546E1,9.889597321E2
6.675617346E1,9.889638519E2
6.782295646E1,9.889689636E2
6.888974846E1,9.889756012E2
6.995650946E1,9.889804077E2
7.102331446E1,9.889852142E2
7.209007946E1,9.889921570E2
7.315683546E1,9.889956665E2
7.422356846E1,9.889998627E2
7.529032446E1,9.890023804E2
7.635707246E1,9.890059662E2
7.742380746E1,9.890079498E2
